backlog_id,priority,batch,original_status,current_status,implementation_phase,target_path,evidence,remaining_work,notes
AWS-017,P2,Batch 2,not-started,completed,Phase 6 Batch 2,05-storage/aws-storage-gateway/01-overview.md,"canonical target; Current Gateway Selection Supplement; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d",none for this acceptance criterion,Implemented before recovery and reconciled from repository evidence.
AWS-018,P1,Batch 2,not-started,completed,Phase 6 Batch 2,05-storage/aws-backup/01-overview.md,"canonical target; Core Concepts; SAA Architecture and Design; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d",none for this acceptance criterion,Implemented before recovery and reconciled from repository evidence.
AWS-019,P2,Batch 2,not-started,completed,Phase 6 Batch 2,15-comparisons-and-decision-guides/compute-and-storage/01-core-selection-guide.md,"canonical target; compute and storage decision tables; SAA Scenario Patterns; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d",none for this acceptance criterion,Implemented before recovery and reconciled from repository evidence.
AWS-020,P0,Batch 3,not-started,completed,Phase 6 Batch 3,07-networking-and-content-delivery/amazon-vpc/01-overview.md,07-networking-and-content-delivery/amazon-vpc/01-overview.md; PHASE-6-BATCH-3-POST-IMPLEMENTATION.csv,none for this acceptance criterion,Completed against the Batch 3 acceptance criterion.
AWS-021,P1,Batch 3,not-started,completed,Phase 6 Batch 3,07-networking-and-content-delivery/amazon-vpc/09-subnets-route-tables-and-internet-gateways.md,07-networking-and-content-delivery/amazon-vpc/09-subnets-route-tables-and-internet-gateways.md; PHASE-6-BATCH-3-POST-IMPLEMENTATION.csv,none for this acceptance criterion,Completed against the Batch 3 acceptance criterion.
AWS-022,P1,Batch 3,not-started,completed,Phase 6 Batch 3,15-comparisons-and-decision-guides/networking/03-security-groups-vs-network-acls.md,15-comparisons-and-decision-guides/networking/03-security-groups-vs-network-acls.md; PHASE-6-BATCH-3-POST-IMPLEMENTATION.csv,none for this acceptance criterion,Completed against the Batch 3 acceptance criterion.
AWS-023,P1,Batch 3,not-started,completed,Phase 6 Batch 3,07-networking-and-content-delivery/amazon-vpc/04-endpoint-services.md,07-networking-and-content-delivery/amazon-vpc/04-endpoint-services.md; PHASE-6-BATCH-3-POST-IMPLEMENTATION.csv,none for this acceptance criterion,Completed against the Batch 3 acceptance criterion.
AWS-024,P1,Batch 3,not-started,completed,Phase 6 Batch 3,15-comparisons-and-decision-guides/networking/02-vpc-connectivity-options.md,15-comparisons-and-decision-guides/networking/02-vpc-connectivity-options.md; PHASE-6-BATCH-3-POST-IMPLEMENTATION.csv,none for this acceptance criterion,Completed against the Batch 3 acceptance criterion.
AWS-025,P1,Batch 3,not-started,completed,Phase 6 Batch 3,15-comparisons-and-decision-guides/networking/04-dns-edge-and-global-routing.md,15-comparisons-and-decision-guides/networking/04-dns-edge-and-global-routing.md; PHASE-6-BATCH-3-POST-IMPLEMENTATION.csv,none for this acceptance criterion,Completed against the Batch 3 acceptance criterion.
AWS-026,P0,Batch 4,not-started,completed,Phase 6 Batch 4,06-databases/amazon-rds/01-overview.md,06-databases/amazon-rds/01-overview.md; PHASE-6-BATCH-4-POST-IMPLEMENTATION.csv,none for this acceptance criterion,Completed against the Batch 4 acceptance criterion; does not block Batch 5.
AWS-027,P1,Batch 4,not-started,completed,Phase 6 Batch 4,06-databases/amazon-aurora/01-overview.md,06-databases/amazon-aurora/01-overview.md; PHASE-6-BATCH-4-POST-IMPLEMENTATION.csv,none for this acceptance criterion,Completed against the Batch 4 acceptance criterion; does not block Batch 5.
AWS-028,P0,Batch 4,not-started,completed,Phase 6 Batch 4,06-databases/amazon-dynamodb/01-overview.md,06-databases/amazon-dynamodb/01-overview.md; PHASE-6-BATCH-4-POST-IMPLEMENTATION.csv,none for this acceptance criterion,Completed against the Batch 4 acceptance criterion; does not block Batch 5.
AWS-029,P1,Batch 4,not-started,completed,Phase 6 Batch 4,06-databases/amazon-elasticache/01-overview.md,06-databases/amazon-elasticache/01-overview.md; PHASE-6-BATCH-4-POST-IMPLEMENTATION.csv,none for this acceptance criterion,Completed against the Batch 4 acceptance criterion; does not block Batch 5.
AWS-030,P1,Batch 4,not-started,completed,Phase 6 Batch 4,15-comparisons-and-decision-guides/databases/01-database-selection-guide.md,15-comparisons-and-decision-guides/databases/01-database-selection-guide.md; PHASE-6-BATCH-4-POST-IMPLEMENTATION.csv,none for this acceptance criterion,Completed against the Batch 4 acceptance criterion; does not block Batch 5.
AWS-031,P1,Batch 5,not-started,deferred,Batch 5,15-comparisons-and-decision-guides/application-integration/01-sqs-vs-sns-vs-eventbridge.md,Phase 5 authority backlog,Implement only during Batch 5,Not implemented in Batch 1.
AWS-032,P1,Batch 5,not-started,deferred,Batch 5,08-serverless-and-application-integration/amazon-eventbridge/01-overview.md,Phase 5 authority backlog,Implement only during Batch 5,Not implemented in Batch 1.
AWS-033,P1,Batch 5,not-started,deferred,Batch 5,08-serverless-and-application-integration/aws-step-functions/01-overview.md,Phase 5 authority backlog,Implement only during Batch 5,Not implemented in Batch 1.
AWS-034,P1,Batch 5,not-started,deferred,Batch 5,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,Phase 5 authority backlog,Implement only during Batch 5,Not implemented in Batch 1.
AWS-035,P0,Batch 6,not-started,deferred,Batch 6,13-architecture-and-design-patterns/security/01-data-protection-patterns.md,Phase 5 authority backlog,Implement only during Batch 6,Not implemented in Batch 1.
AWS-036,P1,Batch 6,not-started,deferred,Batch 6,15-comparisons-and-decision-guides/security/01-security-service-selection.md,Phase 5 authority backlog,Implement only during Batch 6,Not implemented in Batch 1.
AWS-037,P1,Batch 6,not-started,deferred,Batch 6,15-comparisons-and-decision-guides/operations/01-cloudwatch-vs-cloudtrail-vs-config.md,Phase 5 authority backlog,Implement only during Batch 6,Not implemented in Batch 1.
AWS-038,P1,Batch 6,not-started,deferred,Batch 6,13-architecture-and-design-patterns/security/02-multi-account-governance.md,Phase 5 authority backlog,Implement only during Batch 6,Not implemented in Batch 1.
AWS-039,P2,Batch 6,not-started,deferred,Batch 6,10-monitoring-management-and-deployment/aws-systems-manager/01-overview.md,Phase 5 authority backlog,Implement only during Batch 6,Not implemented in Batch 1.
AWS-040,P1,Batch 7,not-started,deferred,Batch 7,13-architecture-and-design-patterns/01-highly-available-web-applications.md,Phase 5 authority backlog,Implement only during Batch 7,Not implemented in Batch 1.
AWS-041,P0,Batch 7,not-started,deferred,Batch 7,13-architecture-and-design-patterns/02-disaster-recovery-strategies.md,Phase 5 authority backlog,Implement only during Batch 7,Not implemented in Batch 1.
AWS-042,P1,Batch 7,not-started,deferred,Batch 7,13-architecture-and-design-patterns/03-event-driven-and-decoupled-systems.md,Phase 5 authority backlog,Implement only during Batch 7,Not implemented in Batch 1.
AWS-043,P1,Batch 7,not-started,deferred,Batch 7,13-architecture-and-design-patterns/04-serverless-application-patterns.md,Phase 5 authority backlog,Implement only during Batch 7,Not implemented in Batch 1.
AWS-044,P1,Batch 8,not-started,deferred,Batch 8,12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,Phase 5 authority backlog,Implement only during Batch 8,Not implemented in Batch 1.
AWS-045,P1,Batch 8,not-started,deferred,Batch 8,12-billing-pricing-and-support/aws-support/02-support-plans.md,Phase 5 authority backlog,Implement only during Batch 8,Not implemented in Batch 1.
AWS-046,P2,Batch 8,not-started,deferred,Batch 8,15-comparisons-and-decision-guides/cost/01-cost-management-tool-selection.md,Phase 5 authority backlog,Implement only during Batch 8,Not implemented in Batch 1.
AWS-047,P2,Batch 8,not-started,deferred,Batch 8,12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md,Phase 5 authority backlog,Implement only during Batch 8,Not implemented in Batch 1.
AWS-048,P2,Batch 9,not-started,deferred,Batch 9,14-ai-ml-analytics-and-other-services/analytics/01-kinesis-and-data-firehose.md,Phase 5 authority backlog,Implement only during Batch 9,Not implemented in Batch 1.
AWS-049,P2,Batch 9,not-started,deferred,Batch 9,15-comparisons-and-decision-guides/analytics/02-analytics-service-selection.md,Phase 5 authority backlog,Implement only during Batch 9,Not implemented in Batch 1.
AWS-050,P3,Batch 9,not-started,deferred,Batch 9,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/01-service-recognition-guide.md,Phase 5 authority backlog,Implement only during Batch 9,Not implemented in Batch 1.
AWS-051,P1,Batch 10,not-started,deferred,Batch 10,16-exam-preparation/01-cpp-scenario-reasoning.md,Phase 5 authority backlog,Implement only during Batch 10,Not implemented in Batch 1.
AWS-052,P1,Batch 10,not-started,deferred,Batch 10,16-exam-preparation/02-saa-architecture-scenario-reasoning.md,Phase 5 authority backlog,Implement only during Batch 10,Not implemented in Batch 1.
AWS-053,P2,Batch 10,not-started,deferred,Batch 10,manual-review,Phase 5 authority backlog,Implement only during Batch 10,Not implemented in Batch 1.
AWS-054,P2,Batch 10,not-started,deferred,Batch 10,manual-review,Phase 5 authority backlog,Implement only during Batch 10,Not implemented in Batch 1.
