"backlog_id","priority","gap_type","certification","official_domain","official_task","official_requirement","topic","current_paths","target_path","recommended_action","batch","selected","selection_reason","dependencies","acceptance_criteria","status","notes"
"AWS-011","P1","missing-topic","both","Compute","Containers","container service selection","Containers","04-compute/README.md","04-compute/containers/01-ecs-eks-and-fargate.md","create-new-lesson","Batch 2","false","Completed and reconciled before Batch 4; retained as dependency history.","none","Target provides ecs/eks/fargate; ec2 launch; selection; scaling; operations; cost; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-012","P0","wrong-certification-depth","both","Storage","Storage selection","object storage design","Amazon S3","05-storage/amazon-s3/01-overview.md","05-storage/amazon-s3/01-overview.md","expand-existing-lesson","Batch 2","false","Completed and reconciled before Batch 4; retained as dependency history.","none","Target provides durability; availability; security; versioning; replication; events; performance; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-013","P1","partial-topic","both","Storage","Storage selection","block storage performance","Amazon EBS","05-storage/amazon-ebs/01-overview.md","05-storage/amazon-ebs/01-overview.md","expand-existing-lesson","Batch 2","false","Completed and reconciled before Batch 4; retained as dependency history.","AWS-007","Target provides volume types; iops/throughput; snapshots; encryption; az scope; cost; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-014","P2","partial-topic","both","Storage","Storage selection","ephemeral block storage","EC2 instance store","05-storage/ec2-instance-store/01-overview.md","05-storage/ec2-instance-store/01-overview.md","expand-existing-lesson","Batch 2","false","Completed and reconciled before Batch 4; retained as dependency history.","AWS-007","Target provides ephemeral behavior; performance; failure; suitable data; ebs comparison; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-015","P1","wrong-certification-depth","both","Storage","Storage selection","shared file storage","Amazon EFS","05-storage/amazon-efs/01-overview.md","05-storage/amazon-efs/01-overview.md","expand-existing-lesson","Batch 2","false","Completed and reconciled before Batch 4; retained as dependency history.","none","Target provides regional design; mount targets; performance; lifecycle; security; cost; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-016","P2","partial-topic","both","Storage","Storage selection","managed file systems","Amazon FSx","05-storage/amazon-fsx-for-lustre/01-overview.md","05-storage/amazon-fsx/01-family-and-selection.md","create-comparison-guide","Batch 2","false","Completed and reconciled before Batch 4; retained as dependency history.","none","Target provides fsx families; protocols; performance; ha; integration; selection; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-017","P2","partial-topic","both","Storage","Hybrid storage","gateway modes","AWS Storage Gateway","05-storage/aws-storage-gateway/01-overview.md","05-storage/aws-storage-gateway/01-overview.md","expand-existing-lesson","Batch 2","false","Completed and reconciled before Batch 4; retained as dependency history.","none","Target provides file/volume/tape; cache; recovery; connectivity; selection; cost; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-018","P1","missing-topic","both","Storage/Resilience","Backup","centralized backup and restore","AWS Backup","05-storage/README.md","05-storage/aws-backup/01-overview.md","create-new-lesson","Batch 2","false","Completed and reconciled before Batch 4; retained as dependency history.","none","Target provides plans; vaults; policies; cross-account/region; restore; cost; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-019","P2","missing-comparison","both","Compute/Storage","Selection","core selection trade-offs","Compute and storage comparisons","15-comparisons-and-decision-guides/README.md","15-comparisons-and-decision-guides/compute-and-storage/01-core-selection-guide.md","create-comparison-guide","Batch 2","false","Completed and reconciled before Batch 4; retained as dependency history.","AWS-007; AWS-009; AWS-010; AWS-012","Target provides ec2/lambda/containers and s3/ebs/efs/instance-store decision tables; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-020","P0","missing-topic","both","Networking","Network design","VPC foundations","Amazon VPC","07-networking-and-content-delivery/amazon-vpc/README.md","07-networking-and-content-delivery/amazon-vpc/01-overview.md","create-new-lesson","Batch 3","false","Completed and reconciled before Batch 4; retained as dependency history.","AWS-003","Target provides cidr; subnets; routes; igw; nat; controls; endpoints; ha; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-021","P1","partial-topic","SAA","Networking","Network design","subnets routes gateways","VPC routing","07-networking-and-content-delivery/amazon-vpc/README.md","07-networking-and-content-delivery/amazon-vpc/09-subnets-route-tables-and-internet-gateways.md","create-new-lesson","Batch 3","false","Completed and reconciled before Batch 4; retained as dependency history.","AWS-020","Target provides public/private; route evaluation; igw; egress; az design; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-022","P1","wrong-certification-depth","both","Networking","Network security","stateful and stateless controls","Security groups versus NACLs","07-networking-and-content-delivery/amazon-vpc/02-security-groups.md","15-comparisons-and-decision-guides/networking/03-security-groups-vs-network-acls.md","create-comparison-guide","Batch 3","false","Completed and reconciled before Batch 4; retained as dependency history.","AWS-020","Target provides state; rule evaluation; scopes; return traffic; scenarios; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-023","P1","partial-topic","SAA","Networking","Private connectivity","endpoint selection","VPC endpoints and PrivateLink","07-networking-and-content-delivery/amazon-vpc/04-endpoint-services.md","07-networking-and-content-delivery/amazon-vpc/04-endpoint-services.md","expand-existing-lesson","Batch 3","false","Completed and reconciled before Batch 4; retained as dependency history.","AWS-020","Target provides gateway/interface endpoints; endpoint services; dns; security; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-024","P1","partial-topic","SAA","Networking","Hybrid/network topology","connectivity selection","Hybrid and multi-VPC connectivity","15-comparisons-and-decision-guides/networking/02-vpc-connectivity-options.md","15-comparisons-and-decision-guides/networking/02-vpc-connectivity-options.md","expand-existing-lesson","Batch 3","false","Completed and reconciled before Batch 4; retained as dependency history.","AWS-020","Target provides peering; tgw; vpn; dx; topology; routing; ha; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-025","P1","partial-topic","both","Networking","DNS and edge","routing and delivery decisions","Route 53 and CloudFront","07-networking-and-content-delivery/amazon-route-53/01-overview.md","15-comparisons-and-decision-guides/networking/04-dns-edge-and-global-routing.md","create-comparison-guide","Batch 3","false","Completed and reconciled before Batch 4; retained as dependency history.","none","Target provides dns policies; health; cdn; global accelerator; selection; failure; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.","already-completed","No Batch 4 learning implementation authorized."
"AWS-026","P0","missing-topic","both","Databases","Database selection","managed relational database","Amazon RDS","06-databases/README.md","06-databases/amazon-rds/01-overview.md","create-new-lesson","Batch 4","true","Explicit Batch 4 authority row; selected after Batch 3 dependency gate passed.","none","Target provides engines; multi-az; replicas; backups; security; scaling; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.","selected","Authorized for Phase 6 Batch 4 implementation."
"AWS-027","P1","partial-topic","both","Databases","Database selection","Aurora architecture","Amazon Aurora","06-databases/amazon-aurora/01-overview.md","06-databases/amazon-aurora/01-overview.md","expand-existing-lesson","Batch 4","true","Explicit Batch 4 authority row; selected after Batch 3 dependency gate passed.","AWS-026","Target provides cluster storage; replicas; failover; global/serverless; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.","selected","Authorized for Phase 6 Batch 4 implementation."
"AWS-028","P0","missing-topic","both","Databases","Database selection","NoSQL design","Amazon DynamoDB","06-databases/README.md","06-databases/amazon-dynamodb/01-overview.md","create-new-lesson","Batch 4","true","Explicit Batch 4 authority row; selected after Batch 3 dependency gate passed.","none","Target provides keys; capacity; indexes; consistency; global tables; streams; dax; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.","selected","Authorized for Phase 6 Batch 4 implementation."
"AWS-029","P1","wrong-certification-depth","both","Databases","Caching","cache selection and failure","Amazon ElastiCache","06-databases/amazon-elasticache/01-overview.md","06-databases/amazon-elasticache/01-overview.md","expand-existing-lesson","Batch 4","true","Explicit Batch 4 authority row; selected after Batch 3 dependency gate passed.","none","Target provides cache patterns; engines; ha; eviction; consistency; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.","selected","Authorized for Phase 6 Batch 4 implementation."
"AWS-030","P1","missing-comparison","SAA","Databases","Database selection","database decision trade-offs","Database selection guide","15-comparisons-and-decision-guides/README.md","15-comparisons-and-decision-guides/databases/01-database-selection-guide.md","create-comparison-guide","Batch 4","true","Explicit Batch 4 authority row; selected after Batch 3 dependency gate passed.","AWS-026; AWS-027; AWS-028; AWS-029","Target provides rds/aurora/dynamodb/elasticache; data model; scaling; ha; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.","selected","Authorized for Phase 6 Batch 4 implementation."
"AWS-031","P1","partial-topic","both","Application Integration","Decoupling","queue and pub-sub selection","SQS and SNS","08-serverless-and-application-integration/amazon-sqs/01-overview.md","15-comparisons-and-decision-guides/application-integration/01-sqs-vs-sns-vs-eventbridge.md","create-comparison-guide","Batch 5","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","none","Target provides queue/topic/event bus; delivery; ordering; retries; fanout; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-032","P1","missing-topic","both","Application Integration","Events","event routing","Amazon EventBridge","08-serverless-and-application-integration/README.md","08-serverless-and-application-integration/amazon-eventbridge/01-overview.md","create-new-lesson","Batch 5","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","none","Target provides buses; rules; targets; schemas; delivery; archive/replay; security; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-033","P1","missing-topic","both","Application Integration","Workflows","orchestration","AWS Step Functions","08-serverless-and-application-integration/README.md","08-serverless-and-application-integration/aws-step-functions/01-overview.md","create-new-lesson","Batch 5","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","none","Target provides workflow types; states; retries; errors; integration; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-034","P1","partial-topic","both","Serverless","API design","managed APIs","Amazon API Gateway","08-serverless-and-application-integration/amazon-api-gateway/01-overview.md","08-serverless-and-application-integration/amazon-api-gateway/01-overview.md","expand-existing-lesson","Batch 5","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","AWS-010","Target provides api types; auth; integration; throttling; caching; ha; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-035","P0","missing-saa-architecture","SAA","Security","Data protection","encryption and key design","Data protection architecture","09-security-and-compliance/aws-kms/01-overview.md","13-architecture-and-design-patterns/security/01-data-protection-patterns.md","create-architecture-pattern","Batch 6","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","AWS-004","Target provides kms; tls; acm; secrets; rotation; envelope encryption; scenarios; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-036","P1","partial-topic","both","Security","Threat detection","security service selection","Security services","09-security-and-compliance/README.md","15-comparisons-and-decision-guides/security/01-security-service-selection.md","create-comparison-guide","Batch 6","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","none","Target provides guardduty/inspector/macie/security hub/detective/config; scopes; response; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-037","P1","missing-comparison","both","Operations","Monitoring and audit","observability service selection","CloudWatch CloudTrail Config","10-monitoring-management-and-deployment/README.md","15-comparisons-and-decision-guides/operations/01-cloudwatch-vs-cloudtrail-vs-config.md","create-comparison-guide","Batch 6","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","none","Target provides metrics/logs/traces/api history/config; alarms; compliance; scenarios; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-038","P1","partial-topic","SAA","Security","Governance","multi-account guardrails","Organizations and Control Tower","03-identity-governance-and-organizations/aws-organizations/01-overview.md","13-architecture-and-design-patterns/security/02-multi-account-governance.md","create-architecture-pattern","Batch 6","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","AWS-004","Target provides ous; scps; account factory; identity; logs; guardrails; trade-offs; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-039","P2","partial-topic","both","Operations","Management","operations management selection","AWS Systems Manager","10-monitoring-management-and-deployment/aws-systems-manager/01-overview.md","10-monitoring-management-and-deployment/aws-systems-manager/01-overview.md","expand-existing-lesson","Batch 6","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","none","Target provides inventory; patch; automation; parameters; session; hybrid; security; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-040","P1","missing-saa-architecture","SAA","Resilience","High availability","multi-tier HA design","Highly available web application","13-architecture-and-design-patterns/README.md","13-architecture-and-design-patterns/01-highly-available-web-applications.md","create-architecture-pattern","Batch 7","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","Batches 2-4","Target provides multi-az tiers; elb/asg; data failover; dns; observability; trade-offs; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-041","P0","missing-topic","SAA","Resilience","Disaster recovery","DR strategies and selection","Disaster recovery","13-architecture-and-design-patterns/README.md","13-architecture-and-design-patterns/02-disaster-recovery-strategies.md","create-architecture-pattern","Batch 7","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","AWS-018","Target provides backup/restore; pilot light; warm standby; active-active; rto/rpo; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-042","P1","missing-saa-architecture","SAA","Resilience","Event-driven","decoupled failure handling","Event-driven resilience","13-architecture-and-design-patterns/README.md","13-architecture-and-design-patterns/03-event-driven-and-decoupled-systems.md","create-architecture-pattern","Batch 7","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","Batch 5","Target provides queues; retries; dlqs; idempotency; orchestration/choreography; observability; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-043","P1","missing-saa-architecture","SAA","Resilience","Serverless","serverless application design","Serverless architecture","13-architecture-and-design-patterns/README.md","13-architecture-and-design-patterns/04-serverless-application-patterns.md","create-architecture-pattern","Batch 7","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","Batch 5","Target provides api; compute; data; events; security; failure; scaling; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-044","P1","partial-topic","CPP","Billing","Pricing models","purchase options","AWS pricing fundamentals","12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md","12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md","expand-existing-lesson","Batch 8","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","none","Target provides on-demand; ri; savings plans; spot; storage; transfer; scenarios; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-045","P1","fact-review-required","CPP","Support","Support resources","current support plans and features","AWS Support","12-billing-pricing-and-support/aws-support/02-support-plans.md","12-billing-pricing-and-support/aws-support/02-support-plans.md","correct-fact","Batch 8","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","AWS-006","Target provides plan names; features; response-time source links; account assistance; cites current official AWS sources; matches fundamental CPP and awareness SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-046","P2","partial-topic","both","Cost optimization","Cost tools","tool selection","Cost management tools","12-billing-pricing-and-support/README.md","15-comparisons-and-decision-guides/cost/01-cost-management-tool-selection.md","create-comparison-guide","Batch 8","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","none","Target provides budgets/explorer/cur/calculator/tags; proactive/reactive; scenarios; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-047","P2","fact-review-required","both","Pricing","Data transfer","current cost principles","Data transfer costs","12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md","12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md","correct-fact","Batch 8","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","none","Target provides cost directions; az/region/edge/nat; checked date; no stale exact prices; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-048","P2","missing-topic","both","Analytics","Data ingestion","streaming service selection","Analytics ingestion","14-ai-ml-analytics-and-other-services/analytics/README.md","14-ai-ml-analytics-and-other-services/analytics/01-kinesis-and-data-firehose.md","create-new-lesson","Batch 9","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","none","Target provides streams/firehose; batch vs stream; destinations; scaling; cost; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-049","P2","partial-topic","both","Analytics","Analytics selection","analytics decision guide","Analytics services","14-ai-ml-analytics-and-other-services/analytics/README.md","15-comparisons-and-decision-guides/analytics/02-analytics-service-selection.md","create-comparison-guide","Batch 9","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","AWS-047","Target provides athena/emr/glue/redshift/opensearch/quick; use cases; trade-offs; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-050","P3","missing-topic","CPP","AI/ML","Service recognition","AI/ML recognition summary","AI and ML services","14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/README.md","14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/01-service-recognition-guide.md","create-cpp-summary","Batch 9","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","AWS-006","Target provides purpose and recognition; no implementation depth; current names; cites current official AWS sources; matches awareness CPP and awareness SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-051","P1","missing-scenario","CPP","All","Exam scenarios","CPP scenario reasoning","CPP exam preparation","16-exam-preparation/README.md","16-exam-preparation/01-cpp-scenario-reasoning.md","create-cpp-summary","Batch 10","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","Batches 1-9","Target provides domain-linked scenarios; distractor reasoning; no leaked questions; cites current official AWS sources; matches fundamental CPP and not-applicable SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-052","P1","missing-scenario","SAA","All","Architecture scenarios","SAA scenario reasoning","SAA exam preparation","16-exam-preparation/README.md","16-exam-preparation/02-saa-architecture-scenario-reasoning.md","create-saa-scenarios","Batch 10","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","Batches 1-9","Target provides requirements; constraints; eliminate options; trade-offs; domain links; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-053","P2","incorrect-badge","both","All","Scope labeling","badge corrections from audit","Certification badges","docs/certification-audit/BADGE-ACCURACY-AUDIT.csv","manual-review","correct-badges","Batch 10","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","Batches 1-9","Target provides apply only evidence-supported badge changes and preserve depth distinctions; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
"AWS-054","P2","broken-navigation","both","All","Navigation","indexes after implementation","Repository navigation","README.md","manual-review","improve-navigation","Batch 10","false","Assigned to a later batch by the Phase 5 authority; not selected for Batch 4.","Batches 1-10","Target provides update category readmes, service index, repository map, and validate links; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.","deferred-to-later-batch","No Batch 4 learning implementation authorized."
