backlog_id,priority,batch,topic,target_path,authoritative_acceptance_criteria,final_status,evidence,validation_result,remaining_work,blocks_phase_6_completion,notes
AWS-017,P2,Batch 2,AWS Storage Gateway,05-storage/aws-storage-gateway/01-overview.md,Target provides file/volume/tape; cache; recovery; connectivity; selection; cost; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,canonical target; Current Gateway Selection Supplement; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Implemented before recovery and reconciled from repository evidence.
AWS-018,P1,Batch 2,AWS Backup,05-storage/aws-backup/01-overview.md,Target provides plans; vaults; policies; cross-account/region; restore; cost; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,canonical target; Core Concepts; SAA Architecture and Design; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Implemented before recovery and reconciled from repository evidence.
AWS-019,P2,Batch 2,Compute and storage comparisons,15-comparisons-and-decision-guides/compute-and-storage/01-core-selection-guide.md,Target provides ec2/lambda/containers and s3/ebs/efs/instance-store decision tables; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,canonical target; compute and storage decision tables; SAA Scenario Patterns; PHASE-6-BATCH-2-RECONCILIATION.csv; commit 6f9540d,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Implemented before recovery and reconciled from repository evidence.
AWS-020,P0,Batch 3,Amazon VPC,07-networking-and-content-delivery/amazon-vpc/01-overview.md,Target provides cidr; subnets; routes; igw; nat; controls; endpoints; ha; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,07-networking-and-content-delivery/amazon-vpc/01-overview.md; PHASE-6-BATCH-3-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 3 acceptance criterion.
AWS-021,P1,Batch 3,VPC routing,07-networking-and-content-delivery/amazon-vpc/09-subnets-route-tables-and-internet-gateways.md,Target provides public/private; route evaluation; igw; egress; az design; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,07-networking-and-content-delivery/amazon-vpc/09-subnets-route-tables-and-internet-gateways.md; PHASE-6-BATCH-3-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 3 acceptance criterion.
AWS-022,P1,Batch 3,Security groups versus NACLs,15-comparisons-and-decision-guides/networking/03-security-groups-vs-network-acls.md,Target provides state; rule evaluation; scopes; return traffic; scenarios; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,15-comparisons-and-decision-guides/networking/03-security-groups-vs-network-acls.md; PHASE-6-BATCH-3-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 3 acceptance criterion.
AWS-023,P1,Batch 3,VPC endpoints and PrivateLink,07-networking-and-content-delivery/amazon-vpc/04-endpoint-services.md,Target provides gateway/interface endpoints; endpoint services; dns; security; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,07-networking-and-content-delivery/amazon-vpc/04-endpoint-services.md; PHASE-6-BATCH-3-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 3 acceptance criterion.
AWS-024,P1,Batch 3,Hybrid and multi-VPC connectivity,15-comparisons-and-decision-guides/networking/02-vpc-connectivity-options.md,Target provides peering; tgw; vpn; dx; topology; routing; ha; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,15-comparisons-and-decision-guides/networking/02-vpc-connectivity-options.md; PHASE-6-BATCH-3-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 3 acceptance criterion.
AWS-025,P1,Batch 3,Route 53 and CloudFront,15-comparisons-and-decision-guides/networking/04-dns-edge-and-global-routing.md,Target provides dns policies; health; cdn; global accelerator; selection; failure; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,15-comparisons-and-decision-guides/networking/04-dns-edge-and-global-routing.md; PHASE-6-BATCH-3-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 3 acceptance criterion.
AWS-026,P0,Batch 4,Amazon RDS,06-databases/amazon-rds/01-overview.md,Target provides engines; multi-az; replicas; backups; security; scaling; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,06-databases/amazon-rds/01-overview.md; PHASE-6-BATCH-4-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 4 acceptance criterion; does not block Batch 5.
AWS-027,P1,Batch 4,Amazon Aurora,06-databases/amazon-aurora/01-overview.md,Target provides cluster storage; replicas; failover; global/serverless; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,06-databases/amazon-aurora/01-overview.md; PHASE-6-BATCH-4-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 4 acceptance criterion; does not block Batch 5.
AWS-028,P0,Batch 4,Amazon DynamoDB,06-databases/amazon-dynamodb/01-overview.md,Target provides keys; capacity; indexes; consistency; global tables; streams; dax; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,06-databases/amazon-dynamodb/01-overview.md; PHASE-6-BATCH-4-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 4 acceptance criterion; does not block Batch 5.
AWS-029,P1,Batch 4,Amazon ElastiCache,06-databases/amazon-elasticache/01-overview.md,Target provides cache patterns; engines; ha; eviction; consistency; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,06-databases/amazon-elasticache/01-overview.md; PHASE-6-BATCH-4-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 4 acceptance criterion; does not block Batch 5.
AWS-030,P1,Batch 4,Database selection guide,15-comparisons-and-decision-guides/databases/01-database-selection-guide.md,Target provides rds/aurora/dynamodb/elasticache; data model; scaling; ha; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,15-comparisons-and-decision-guides/databases/01-database-selection-guide.md; PHASE-6-BATCH-4-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 4 acceptance criterion; does not block Batch 5.
AWS-031,P1,Batch 5,SQS and SNS,15-comparisons-and-decision-guides/application-integration/01-sqs-vs-sns-vs-eventbridge.md,Target provides queue/topic/event bus; delivery; ordering; retries; fanout; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,15-comparisons-and-decision-guides/application-integration/01-sqs-vs-sns-vs-eventbridge.md; PHASE-6-BATCH-5-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against Batch 5; does not block Batch 6.
AWS-032,P1,Batch 5,Amazon EventBridge,08-serverless-and-application-integration/amazon-eventbridge/01-overview.md,Target provides buses; rules; targets; schemas; delivery; archive/replay; security; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,08-serverless-and-application-integration/amazon-eventbridge/01-overview.md; PHASE-6-BATCH-5-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against Batch 5; does not block Batch 6.
AWS-033,P1,Batch 5,AWS Step Functions,08-serverless-and-application-integration/aws-step-functions/01-overview.md,Target provides workflow types; states; retries; errors; integration; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,08-serverless-and-application-integration/aws-step-functions/01-overview.md; PHASE-6-BATCH-5-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against Batch 5; does not block Batch 6.
AWS-034,P1,Batch 5,Amazon API Gateway,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,Target provides api types; auth; integration; throttling; caching; ha; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md; PHASE-6-BATCH-5-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against Batch 5; does not block Batch 6.
AWS-035,P0,Batch 6,Data protection architecture,13-architecture-and-design-patterns/security/01-data-protection-patterns.md,Target provides kms; tls; acm; secrets; rotation; envelope encryption; scenarios; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,13-architecture-and-design-patterns/security/01-data-protection-patterns.md; PHASE-6-BATCH-6-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against Batch 6; does not block Batch 7.
AWS-036,P1,Batch 6,Security services,15-comparisons-and-decision-guides/security/01-security-service-selection.md,Target provides guardduty/inspector/macie/security hub/detective/config; scopes; response; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,15-comparisons-and-decision-guides/security/01-security-service-selection.md; PHASE-6-BATCH-6-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against Batch 6; does not block Batch 7.
AWS-037,P1,Batch 6,CloudWatch CloudTrail Config,15-comparisons-and-decision-guides/operations/01-cloudwatch-vs-cloudtrail-vs-config.md,Target provides metrics/logs/traces/api history/config; alarms; compliance; scenarios; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,15-comparisons-and-decision-guides/operations/01-cloudwatch-vs-cloudtrail-vs-config.md; PHASE-6-BATCH-6-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against Batch 6; does not block Batch 7.
AWS-038,P1,Batch 6,Organizations and Control Tower,13-architecture-and-design-patterns/security/02-multi-account-governance.md,Target provides ous; scps; account factory; identity; logs; guardrails; trade-offs; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,13-architecture-and-design-patterns/security/02-multi-account-governance.md; PHASE-6-BATCH-6-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against Batch 6; does not block Batch 7.
AWS-039,P2,Batch 6,AWS Systems Manager,10-monitoring-management-and-deployment/aws-systems-manager/01-overview.md,Target provides inventory; patch; automation; parameters; session; hybrid; security; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,10-monitoring-management-and-deployment/aws-systems-manager/01-overview.md; PHASE-6-BATCH-6-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against Batch 6; does not block Batch 7.
AWS-040,P1,Batch 7,Highly available web application,13-architecture-and-design-patterns/01-highly-available-web-applications.md,Target provides multi-az tiers; elb/asg; data failover; dns; observability; trade-offs; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,13-architecture-and-design-patterns/01-highly-available-web-applications.md; docs/content-implementation/PHASE-6-BATCH-7-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Acceptance criteria passed; non-blocking for Batch 8.
AWS-041,P0,Batch 7,Disaster recovery,13-architecture-and-design-patterns/02-disaster-recovery-strategies.md,Target provides backup/restore; pilot light; warm standby; active-active; rto/rpo; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,13-architecture-and-design-patterns/02-disaster-recovery-strategies.md; docs/content-implementation/PHASE-6-BATCH-7-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Acceptance criteria passed; non-blocking for Batch 8.
AWS-042,P1,Batch 7,Event-driven resilience,13-architecture-and-design-patterns/03-event-driven-and-decoupled-systems.md,Target provides queues; retries; dlqs; idempotency; orchestration/choreography; observability; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,13-architecture-and-design-patterns/03-event-driven-and-decoupled-systems.md; docs/content-implementation/PHASE-6-BATCH-7-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Acceptance criteria passed; non-blocking for Batch 8.
AWS-043,P1,Batch 7,Serverless architecture,13-architecture-and-design-patterns/04-serverless-application-patterns.md,Target provides api; compute; data; events; security; failure; scaling; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,13-architecture-and-design-patterns/04-serverless-application-patterns.md; docs/content-implementation/PHASE-6-BATCH-7-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Acceptance criteria passed; non-blocking for Batch 8.
AWS-044,P1,Batch 8,AWS pricing fundamentals,12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,Target provides on-demand; ri; savings plans; spot; storage; transfer; scenarios; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md; PHASE-6-BATCH-8-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 8 acceptance criterion with current official sources checked 2026-07-25.
AWS-045,P1,Batch 8,AWS Support,12-billing-pricing-and-support/aws-support/02-support-plans.md,Target provides plan names; features; response-time source links; account assistance; cites current official AWS sources; matches fundamental CPP and awareness SAA depth where applicable; filename and links validate.,completed,12-billing-pricing-and-support/aws-support/02-support-plans.md; PHASE-6-BATCH-8-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 8 acceptance criterion with current official sources checked 2026-07-25.
AWS-046,P2,Batch 8,Cost management tools,15-comparisons-and-decision-guides/cost/01-cost-management-tool-selection.md,Target provides budgets/explorer/cur/calculator/tags; proactive/reactive; scenarios; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,15-comparisons-and-decision-guides/cost/01-cost-management-tool-selection.md; PHASE-6-BATCH-8-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 8 acceptance criterion with current official sources checked 2026-07-25.
AWS-047,P2,Batch 8,Data transfer costs,12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md,Target provides cost directions; az/region/edge/nat; checked date; no stale exact prices; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md; PHASE-6-BATCH-8-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 8 acceptance criterion with current official sources checked 2026-07-25.
AWS-048,P2,Batch 9,Analytics ingestion,14-ai-ml-analytics-and-other-services/analytics/01-kinesis-and-data-firehose.md,Target provides streams/firehose; batch vs stream; destinations; scaling; cost; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,14-ai-ml-analytics-and-other-services/analytics/01-kinesis-and-data-firehose.md; PHASE-6-BATCH-9-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 9 acceptance criterion; no Batch 10 blocker.
AWS-049,P2,Batch 9,Analytics services,15-comparisons-and-decision-guides/analytics/02-analytics-service-selection.md,Target provides athena/emr/glue/redshift/opensearch/quick; use cases; trade-offs; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,15-comparisons-and-decision-guides/analytics/02-analytics-service-selection.md; PHASE-6-BATCH-9-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 9 acceptance criterion; no Batch 10 blocker.
AWS-050,P3,Batch 9,AI and ML services,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/01-service-recognition-guide.md,Target provides purpose and recognition; no implementation depth; current names; cites current official AWS sources; matches awareness CPP and awareness SAA depth where applicable; filename and links validate.,completed,14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/01-service-recognition-guide.md; PHASE-6-BATCH-9-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 9 acceptance criterion; no Batch 10 blocker.
AWS-051,P1,Batch 10,CPP exam preparation,16-exam-preparation/01-cpp-scenario-reasoning.md,Target provides domain-linked scenarios; distractor reasoning; no leaked questions; cites current official AWS sources; matches fundamental CPP and not-applicable SAA depth where applicable; filename and links validate.,completed,16-exam-preparation/01-cpp-scenario-reasoning.md; PHASE-6-BATCH-10-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 10 acceptance criterion; no Phase 6 closure blocker.
AWS-052,P1,Batch 10,SAA exam preparation,16-exam-preparation/02-saa-architecture-scenario-reasoning.md,Target provides requirements; constraints; eliminate options; trade-offs; domain links; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,completed,16-exam-preparation/02-saa-architecture-scenario-reasoning.md; PHASE-6-BATCH-10-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 10 acceptance criterion; no Phase 6 closure blocker.
AWS-053,P2,Batch 10,Certification badges,docs/certification-audit/BADGE-ACCURACY-AUDIT.csv,Target provides apply only evidence-supported badge changes and preserve depth distinctions; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,completed,docs/certification-audit/BADGE-ACCURACY-AUDIT.csv; PHASE-6-BATCH-10-POST-IMPLEMENTATION.csv,Batch acceptance evidence reconciled; final repository validation suite passed on 2026-07-25.,none for this acceptance criterion,false,Completed against the Batch 10 acceptance criterion; no Phase 6 closure blocker.
