path,content_type,certification,originality_status,answer_quality,service_accuracy,ambiguity_found,issue_severity,action_taken,final_status,notes
07-networking-and-content-delivery/amazon-vpc/09-subnets-route-tables-and-internet-gateways.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
08-serverless-and-application-integration/amazon-eventbridge/01-overview.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
08-serverless-and-application-integration/aws-step-functions/01-overview.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
12-billing-pricing-and-support/aws-support/02-support-plans.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
13-architecture-and-design-patterns/01-highly-available-web-applications.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
13-architecture-and-design-patterns/02-disaster-recovery-strategies.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
13-architecture-and-design-patterns/03-event-driven-and-decoupled-systems.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
13-architecture-and-design-patterns/04-serverless-application-patterns.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,explained,no defect found in Phase 7 targeted review,false,none,none required,passed,No real-exam source claim or exam dump marker found.
13-architecture-and-design-patterns/security/01-data-protection-patterns.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
13-architecture-and-design-patterns/security/02-multi-account-governance.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
14-ai-ml-analytics-and-other-services/analytics/01-kinesis-and-data-firehose.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/01-service-recognition-guide.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,explained,no defect found in Phase 7 targeted review,false,none,none required,passed,No real-exam source claim or exam dump marker found.
15-comparisons-and-decision-guides/analytics/02-analytics-service-selection.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
15-comparisons-and-decision-guides/application-integration/01-sqs-vs-sns-vs-eventbridge.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
15-comparisons-and-decision-guides/compute-and-storage/01-core-selection-guide.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
15-comparisons-and-decision-guides/cost/01-cost-management-tool-selection.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,explained,no defect found in Phase 7 targeted review,false,none,none required,passed,No real-exam source claim or exam dump marker found.
15-comparisons-and-decision-guides/databases/01-database-selection-guide.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
15-comparisons-and-decision-guides/networking/03-security-groups-vs-network-acls.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
15-comparisons-and-decision-guides/networking/04-dns-edge-and-global-routing.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,explained,no defect found in Phase 7 targeted review,false,none,none required,passed,No real-exam source claim or exam dump marker found.
15-comparisons-and-decision-guides/operations/01-cloudwatch-vs-cloudtrail-vs-config.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,explained,no defect found in Phase 7 targeted review,false,none,none required,passed,No real-exam source claim or exam dump marker found.
15-comparisons-and-decision-guides/security/01-security-service-selection.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,questions present without answer section,no defect found in Phase 7 targeted review,false,medium,documented as non-blocking editorial debt,passed-with-limitation,No real-exam source claim or exam dump marker found.
16-exam-preparation/01-cpp-scenario-reasoning.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,explained,no defect found in Phase 7 targeted review,false,none,none required,passed,No real-exam source claim or exam dump marker found.
16-exam-preparation/02-saa-architecture-scenario-reasoning.md,knowledge-check-or-exam-preparation,CPP/SAA as badged,no copied-exam indicator found,explained,no defect found in Phase 7 targeted review,false,none,none required,passed,No real-exam source claim or exam dump marker found.
