path,review_area,issue_severity,issue_description,evidence,action_taken,validation_result,notes
05-storage/aws-storage-gateway/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
05-storage/ec2-instance-store/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
06-databases/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
06-databases/amazon-aurora/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
06-databases/amazon-dynamodb/01-overview.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
06-databases/amazon-elasticache/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
06-databases/amazon-rds/01-overview.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
07-networking-and-content-delivery/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
07-networking-and-content-delivery/amazon-vpc/01-overview.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
07-networking-and-content-delivery/amazon-vpc/04-endpoint-services.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
07-networking-and-content-delivery/amazon-vpc/09-subnets-route-tables-and-internet-gateways.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
08-serverless-and-application-integration/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
08-serverless-and-application-integration/amazon-eventbridge/01-overview.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
08-serverless-and-application-integration/aws-step-functions/01-overview.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
09-security-and-compliance/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
10-monitoring-management-and-deployment/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
10-monitoring-management-and-deployment/aws-systems-manager/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
11-migration-and-hybrid-cloud/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
11-migration-and-hybrid-cloud/aws-application-discovery-service/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
11-migration-and-hybrid-cloud/aws-database-migration-service/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
11-migration-and-hybrid-cloud/aws-datasync/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
11-migration-and-hybrid-cloud/aws-migration-hub/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
11-migration-and-hybrid-cloud/aws-outposts/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
11-migration-and-hybrid-cloud/aws-schema-conversion-tool/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
11-migration-and-hybrid-cloud/aws-snowball-edge/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-billing-and-cost-management/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-billing-and-cost-management/04-rightsizing.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-billing-and-cost-management/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-billing-conductor/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-budgets/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-cost-allocation-tags/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-cost-and-usage-reports/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-cost-explorer/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-health-dashboard/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-pricing-calculator/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-repost/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-support/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-support/02-support-plans.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-support/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/aws-trusted-advisor/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/customer-enablement/aws-guidance/01-study-guide.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/customer-enablement/aws-managed-services/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/customer-enablement/aws-partner-network/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/customer-enablement/aws-prescriptive-guidance/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/customer-enablement/aws-professional-services/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
12-billing-pricing-and-support/customer-enablement/aws-trust-and-safety/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
13-architecture-and-design-patterns/01-highly-available-web-applications.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
13-architecture-and-design-patterns/02-disaster-recovery-strategies.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
13-architecture-and-design-patterns/03-event-driven-and-decoupled-systems.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
13-architecture-and-design-patterns/04-serverless-application-patterns.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
13-architecture-and-design-patterns/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
13-architecture-and-design-patterns/security/01-data-protection-patterns.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
13-architecture-and-design-patterns/security/02-multi-account-governance.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/analytics/01-kinesis-and-data-firehose.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/analytics/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/analytics/amazon-athena/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/analytics/amazon-emr/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/analytics/amazon-kinesis-video-streams/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/analytics/amazon-quicksight/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/analytics/amazon-redshift/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/analytics/aws-glue/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/01-service-recognition-guide.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-comprehend/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-kendra/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-lex/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-polly/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-rekognition/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-textract/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-translate/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/business-applications/amazon-connect/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/business-applications/aws-amplify/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot-greengrass/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
14-ai-ml-analytics-and-other-services/internet-of-things/aws-iot/01-overview.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
15-comparisons-and-decision-guides/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
15-comparisons-and-decision-guides/analytics/02-analytics-service-selection.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
15-comparisons-and-decision-guides/analytics/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
15-comparisons-and-decision-guides/application-integration/01-sqs-vs-sns-vs-eventbridge.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
15-comparisons-and-decision-guides/application-integration/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
15-comparisons-and-decision-guides/compute-and-storage/01-core-selection-guide.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
15-comparisons-and-decision-guides/cost/01-cost-management-tool-selection.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
15-comparisons-and-decision-guides/cost/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
15-comparisons-and-decision-guides/databases/01-database-selection-guide.md,"headings, placeholders, claims, tables, checks, and references",medium,Knowledge-check questions lack nearby answer explanations.,knowledge-check scan,documented as non-blocking editorial debt; no broad content rewrite in Phase 7,passed with limitation,"No placeholder, merge marker, or unsafe guarantee was found."
15-comparisons-and-decision-guides/databases/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
15-comparisons-and-decision-guides/identity-and-governance/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
15-comparisons-and-decision-guides/migration/README.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
15-comparisons-and-decision-guides/networking/02-vpc-connectivity-options.md,"headings, placeholders, claims, tables, checks, and references",none,No consistency defect detected by structural and claim scans.,Phase 7 automated and manual review,none required,passed,"No placeholder, merge marker, or unsafe guarantee was found."
