topic_or_service,expected_canonical_path,additional_paths_found,classification,conflict_found,action_taken,final_owner,validation_result,notes
Amazon EBS,05-storage/amazon-ebs/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,05-storage/amazon-ebs/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon EFS,05-storage/amazon-efs/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,05-storage/amazon-efs/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon FSx for Lustre,05-storage/amazon-fsx-for-lustre/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,05-storage/amazon-fsx-for-lustre/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon FSx for Windows File Server,05-storage/amazon-fsx-for-windows-file-server/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,05-storage/amazon-fsx-for-windows-file-server/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon S3,05-storage/amazon-s3/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,05-storage/amazon-s3/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
S3 Storage Classes,05-storage/amazon-s3/02-storage-classes.md,none identified by duplicate and inventory scans,canonical,false,none required,05-storage/amazon-s3/02-storage-classes.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon S3 Lifecycle Policy,05-storage/amazon-s3/03-lifecycle-policies.md,none identified by duplicate and inventory scans,canonical,false,none required,05-storage/amazon-s3/03-lifecycle-policies.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon S3,05-storage/amazon-s3/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Storage Gateway,05-storage/aws-storage-gateway/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,05-storage/aws-storage-gateway/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
README AWS File Gateway,05-storage/aws-storage-gateway/02-file-gateway.md,none identified by duplicate and inventory scans,canonical,false,none required,05-storage/aws-storage-gateway/02-file-gateway.md,passed,Historical mentions and comparisons were retained in their proper roles.
Volume Gateway cached mode,05-storage/aws-storage-gateway/03-volume-gateway-cached.md,none identified by duplicate and inventory scans,canonical,false,none required,05-storage/aws-storage-gateway/03-volume-gateway-cached.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Volume Gateway (Stored Mode) — README Study Note,05-storage/aws-storage-gateway/04-volume-gateway-stored.md,none identified by duplicate and inventory scans,canonical,false,none required,05-storage/aws-storage-gateway/04-volume-gateway-stored.md,passed,Historical mentions and comparisons were retained in their proper roles.
Tape Gateway,05-storage/aws-storage-gateway/05-tape-gateway.md,none identified by duplicate and inventory scans,canonical,false,none required,05-storage/aws-storage-gateway/05-tape-gateway.md,passed,Historical mentions and comparisons were retained in their proper roles.
Aws Storage Gateway,05-storage/aws-storage-gateway/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon EC2 Instance Store,05-storage/ec2-instance-store/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,05-storage/ec2-instance-store/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Storage,05-storage/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Aurora,06-databases/amazon-aurora/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,06-databases/amazon-aurora/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Aurora Provisioned,06-databases/amazon-aurora/02-provisioned.md,none identified by duplicate and inventory scans,canonical,false,none required,06-databases/amazon-aurora/02-provisioned.md,passed,Historical mentions and comparisons were retained in their proper roles.
Aurora Serverless,06-databases/amazon-aurora/03-serverless.md,none identified by duplicate and inventory scans,canonical,false,none required,06-databases/amazon-aurora/03-serverless.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Aurora,06-databases/amazon-aurora/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon ElastiCache,06-databases/amazon-elasticache/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,06-databases/amazon-elasticache/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Databases,06-databases/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon CloudFront,07-networking-and-content-delivery/amazon-cloudfront/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,07-networking-and-content-delivery/amazon-cloudfront/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Route 53,07-networking-and-content-delivery/amazon-route-53/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,07-networking-and-content-delivery/amazon-route-53/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon VPC Security Groups,07-networking-and-content-delivery/amazon-vpc/02-security-groups.md,none identified by duplicate and inventory scans,canonical,false,none required,07-networking-and-content-delivery/amazon-vpc/02-security-groups.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS VPC Flow Logs,07-networking-and-content-delivery/amazon-vpc/03-flow-logs.md,none identified by duplicate and inventory scans,canonical,false,none required,07-networking-and-content-delivery/amazon-vpc/03-flow-logs.md,passed,Historical mentions and comparisons were retained in their proper roles.
VPC Endpoint Services,07-networking-and-content-delivery/amazon-vpc/04-endpoint-services.md,none identified by duplicate and inventory scans,canonical,false,none required,07-networking-and-content-delivery/amazon-vpc/04-endpoint-services.md,passed,Historical mentions and comparisons were retained in their proper roles.
VPC Peering,07-networking-and-content-delivery/amazon-vpc/05-vpc-peering.md,none identified by duplicate and inventory scans,canonical,false,none required,07-networking-and-content-delivery/amazon-vpc/05-vpc-peering.md,passed,Historical mentions and comparisons were retained in their proper roles.
Customer Gateway (CGW),07-networking-and-content-delivery/amazon-vpc/06-customer-gateway.md,none identified by duplicate and inventory scans,canonical,false,none required,07-networking-and-content-delivery/amazon-vpc/06-customer-gateway.md,passed,Historical mentions and comparisons were retained in their proper roles.
Virtual Private Gateway (VGW),07-networking-and-content-delivery/amazon-vpc/07-virtual-private-gateway.md,none identified by duplicate and inventory scans,canonical,false,none required,07-networking-and-content-delivery/amazon-vpc/07-virtual-private-gateway.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS NAT Gateway,07-networking-and-content-delivery/amazon-vpc/08-nat-gateway.md,none identified by duplicate and inventory scans,canonical,false,none required,07-networking-and-content-delivery/amazon-vpc/08-nat-gateway.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Vpc,07-networking-and-content-delivery/amazon-vpc/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Direct Connect,07-networking-and-content-delivery/aws-direct-connect/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,07-networking-and-content-delivery/aws-direct-connect/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Global Accelerator,07-networking-and-content-delivery/aws-global-accelerator/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,07-networking-and-content-delivery/aws-global-accelerator/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Global Accelerator Static IPs,07-networking-and-content-delivery/aws-global-accelerator/02-static-ip-addresses.md,none identified by duplicate and inventory scans,canonical,false,none required,07-networking-and-content-delivery/aws-global-accelerator/02-static-ip-addresses.md,passed,Historical mentions and comparisons were retained in their proper roles.
Aws Global Accelerator,07-networking-and-content-delivery/aws-global-accelerator/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Transit Gateway,07-networking-and-content-delivery/aws-transit-gateway/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,07-networking-and-content-delivery/aws-transit-gateway/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Networking – Complete Cloud Practitioner Study Guide,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,none identified by duplicate and inventory scans,canonical,false,none required,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,passed,Historical mentions and comparisons were retained in their proper roles.
Networking And Content Delivery,07-networking-and-content-delivery/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon API Gateway,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon EventBridge,08-serverless-and-application-integration/amazon-eventbridge/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,08-serverless-and-application-integration/amazon-eventbridge/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Step Functions,08-serverless-and-application-integration/aws-step-functions/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,08-serverless-and-application-integration/aws-step-functions/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon SQS vs Amazon SNS vs Amazon EventBridge,15-comparisons-and-decision-guides/application-integration/01-sqs-vs-sns-vs-eventbridge.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Simple Email Service (Amazon SES),08-serverless-and-application-integration/amazon-ses/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,08-serverless-and-application-integration/amazon-ses/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Simple Queue Service (Amazon SQS),08-serverless-and-application-integration/amazon-sqs/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,08-serverless-and-application-integration/amazon-sqs/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS AppSync,08-serverless-and-application-integration/aws-appsync/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,08-serverless-and-application-integration/aws-appsync/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Serverless And Application Integration,08-serverless-and-application-integration/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Cognito,09-security-and-compliance/amazon-cognito/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,09-security-and-compliance/amazon-cognito/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon GuardDuty,09-security-and-compliance/amazon-guardduty/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,09-security-and-compliance/amazon-guardduty/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Inspector,09-security-and-compliance/amazon-inspector/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,09-security-and-compliance/amazon-inspector/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Macie,09-security-and-compliance/amazon-macie/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,09-security-and-compliance/amazon-macie/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon Verified Permissions,09-security-and-compliance/amazon-verified-permissions/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,09-security-and-compliance/amazon-verified-permissions/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Artifact,09-security-and-compliance/aws-artifact/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,09-security-and-compliance/aws-artifact/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Audit Manager,09-security-and-compliance/aws-audit-manager/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,09-security-and-compliance/aws-audit-manager/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Certificate Manager (ACM),09-security-and-compliance/aws-certificate-manager/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,09-security-and-compliance/aws-certificate-manager/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Compliance Programs Page,09-security-and-compliance/aws-compliance-programs/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,09-security-and-compliance/aws-compliance-programs/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS KMS,09-security-and-compliance/aws-kms/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,09-security-and-compliance/aws-kms/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Network Firewall,09-security-and-compliance/aws-network-firewall/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,09-security-and-compliance/aws-network-firewall/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Secrets Manager,09-security-and-compliance/aws-secrets-manager/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,09-security-and-compliance/aws-secrets-manager/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Security Hub,09-security-and-compliance/aws-security-hub/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,09-security-and-compliance/aws-security-hub/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Shield,09-security-and-compliance/aws-shield/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,09-security-and-compliance/aws-shield/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS WAF,09-security-and-compliance/aws-waf/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,09-security-and-compliance/aws-waf/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Security And Compliance,09-security-and-compliance/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Security And Compliance Overview,09-security-and-compliance/security-and-compliance-overview/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,09-security-and-compliance/security-and-compliance-overview/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Amazon CodeGuru — AWS Cloud Practitioner README,10-monitoring-management-and-deployment/amazon-codeguru/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,10-monitoring-management-and-deployment/amazon-codeguru/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS CloudFormation Templates,10-monitoring-management-and-deployment/aws-cloudformation/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,10-monitoring-management-and-deployment/aws-cloudformation/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS CloudShell,10-monitoring-management-and-deployment/aws-cloudshell/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,10-monitoring-management-and-deployment/aws-cloudshell/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS CodeBuild,10-monitoring-management-and-deployment/aws-codebuild/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,10-monitoring-management-and-deployment/aws-codebuild/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS CodeCommit,10-monitoring-management-and-deployment/aws-codecommit/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,10-monitoring-management-and-deployment/aws-codecommit/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS CodeDeploy,10-monitoring-management-and-deployment/aws-codedeploy/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,10-monitoring-management-and-deployment/aws-codedeploy/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS CodePipeline – README Study Note,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS CodeStar README Study Note,10-monitoring-management-and-deployment/aws-codestar/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,10-monitoring-management-and-deployment/aws-codestar/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Config,10-monitoring-management-and-deployment/aws-config/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,10-monitoring-management-and-deployment/aws-config/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Systems Manager,10-monitoring-management-and-deployment/aws-systems-manager/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,10-monitoring-management-and-deployment/aws-systems-manager/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Data Protection Patterns,13-architecture-and-design-patterns/security/01-data-protection-patterns.md,none identified by duplicate and inventory scans,architecture-pattern,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Security Service Selection,15-comparisons-and-decision-guides/security/01-security-service-selection.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
CloudWatch vs CloudTrail vs AWS Config,15-comparisons-and-decision-guides/operations/01-cloudwatch-vs-cloudtrail-vs-config.md,none identified by duplicate and inventory scans,comparison,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Multi-Account Governance,13-architecture-and-design-patterns/security/02-multi-account-governance.md,none identified by duplicate and inventory scans,architecture-pattern,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Systems Manager Session Manager,10-monitoring-management-and-deployment/aws-systems-manager/02-session-manager.md,none identified by duplicate and inventory scans,canonical,false,none required,10-monitoring-management-and-deployment/aws-systems-manager/02-session-manager.md,passed,Historical mentions and comparisons were retained in their proper roles.
Aws Systems Manager,10-monitoring-management-and-deployment/aws-systems-manager/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
AWS X-Ray,10-monitoring-management-and-deployment/aws-x-ray/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,10-monitoring-management-and-deployment/aws-x-ray/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
Monitoring Management And Deployment,10-monitoring-management-and-deployment/README.md,none identified by duplicate and inventory scans,supplementary,false,none required,not a competing service owner,passed,Historical mentions and comparisons were retained in their proper roles.
Service Quotas,10-monitoring-management-and-deployment/service-quotas/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,10-monitoring-management-and-deployment/service-quotas/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Application Discovery Service,11-migration-and-hybrid-cloud/aws-application-discovery-service/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,11-migration-and-hybrid-cloud/aws-application-discovery-service/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS Database Migration Service (AWS DMS) — Study Note,11-migration-and-hybrid-cloud/aws-database-migration-service/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,11-migration-and-hybrid-cloud/aws-database-migration-service/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
AWS DataSync,11-migration-and-hybrid-cloud/aws-datasync/01-overview.md,none identified by duplicate and inventory scans,canonical,false,none required,11-migration-and-hybrid-cloud/aws-datasync/01-overview.md,passed,Historical mentions and comparisons were retained in their proper roles.
