concept,cpp_relevance,saa_relevance,official_source_section,canonical_paths,coverage_status,cpp_depth,saa_depth,missing_elements,priority,recommended_action,target_path,notes
Auto Scaling,core,architecture,Technologies/concepts and task statements,04-compute/amazon-ec2/07-placement-groups.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md,partial,fundamental,scenario-ready,Correct-depth explanation and scenarios,P2,expand-existing-lesson,04-compute/amazon-ec2/07-placement-groups.md,Paraphrased official concept mapping.
Multi-AZ design,awareness,architecture,Technologies/concepts and task statements,04-compute/amazon-ec2/07-placement-groups.md; 07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md,mention-only,fundamental,scenario-ready,Correct-depth explanation and scenarios,P2,expand-existing-lesson,04-compute/amazon-ec2/07-placement-groups.md,Paraphrased official concept mapping.
Multi-Region design,awareness,architecture,Technologies/concepts and task statements,04-compute/amazon-ec2/07-placement-groups.md; 07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md,partial,fundamental,scenario-ready,Correct-depth explanation and scenarios,P2,expand-existing-lesson,04-compute/amazon-ec2/07-placement-groups.md,Paraphrased official concept mapping.
RTO and RPO,awareness,architecture,Technologies/concepts and task statements,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,mention-only,awareness,scenario-ready,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,Paraphrased official concept mapping.
object block and file storage,core,architecture,Technologies/concepts and task statements,05-storage/amazon-fsx-for-lustre/01-overview.md; 05-storage/amazon-ebs/01-overview.md; 15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md,complete,fundamental,architecture-and-design,none,P3,expand-existing-lesson,05-storage/amazon-fsx-for-lustre/01-overview.md,Paraphrased official concept mapping.
relational versus NoSQL,core,architecture,Technologies/concepts and task statements,06-databases/amazon-aurora/02-provisioned.md; 06-databases/amazon-aurora/03-serverless.md; 14-ai-ml-analytics-and-other-services/analytics/amazon-redshift/01-overview.md,partial,awareness,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,06-databases/amazon-aurora/02-provisioned.md,Paraphrased official concept mapping.
VPC segmentation and routing,core,architecture,Technologies/concepts and task statements,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 07-networking-and-content-delivery/aws-transit-gateway/01-overview.md; 13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md,partial,awareness,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,Paraphrased official concept mapping.
hybrid connectivity,awareness,architecture,Technologies/concepts and task statements,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 15-comparisons-and-decision-guides/storage/02-storage-gateway-family.md; 15-comparisons-and-decision-guides/migration/02-snowball-edge-vs-outposts.md,partial,awareness,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,Paraphrased official concept mapping.
monitoring logging and auditing,core,architecture,Technologies/concepts and task statements,03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md; 07-networking-and-content-delivery/amazon-vpc/03-flow-logs.md; 09-security-and-compliance/aws-audit-manager/01-overview.md,partial,awareness,intermediate,Correct-depth explanation and scenarios,P2,expand-existing-lesson,03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md,Paraphrased official concept mapping.
rightsizing,core,architecture,Technologies/concepts and task statements,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/04-rightsizing.md; 12-billing-pricing-and-support/README.md,mention-only,awareness,scenario-ready,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,Paraphrased official concept mapping.
pricing models,core,architecture,Technologies/concepts and task statements,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md; 04-compute/amazon-ec2/01-overview.md,partial,awareness,intermediate,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,Paraphrased official concept mapping.
data transfer costs,core,architecture,Technologies/concepts and task statements,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md,partial,awareness,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,Paraphrased official concept mapping.
AWS Support resources,core,not-applicable,Technologies/concepts and task statements,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,partial,awareness,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,Paraphrased official concept mapping.
service quotas,awareness,architecture,Technologies/concepts and task statements,12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/aws-support/01-overview.md; 10-monitoring-management-and-deployment/service-quotas/01-overview.md,partial,fundamental,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/aws-support/02-support-plans.md,Paraphrased official concept mapping.
streaming and batch ingestion,awareness,architecture,Technologies/concepts and task statements,15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md; 14-ai-ml-analytics-and-other-services/analytics/amazon-emr/01-overview.md; 14-ai-ml-analytics-and-other-services/analytics/amazon-kinesis-video-streams/01-overview.md,partial,mention-only,intermediate,Correct-depth explanation and scenarios,P2,expand-existing-lesson,15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md,Paraphrased official concept mapping.
backup and lifecycle,core,architecture,Technologies/concepts and task statements,05-storage/amazon-s3/01-overview.md; 05-storage/amazon-s3/02-storage-classes.md; 05-storage/amazon-s3/03-lifecycle-policies.md,partial,fundamental,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,05-storage/amazon-s3/01-overview.md,Paraphrased official concept mapping.
AWS APIs,awareness,supporting,Technologies/concepts and task statements,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md; 15-comparisons-and-decision-guides/analytics/01-emr-vs-redshift.md,mention-only,awareness,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,Paraphrased official concept mapping.
AWS SDKs,awareness,supporting,Technologies/concepts and task statements,05-storage/aws-storage-gateway/03-volume-gateway-cached.md; 14-ai-ml-analytics-and-other-services/analytics/amazon-kinesis-video-streams/01-overview.md,mention-only,mention-only,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,05-storage/aws-storage-gateway/03-volume-gateway-cached.md,Paraphrased official concept mapping.
AWS Management Console and AWS CLI,core,supporting,Technologies/concepts and task statements,15-comparisons-and-decision-guides/identity-and-governance/03-users-groups-and-roles.md; 04-compute/aws-elastic-beanstalk/01-overview.md; 10-monitoring-management-and-deployment/aws-cloudshell/01-overview.md,partial,awareness,intermediate,Correct-depth explanation and scenarios,P2,expand-existing-lesson,15-comparisons-and-decision-guides/identity-and-governance/03-users-groups-and-roles.md,Paraphrased official concept mapping.
AWS compliance,core,architecture,Technologies/concepts and task statements,12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 04-compute/amazon-ec2/02-study-guide.md,mention-only,fundamental,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/aws-support/02-support-plans.md,Paraphrased official concept mapping.
EC2 purchasing options,core,architecture,Technologies/concepts and task statements,04-compute/amazon-ec2/02-study-guide.md; 12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md; 04-compute/amazon-ec2/03-reserved-instances.md,partial,awareness,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,04-compute/amazon-ec2/02-study-guide.md,Paraphrased official concept mapping.
AWS Partner Network,awareness,not-applicable,Technologies/concepts and task statements,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md,partial,awareness,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,Paraphrased official concept mapping.
AWS Pricing Calculator,core,supporting,Technologies/concepts and task statements,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md; 12-billing-pricing-and-support/aws-budgets/01-overview.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/01-overview.md,partial,awareness,intermediate,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,Paraphrased official concept mapping.
AWS Professional Services,awareness,not-applicable,Technologies/concepts and task statements,12-billing-pricing-and-support/aws-support/02-support-plans.md; 13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md; 08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,partial,fundamental,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/aws-support/02-support-plans.md,Paraphrased official concept mapping.
AWS re:Post,awareness,not-applicable,Technologies/concepts and task statements,04-compute/amazon-ec2/07-placement-groups.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,mention-only,fundamental,scenario-ready,Correct-depth explanation and scenarios,P2,expand-existing-lesson,04-compute/amazon-ec2/07-placement-groups.md,Paraphrased official concept mapping.
AWS Prescriptive Guidance,awareness,supporting,Technologies/concepts and task statements,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 12-billing-pricing-and-support/customer-enablement/aws-prescriptive-guidance/01-overview.md; 12-billing-pricing-and-support/customer-enablement/aws-guidance/01-study-guide.md,partial,awareness,scenario-ready,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,Paraphrased official concept mapping.
AWS Security Blog,awareness,supporting,Technologies/concepts and task statements,12-billing-pricing-and-support/customer-enablement/aws-guidance/01-study-guide.md,mention-only,awareness,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/customer-enablement/aws-guidance/01-study-guide.md,Paraphrased official concept mapping.
AWS Support Center and plans,core,not-applicable,Technologies/concepts and task statements,12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,partial,fundamental,architecture-and-design,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/aws-support/02-support-plans.md,Paraphrased official concept mapping.
AWS Knowledge Center,awareness,supporting,Technologies/concepts and task statements,12-billing-pricing-and-support/aws-repost/01-overview.md; 12-billing-pricing-and-support/aws-support/01-overview.md; 07-networking-and-content-delivery/amazon-vpc/06-customer-gateway.md,partial,awareness,intermediate,Correct-depth explanation and scenarios,P2,expand-existing-lesson,12-billing-pricing-and-support/aws-repost/01-overview.md,Paraphrased official concept mapping.
AWS Solutions Architects,awareness,supporting,Technologies/concepts and task statements,04-compute/amazon-ec2/07-placement-groups.md,mention-only,fundamental,scenario-ready,Correct-depth explanation and scenarios,P2,expand-existing-lesson,04-compute/amazon-ec2/07-placement-groups.md,Paraphrased official concept mapping.
cloud migration and data transfer,core,architecture,Technologies/concepts and task statements,15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md; 15-comparisons-and-decision-guides/storage/02-storage-gateway-family.md; 15-comparisons-and-decision-guides/migration/02-snowball-edge-vs-outposts.md,partial,mention-only,intermediate,Correct-depth explanation and scenarios,P2,expand-existing-lesson,15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md,Paraphrased official concept mapping.
management and governance,core,architecture,Technologies/concepts and task statements,03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md; 09-security-and-compliance/aws-security-hub/01-overview.md; 03-identity-governance-and-organizations/aws-control-tower/01-overview.md,partial,awareness,intermediate,Correct-depth explanation and scenarios,P2,expand-existing-lesson,03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md,Paraphrased official concept mapping.
