backlog_id,priority,gap_type,certification,official_domain,official_task,official_requirement,topic,current_paths,target_path,recommended_action,required_cpp_depth,required_saa_depth,required_sections,related_services,dependencies,official_sources_required,estimated_effort,batch,acceptance_criteria,status,notes
AWS-017,P2,partial-topic,both,Storage,Hybrid storage,gateway modes,AWS Storage Gateway,05-storage/aws-storage-gateway/01-overview.md,05-storage/aws-storage-gateway/01-overview.md,expand-existing-lesson,fundamental,architecture-and-design,File/Volume/Tape; cache; recovery; connectivity; selection; cost,Storage Gateway; S3; EBS,none,Storage Gateway docs,M,Batch 2,Target provides file/volume/tape; cache; recovery; connectivity; selection; cost; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-018,P1,missing-topic,both,Storage/Resilience,Backup,centralized backup and restore,AWS Backup,05-storage/README.md,05-storage/aws-backup/01-overview.md,create-new-lesson,fundamental,architecture-and-design,Plans; vaults; policies; cross-account/Region; restore; cost,AWS Backup; Organizations; KMS,none,AWS Backup docs,M,Batch 2,Target provides plans; vaults; policies; cross-account/region; restore; cost; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-019,P2,missing-comparison,both,Compute/Storage,Selection,core selection trade-offs,Compute and storage comparisons,15-comparisons-and-decision-guides/README.md,15-comparisons-and-decision-guides/compute-and-storage/01-core-selection-guide.md,create-comparison-guide,fundamental,scenario-ready,EC2/Lambda/containers and S3/EBS/EFS/instance-store decision tables,Core compute and storage,AWS-007; AWS-009; AWS-010; AWS-012,Official service docs,L,Batch 2,Target provides ec2/lambda/containers and s3/ebs/efs/instance-store decision tables; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-020,P0,missing-topic,both,Networking,Network design,VPC foundations,Amazon VPC,07-networking-and-content-delivery/amazon-vpc/README.md,07-networking-and-content-delivery/amazon-vpc/01-overview.md,create-new-lesson,fundamental,scenario-ready,CIDR; subnets; routes; IGW; NAT; controls; endpoints; HA; cost,VPC,AWS-003,VPC docs,L,Batch 3,Target provides cidr; subnets; routes; igw; nat; controls; endpoints; ha; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-021,P1,partial-topic,SAA,Networking,Network design,subnets routes gateways,VPC routing,07-networking-and-content-delivery/amazon-vpc/README.md,07-networking-and-content-delivery/amazon-vpc/09-subnets-route-tables-and-internet-gateways.md,create-new-lesson,awareness,scenario-ready,Public/private; route evaluation; IGW; egress; AZ design,VPC; NAT Gateway,AWS-020,VPC docs,L,Batch 3,Target provides public/private; route evaluation; igw; egress; az design; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-022,P1,wrong-certification-depth,both,Networking,Network security,stateful and stateless controls,Security groups versus NACLs,07-networking-and-content-delivery/amazon-vpc/02-security-groups.md,15-comparisons-and-decision-guides/networking/03-security-groups-vs-network-acls.md,create-comparison-guide,fundamental,scenario-ready,State; rule evaluation; scopes; return traffic; scenarios,VPC,AWS-020,VPC security docs,M,Batch 3,Target provides state; rule evaluation; scopes; return traffic; scenarios; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-023,P1,partial-topic,SAA,Networking,Private connectivity,endpoint selection,VPC endpoints and PrivateLink,07-networking-and-content-delivery/amazon-vpc/04-endpoint-services.md,07-networking-and-content-delivery/amazon-vpc/04-endpoint-services.md,expand-existing-lesson,awareness,scenario-ready,Gateway/interface endpoints; endpoint services; DNS; security; cost,PrivateLink; S3; DynamoDB,AWS-020,PrivateLink docs,M,Batch 3,Target provides gateway/interface endpoints; endpoint services; dns; security; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-024,P1,partial-topic,SAA,Networking,Hybrid/network topology,connectivity selection,Hybrid and multi-VPC connectivity,15-comparisons-and-decision-guides/networking/02-vpc-connectivity-options.md,15-comparisons-and-decision-guides/networking/02-vpc-connectivity-options.md,expand-existing-lesson,awareness,scenario-ready,Peering; TGW; VPN; DX; topology; routing; HA; cost,Transit Gateway; Direct Connect; VPN; peering,AWS-020,Networking docs,L,Batch 3,Target provides peering; tgw; vpn; dx; topology; routing; ha; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-025,P1,partial-topic,both,Networking,DNS and edge,routing and delivery decisions,Route 53 and CloudFront,07-networking-and-content-delivery/amazon-route-53/01-overview.md,15-comparisons-and-decision-guides/networking/04-dns-edge-and-global-routing.md,create-comparison-guide,fundamental,scenario-ready,DNS policies; health; CDN; Global Accelerator; selection; failure,Route 53; CloudFront; Global Accelerator,none,Official networking docs,L,Batch 3,Target provides dns policies; health; cdn; global accelerator; selection; failure; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-026,P0,missing-topic,both,Databases,Database selection,managed relational database,Amazon RDS,06-databases/README.md,06-databases/amazon-rds/01-overview.md,create-new-lesson,fundamental,scenario-ready,Engines; Multi-AZ; replicas; backups; security; scaling; cost,RDS,none,RDS docs,L,Batch 4,Target provides engines; multi-az; replicas; backups; security; scaling; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-027,P1,partial-topic,both,Databases,Database selection,Aurora architecture,Amazon Aurora,06-databases/amazon-aurora/01-overview.md,06-databases/amazon-aurora/01-overview.md,expand-existing-lesson,fundamental,scenario-ready,Cluster storage; replicas; failover; global/serverless; cost,Aurora; RDS,AWS-026,Aurora docs,L,Batch 4,Target provides cluster storage; replicas; failover; global/serverless; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-028,P0,missing-topic,both,Databases,Database selection,NoSQL design,Amazon DynamoDB,06-databases/README.md,06-databases/amazon-dynamodb/01-overview.md,create-new-lesson,fundamental,scenario-ready,Keys; capacity; indexes; consistency; global tables; streams; DAX; cost,DynamoDB,none,DynamoDB docs,L,Batch 4,Target provides keys; capacity; indexes; consistency; global tables; streams; dax; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-029,P1,wrong-certification-depth,both,Databases,Caching,cache selection and failure,Amazon ElastiCache,06-databases/amazon-elasticache/01-overview.md,06-databases/amazon-elasticache/01-overview.md,expand-existing-lesson,awareness,scenario-ready,Cache patterns; engines; HA; eviction; consistency; cost,ElastiCache; RDS; DynamoDB,none,ElastiCache docs,M,Batch 4,Target provides cache patterns; engines; ha; eviction; consistency; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-030,P1,missing-comparison,SAA,Databases,Database selection,database decision trade-offs,Database selection guide,15-comparisons-and-decision-guides/README.md,15-comparisons-and-decision-guides/databases/01-database-selection-guide.md,create-comparison-guide,awareness,scenario-ready,RDS/Aurora/DynamoDB/ElastiCache; data model; scaling; HA; cost,Core databases,AWS-026; AWS-027; AWS-028; AWS-029,Database docs,L,Batch 4,Target provides rds/aurora/dynamodb/elasticache; data model; scaling; ha; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-031,P1,partial-topic,both,Application Integration,Decoupling,queue and pub-sub selection,SQS and SNS,08-serverless-and-application-integration/amazon-sqs/01-overview.md,15-comparisons-and-decision-guides/application-integration/01-sqs-vs-sns-vs-eventbridge.md,create-comparison-guide,fundamental,scenario-ready,Queue/topic/event bus; delivery; ordering; retries; fanout; cost,SQS; SNS; EventBridge,none,Integration docs,L,Batch 5,Target provides queue/topic/event bus; delivery; ordering; retries; fanout; cost; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-032,P1,missing-topic,both,Application Integration,Events,event routing,Amazon EventBridge,08-serverless-and-application-integration/README.md,08-serverless-and-application-integration/amazon-eventbridge/01-overview.md,create-new-lesson,awareness,scenario-ready,Buses; rules; targets; schemas; delivery; archive/replay; security,EventBridge,none,EventBridge docs,M,Batch 5,Target provides buses; rules; targets; schemas; delivery; archive/replay; security; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-033,P1,missing-topic,both,Application Integration,Workflows,orchestration,AWS Step Functions,08-serverless-and-application-integration/README.md,08-serverless-and-application-integration/aws-step-functions/01-overview.md,create-new-lesson,awareness,scenario-ready,Workflow types; states; retries; errors; integration; cost,Step Functions; Lambda,none,Step Functions docs,M,Batch 5,Target provides workflow types; states; retries; errors; integration; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-034,P1,partial-topic,both,Serverless,API design,managed APIs,Amazon API Gateway,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,expand-existing-lesson,awareness,scenario-ready,API types; auth; integration; throttling; caching; HA; cost,API Gateway; Lambda; Cognito,AWS-010,API Gateway docs,M,Batch 5,Target provides api types; auth; integration; throttling; caching; ha; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-035,P0,missing-saa-architecture,SAA,Security,Data protection,encryption and key design,Data protection architecture,09-security-and-compliance/aws-kms/01-overview.md,13-architecture-and-design-patterns/security/01-data-protection-patterns.md,create-architecture-pattern,awareness,scenario-ready,KMS; TLS; ACM; secrets; rotation; envelope encryption; scenarios,KMS; ACM; Secrets Manager,AWS-004,Security docs,L,Batch 6,Target provides kms; tls; acm; secrets; rotation; envelope encryption; scenarios; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-036,P1,partial-topic,both,Security,Threat detection,security service selection,Security services,09-security-and-compliance/README.md,15-comparisons-and-decision-guides/security/01-security-service-selection.md,create-comparison-guide,awareness,architecture-and-design,GuardDuty/Inspector/Macie/Security Hub/Detective/Config; scopes; response,Security services,none,Security docs,L,Batch 6,Target provides guardduty/inspector/macie/security hub/detective/config; scopes; response; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-037,P1,missing-comparison,both,Operations,Monitoring and audit,observability service selection,CloudWatch CloudTrail Config,10-monitoring-management-and-deployment/README.md,15-comparisons-and-decision-guides/operations/01-cloudwatch-vs-cloudtrail-vs-config.md,create-comparison-guide,fundamental,scenario-ready,Metrics/logs/traces/API history/config; alarms; compliance; scenarios,CloudWatch; CloudTrail; Config; X-Ray,none,Operations docs,L,Batch 6,Target provides metrics/logs/traces/api history/config; alarms; compliance; scenarios; cites current official AWS sources; matches fundamental CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-038,P1,partial-topic,SAA,Security,Governance,multi-account guardrails,Organizations and Control Tower,03-identity-governance-and-organizations/aws-organizations/01-overview.md,13-architecture-and-design-patterns/security/02-multi-account-governance.md,create-architecture-pattern,awareness,scenario-ready,OUs; SCPs; account factory; identity; logs; guardrails; trade-offs,Organizations; Control Tower; Identity Center,AWS-004,Governance docs,L,Batch 6,Target provides ous; scps; account factory; identity; logs; guardrails; trade-offs; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-039,P2,partial-topic,both,Operations,Management,operations management selection,AWS Systems Manager,10-monitoring-management-and-deployment/aws-systems-manager/01-overview.md,10-monitoring-management-and-deployment/aws-systems-manager/01-overview.md,expand-existing-lesson,awareness,architecture-and-design,Inventory; patch; automation; parameters; session; hybrid; security,Systems Manager,none,Systems Manager docs,M,Batch 6,Target provides inventory; patch; automation; parameters; session; hybrid; security; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-040,P1,missing-saa-architecture,SAA,Resilience,High availability,multi-tier HA design,Highly available web application,13-architecture-and-design-patterns/README.md,13-architecture-and-design-patterns/01-highly-available-web-applications.md,create-architecture-pattern,awareness,scenario-ready,Multi-AZ tiers; ELB/ASG; data failover; DNS; observability; trade-offs,EC2; ELB; RDS; Route 53,Batches 2-4,Architecture docs,L,Batch 7,Target provides multi-az tiers; elb/asg; data failover; dns; observability; trade-offs; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-041,P0,missing-topic,SAA,Resilience,Disaster recovery,DR strategies and selection,Disaster recovery,13-architecture-and-design-patterns/README.md,13-architecture-and-design-patterns/02-disaster-recovery-strategies.md,create-architecture-pattern,awareness,scenario-ready,Backup/restore; pilot light; warm standby; active-active; RTO/RPO; cost,Backup; Route 53; S3; databases,AWS-018,DR guidance,L,Batch 7,Target provides backup/restore; pilot light; warm standby; active-active; rto/rpo; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-042,P1,missing-saa-architecture,SAA,Resilience,Event-driven,decoupled failure handling,Event-driven resilience,13-architecture-and-design-patterns/README.md,13-architecture-and-design-patterns/03-event-driven-and-decoupled-systems.md,create-architecture-pattern,awareness,scenario-ready,Queues; retries; DLQs; idempotency; orchestration/choreography; observability,SQS; SNS; EventBridge; Step Functions,Batch 5,Architecture docs,L,Batch 7,Target provides queues; retries; dlqs; idempotency; orchestration/choreography; observability; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-043,P1,missing-saa-architecture,SAA,Resilience,Serverless,serverless application design,Serverless architecture,13-architecture-and-design-patterns/README.md,13-architecture-and-design-patterns/04-serverless-application-patterns.md,create-architecture-pattern,awareness,scenario-ready,API; compute; data; events; security; failure; scaling; cost,API Gateway; Lambda; DynamoDB,Batch 5,Serverless docs,L,Batch 7,Target provides api; compute; data; events; security; failure; scaling; cost; cites current official AWS sources; matches awareness CPP and scenario-ready SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-044,P1,partial-topic,CPP,Billing,Pricing models,purchase options,AWS pricing fundamentals,12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,expand-existing-lesson,fundamental,architecture-and-design,On-Demand; RI; Savings Plans; Spot; storage; transfer; scenarios,Billing; EC2; Savings Plans,none,Pricing pages,L,Batch 8,Target provides on-demand; ri; savings plans; spot; storage; transfer; scenarios; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-045,P1,fact-review-required,CPP,Support,Support resources,current support plans and features,AWS Support,12-billing-pricing-and-support/aws-support/02-support-plans.md,12-billing-pricing-and-support/aws-support/02-support-plans.md,correct-fact,fundamental,awareness,Plan names; features; response-time source links; account assistance,Support; Trusted Advisor; Health,AWS-006,Official Support pages,M,Batch 8,Target provides plan names; features; response-time source links; account assistance; cites current official AWS sources; matches fundamental CPP and awareness SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-046,P2,partial-topic,both,Cost optimization,Cost tools,tool selection,Cost management tools,12-billing-pricing-and-support/README.md,15-comparisons-and-decision-guides/cost/01-cost-management-tool-selection.md,create-comparison-guide,fundamental,architecture-and-design,Budgets/Explorer/CUR/Calculator/tags; proactive/reactive; scenarios,Cost tools,none,Billing docs,M,Batch 8,Target provides budgets/explorer/cur/calculator/tags; proactive/reactive; scenarios; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-047,P2,fact-review-required,both,Pricing,Data transfer,current cost principles,Data transfer costs,12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md,12-billing-pricing-and-support/aws-billing-and-cost-management/03-data-transfer-costs.md,correct-fact,fundamental,architecture-and-design,Cost directions; AZ/Region/edge/NAT; checked date; no stale exact prices,Networking; billing,none,Current pricing pages,M,Batch 8,Target provides cost directions; az/region/edge/nat; checked date; no stale exact prices; cites current official AWS sources; matches fundamental CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-048,P2,missing-topic,both,Analytics,Data ingestion,streaming service selection,Analytics ingestion,14-ai-ml-analytics-and-other-services/analytics/README.md,14-ai-ml-analytics-and-other-services/analytics/01-kinesis-and-data-firehose.md,create-new-lesson,awareness,architecture-and-design,Streams/Firehose; batch vs stream; destinations; scaling; cost,Kinesis; Data Firehose; S3; Redshift,none,Analytics docs,M,Batch 9,Target provides streams/firehose; batch vs stream; destinations; scaling; cost; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
AWS-049,P2,partial-topic,both,Analytics,Analytics selection,analytics decision guide,Analytics services,14-ai-ml-analytics-and-other-services/analytics/README.md,15-comparisons-and-decision-guides/analytics/02-analytics-service-selection.md,create-comparison-guide,awareness,architecture-and-design,Athena/EMR/Glue/Redshift/OpenSearch/Quick; use cases; trade-offs,Analytics services,AWS-047,Analytics docs,L,Batch 9,Target provides athena/emr/glue/redshift/opensearch/quick; use cases; trade-offs; cites current official AWS sources; matches awareness CPP and architecture-and-design SAA depth where applicable; filename and links validate.,not-started,Phase 5 planning only; no lesson implementation performed.
