domain_id,domain_name,domain_weight,task_id,task_title,requirement_id,knowledge_or_skill,requirement_type,canonical_paths,evidence_headings,coverage_status,current_depth,required_depth,missing_architecture_elements,missing_tradeoffs,priority,recommended_action,target_path,notes
1,Design Secure Architectures,30%,1.2,Design secure workloads and applications,SAA-1.2-03,network segmentation,knowledge,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 09-security-and-compliance/aws-kms/01-overview.md; 09-security-and-compliance/aws-network-firewall/01-overview.md,AWS Networking – Complete Cloud Practitioner Study Guide; AWS KMS; AWS Network Firewall,partial,architecture-and-design,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P2,expand-existing-lesson,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Design Secure Architectures,30%,1.2,Design secure workloads and applications,SAA-1.2-04,edge protection,knowledge,09-security-and-compliance/security-and-compliance-overview/01-overview.md; 09-security-and-compliance/aws-security-hub/01-overview.md; 09-security-and-compliance/aws-kms/01-overview.md,Trap 1 Thinking it is a protection service; AWS Security Hub; 6. Hardware-backed protection,wrong-depth,awareness,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P1,expand-existing-lesson,09-security-and-compliance/security-and-compliance-overview/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Design Secure Architectures,30%,1.2,Design secure workloads and applications,SAA-1.2-05,threat detection,knowledge,15-comparisons-and-decision-guides/security/01-security-service-selection.md,Decision Table; Finding-to-Response Pattern; SAA Scenarios,complete,architecture-and-design,architecture-and-design,none,none,P1,none,15-comparisons-and-decision-guides/security/01-security-service-selection.md,Phase 6 Batch 6 evidence verified against lesson body and official AWS references.
1,Design Secure Architectures,30%,1.2,Design secure workloads and applications,SAA-1.2-06,Design VPC security boundaries,skill,09-security-and-compliance/aws-network-firewall/01-overview.md; 09-security-and-compliance/aws-artifact/01-overview.md; 03-identity-governance-and-organizations/aws-iam/08-administrator-access-policy.md,AWS Network Firewall vs Security Groups; 2. Reviewing AWS security posture; Administrator Access,partial,architecture-and-design,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P2,expand-existing-lesson,09-security-and-compliance/aws-network-firewall/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Design Secure Architectures,30%,1.2,Design secure workloads and applications,SAA-1.2-07,"Select WAF, Shield, firewall, and detection controls",skill,09-security-and-compliance/aws-network-firewall/01-overview.md; 09-security-and-compliance/aws-security-hub/01-overview.md; 09-security-and-compliance/amazon-guardduty/01-overview.md,AWS Network Firewall; 3. Security standards and controls; GuardDuty vs AWS Shield,complete,architecture-and-design,architecture-and-design,none,none,P3,no-action,09-security-and-compliance/aws-network-firewall/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Design Secure Architectures,30%,1.2,Design secure workloads and applications,SAA-1.2-08,Secure hybrid connectivity,skill,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 15-comparisons-and-decision-guides/storage/02-storage-gateway-family.md; 15-comparisons-and-decision-guides/migration/02-snowball-edge-vs-outposts.md,1. The mental model: the six main connectivity situations; Trap 2 Picking File Gateway for all hybrid storage questions; 2) Data transfer vs hybrid cloud,partial,architecture-and-design,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P2,expand-existing-lesson,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Design Secure Architectures,30%,1.3,Determine data security controls,SAA-1.3-01,data classification,knowledge,09-security-and-compliance/amazon-verified-permissions/01-overview.md; 09-security-and-compliance/aws-security-hub/01-overview.md; 09-security-and-compliance/aws-audit-manager/01-overview.md,Amazon Verified Permissions; AWS Security Hub; AWS Audit Manager,wrong-depth,intermediate,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P1,expand-existing-lesson,09-security-and-compliance/amazon-verified-permissions/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Design Secure Architectures,30%,1.3,Determine data security controls,SAA-1.3-02,encryption at rest and in transit,knowledge,13-architecture-and-design-patterns/security/01-data-protection-patterns.md,AWS KMS and Key Ownership; Envelope Encryption; TLS and AWS Certificate Manager; Secrets Manager and Parameter Store,complete,architecture-and-design,architecture-and-design,none,none,P0,none,13-architecture-and-design-patterns/security/01-data-protection-patterns.md,Phase 6 Batch 6 evidence verified against lesson body and official AWS references.
1,Design Secure Architectures,30%,1.3,Determine data security controls,SAA-1.3-03,key and certificate management,knowledge,13-architecture-and-design-patterns/security/01-data-protection-patterns.md,AWS KMS and Key Ownership; Envelope Encryption; TLS and AWS Certificate Manager; Secrets Manager and Parameter Store,complete,architecture-and-design,architecture-and-design,none,none,P0,none,13-architecture-and-design-patterns/security/01-data-protection-patterns.md,Phase 6 Batch 6 evidence verified against lesson body and official AWS references.
1,Design Secure Architectures,30%,1.3,Determine data security controls,SAA-1.3-04,retention and recovery,knowledge,05-storage/amazon-s3/02-storage-classes.md; 05-storage/aws-storage-gateway/01-overview.md; 05-storage/aws-storage-gateway/05-tape-gateway.md,S3 Storage Classes; 3. Disaster recovery; Tape Gateway,partial,architecture-and-design,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P2,expand-existing-lesson,05-storage/amazon-s3/02-storage-classes.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Design Secure Architectures,30%,1.3,Determine data security controls,SAA-1.3-05,compliance controls,knowledge,09-security-and-compliance/aws-security-hub/01-overview.md; 09-security-and-compliance/aws-audit-manager/01-overview.md; 09-security-and-compliance/aws-kms/01-overview.md,3. Security standards and controls; 1. Preparing for compliance audits; AWS KMS,wrong-depth,intermediate,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P1,expand-existing-lesson,09-security-and-compliance/aws-security-hub/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Design Secure Architectures,30%,1.3,Determine data security controls,SAA-1.3-06,Design KMS and TLS usage,skill,09-security-and-compliance/aws-kms/01-overview.md; 09-security-and-compliance/aws-secrets-manager/01-overview.md; 09-security-and-compliance/aws-certificate-manager/01-overview.md,AWS KMS; AWS KMS; ACM vs AWS KMS,wrong-depth,intermediate,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P1,expand-existing-lesson,09-security-and-compliance/aws-kms/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
1,Design Secure Architectures,30%,1.3,Determine data security controls,SAA-1.3-07,"Design backup, replication, lifecycle, and key rotation",skill,09-security-and-compliance/aws-kms/01-overview.md; 05-storage/amazon-s3/01-overview.md; 05-storage/amazon-s3/03-lifecycle-policies.md,Key features; ⚙️ Key Features; Amazon S3 Lifecycle Policy,wrong-depth,intermediate,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P1,expand-existing-lesson,09-security-and-compliance/aws-kms/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
2,Design Resilient Architectures,26%,2.1,Design scalable and loosely coupled architectures,SAA-2.1-01,stateless and microservice design,knowledge,13-architecture-and-design-patterns/03-event-driven-and-decoupled-systems.md; 13-architecture-and-design-patterns/04-serverless-application-patterns.md,Idempotency; Orchestration Versus Choreography; Compute Layer; Failure Behavior,complete,scenario-ready,architecture-and-design,none,none,P1,none,13-architecture-and-design-patterns/03-event-driven-and-decoupled-systems.md,Phase 6 Batch 7 evidence verified against scenario-ready lesson body and official AWS references.
2,Design Resilient Architectures,26%,2.1,Design scalable and loosely coupled architectures,SAA-2.1-02,event-driven architecture,knowledge,13-architecture-and-design-patterns/03-event-driven-and-decoupled-systems.md,"Architecture; Queue-Based Load Levelling; Delivery, Duplicates, and Idempotency; Partial Failure and Compensation",complete,scenario-ready,architecture-and-design,none,none,P1,none,13-architecture-and-design-patterns/03-event-driven-and-decoupled-systems.md,Phase 6 Batch 7 evidence verified against scenario-ready lesson body and official AWS references.
2,Design Resilient Architectures,26%,2.1,Design scalable and loosely coupled architectures,SAA-2.1-03,messaging and workflows,knowledge,15-comparisons-and-decision-guides/application-integration/01-sqs-vs-sns-vs-eventbridge.md; 08-serverless-and-application-integration/amazon-eventbridge/01-overview.md; 08-serverless-and-application-integration/aws-step-functions/01-overview.md,Selection criteria; delivery and failure behavior; workflow retries and errors,complete,architecture-and-design,architecture-and-design,none,none,P1,none,15-comparisons-and-decision-guides/application-integration/01-sqs-vs-sns-vs-eventbridge.md,Phase 6 Batch 5 evidence verified.
2,Design Resilient Architectures,26%,2.1,Design scalable and loosely coupled architectures,SAA-2.1-04,caching,knowledge,13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md; 15-comparisons-and-decision-guides/storage/02-storage-gateway-family.md; 08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,SSL Termination — Complete README; AWS Storage Gateway vs AWS File Gateway; 8. Caching support,mention-only,mention-only,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P2,expand-existing-lesson,13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
2,Design Resilient Architectures,26%,2.1,Design scalable and loosely coupled architectures,SAA-2.1-05,horizontal scaling,knowledge,13-architecture-and-design-patterns/01-highly-available-web-applications.md; 13-architecture-and-design-patterns/04-serverless-application-patterns.md,Scaling; Availability and Failure Domains; Scaling and Quotas,complete,scenario-ready,architecture-and-design,none,none,P1,none,13-architecture-and-design-patterns/01-highly-available-web-applications.md,Phase 6 Batch 7 evidence verified against scenario-ready lesson body and official AWS references.
2,Design Resilient Architectures,26%,2.1,Design scalable and loosely coupled architectures,SAA-2.1-06,Design multi-tier and serverless systems,skill,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md; 08-serverless-and-application-integration/aws-step-functions/01-overview.md; 08-serverless-and-application-integration/amazon-eventbridge/01-overview.md,Managed API tiers; integrations; authentication; throttling; orchestration; events,complete,architecture-and-design,architecture-and-design,none,none,P1,none,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,Phase 6 Batch 5 evidence verified; AWS-010 dependency was complete.
2,Design Resilient Architectures,26%,2.1,Design scalable and loosely coupled architectures,SAA-2.1-07,"Select queues, topics, events, and workflows",skill,15-comparisons-and-decision-guides/application-integration/01-sqs-vs-sns-vs-eventbridge.md; 08-serverless-and-application-integration/amazon-eventbridge/01-overview.md; 08-serverless-and-application-integration/aws-step-functions/01-overview.md,Queue vs topic vs event bus; orchestration; delivery; ordering; retries; failure isolation,complete,architecture-and-design,architecture-and-design,none,none,P1,none,15-comparisons-and-decision-guides/application-integration/01-sqs-vs-sns-vs-eventbridge.md,Phase 6 Batch 5 decision evidence verified.
2,Design Resilient Architectures,26%,2.1,Design scalable and loosely coupled architectures,SAA-2.1-08,Select load balancing and containers,skill,13-architecture-and-design-patterns/01-highly-available-web-applications.md,Multi-AZ Architecture; Scaling; Failure Behavior and Recovery,complete,scenario-ready,architecture-and-design,none,none,P1,none,13-architecture-and-design-patterns/01-highly-available-web-applications.md,Phase 6 Batch 7 evidence verified against scenario-ready lesson body and official AWS references.
2,Design Resilient Architectures,26%,2.2,Design highly available and fault-tolerant architectures,SAA-2.2-01,failure domains,knowledge,13-architecture-and-design-patterns/01-highly-available-web-applications.md,Availability and Failure Domains; Failure Behavior and Recovery,complete,scenario-ready,architecture-and-design,none,none,P1,none,13-architecture-and-design-patterns/01-highly-available-web-applications.md,Phase 6 Batch 7 evidence verified against scenario-ready lesson body and official AWS references.
2,Design Resilient Architectures,26%,2.2,Design highly available and fault-tolerant architectures,SAA-2.2-02,Multi-AZ and Multi-Region,knowledge,13-architecture-and-design-patterns/01-highly-available-web-applications.md; 13-architecture-and-design-patterns/02-disaster-recovery-strategies.md,Multi-AZ Architecture; Failure Behavior and Recovery; Strategy Decision Table; Multi-Site Active-Active,complete,scenario-ready,architecture-and-design,none,none,P1,none,13-architecture-and-design-patterns/01-highly-available-web-applications.md,Phase 6 Batch 7 evidence verified against scenario-ready lesson body and official AWS references.
2,Design Resilient Architectures,26%,2.2,Design highly available and fault-tolerant architectures,SAA-2.2-03,disaster recovery strategies,knowledge,13-architecture-and-design-patterns/02-disaster-recovery-strategies.md,RTO and RPO; Strategy Decision Table; Backup and Restore; Pilot Light; Warm Standby; Multi-Site Active-Active,complete,scenario-ready,architecture-and-design,none,none,P1,none,13-architecture-and-design-patterns/02-disaster-recovery-strategies.md,Phase 6 Batch 7 evidence verified against scenario-ready lesson body and official AWS references.
2,Design Resilient Architectures,26%,2.2,Design highly available and fault-tolerant architectures,SAA-2.2-04,durability and failover,knowledge,13-architecture-and-design-patterns/01-highly-available-web-applications.md; 13-architecture-and-design-patterns/02-disaster-recovery-strategies.md,Data-Tier Decisions; Backup Versus Replication; Failover and Failback,complete,scenario-ready,architecture-and-design,none,none,P1,none,13-architecture-and-design-patterns/02-disaster-recovery-strategies.md,Phase 6 Batch 7 evidence verified against scenario-ready lesson body and official AWS references.
2,Design Resilient Architectures,26%,2.2,Design highly available and fault-tolerant architectures,SAA-2.2-05,service quotas and observability,knowledge,13-architecture-and-design-patterns/01-highly-available-web-applications.md; 13-architecture-and-design-patterns/04-serverless-application-patterns.md,Monitoring and Testing; Scaling and Quotas; Observability,complete,scenario-ready,architecture-and-design,none,none,P1,none,13-architecture-and-design-patterns/04-serverless-application-patterns.md,Phase 6 Batch 7 evidence verified against scenario-ready lesson body and official AWS references.
2,Design Resilient Architectures,26%,2.2,Design highly available and fault-tolerant architectures,SAA-2.2-06,Remove single points of failure,skill,04-compute/amazon-ec2/07-placement-groups.md; 13-architecture-and-design-patterns/aws-well-architected-framework/01-overview.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md,Hardware Failure Isolation; AWS Well-Architected Framework; AWS Support plans,complete,scenario-ready,architecture-and-design,none,none,P3,no-action,04-compute/amazon-ec2/07-placement-groups.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
2,Design Resilient Architectures,26%,2.2,Design highly available and fault-tolerant architectures,SAA-2.2-07,Design recovery and failover,skill,13-architecture-and-design-patterns/01-highly-available-web-applications.md; 13-architecture-and-design-patterns/02-disaster-recovery-strategies.md,Failure Behavior and Recovery; Failover and Failback; Monitoring and Recovery Testing,complete,scenario-ready,architecture-and-design,none,none,P1,none,13-architecture-and-design-patterns/02-disaster-recovery-strategies.md,Phase 6 Batch 7 evidence verified against scenario-ready lesson body and official AWS references.
2,Design Resilient Architectures,26%,2.2,Design highly available and fault-tolerant architectures,SAA-2.2-08,Select resilient data and compute patterns,skill,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 04-compute/amazon-ec2/07-placement-groups.md; 13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md,2️⃣ AWS Compute Optimizer; Data Center; 8. Important Traffic Patterns,complete,scenario-ready,architecture-and-design,none,none,P3,no-action,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
3,Design High-Performing Architectures,24%,3.1,Determine high-performing storage solutions,SAA-3.1-01,"object, block, and file characteristics",knowledge,05-storage/amazon-ebs/01-overview.md; 05-storage/amazon-fsx-for-lustre/01-overview.md; 05-storage/amazon-s3/01-overview.md,Block storage; 3. Shared file storage for Linux workloads; Amazon S3,complete,architecture-and-design,architecture-and-design,none,none,P3,no-action,05-storage/amazon-ebs/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
3,Design High-Performing Architectures,24%,3.1,Determine high-performing storage solutions,SAA-3.1-02,storage performance,knowledge,05-storage/amazon-fsx-for-lustre/01-overview.md; 05-storage/amazon-ebs/01-overview.md; 05-storage/amazon-s3/02-storage-classes.md,2. High performance computing (HPC); Block storage; S3 Storage Classes,partial,architecture-and-design,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P2,expand-existing-lesson,05-storage/amazon-fsx-for-lustre/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
3,Design High-Performing Architectures,24%,3.1,Determine high-performing storage solutions,SAA-3.1-03,access patterns,knowledge,05-storage/amazon-s3/01-overview.md; 05-storage/amazon-s3/02-storage-classes.md; 05-storage/amazon-s3/03-lifecycle-policies.md,Amazon S3; Trap 2 choosing Glacier when immediate access is required; Amazon S3 Lifecycle Policy,partial,architecture-and-design,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P2,expand-existing-lesson,05-storage/amazon-s3/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
3,Design High-Performing Architectures,24%,3.1,Determine high-performing storage solutions,SAA-3.1-04,hybrid storage,knowledge,05-storage/amazon-fsx-for-lustre/01-overview.md; 05-storage/amazon-s3/01-overview.md; 05-storage/aws-storage-gateway/03-volume-gateway-cached.md,3. Shared file storage for Linux workloads; 🔐 Storage Classes (Very Important for Exam!); 1. Block storage for on-premises servers,partial,architecture-and-design,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P2,expand-existing-lesson,05-storage/amazon-fsx-for-lustre/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
3,Design High-Performing Architectures,24%,3.1,Determine high-performing storage solutions,SAA-3.1-05,data lifecycle,knowledge,05-storage/amazon-s3/01-overview.md; 05-storage/amazon-s3/02-storage-classes.md; 05-storage/amazon-s3/03-lifecycle-policies.md,Amazon S3; S3 Lifecycle; Amazon S3 Lifecycle Policy,partial,architecture-and-design,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P2,expand-existing-lesson,05-storage/amazon-s3/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
3,Design High-Performing Architectures,24%,3.1,Determine high-performing storage solutions,SAA-3.1-06,"Select S3, EBS, EFS, FSx, and instance storage",skill,05-storage/amazon-fsx-for-lustre/01-overview.md; 05-storage/amazon-ebs/01-overview.md; 05-storage/amazon-fsx-for-windows-file-server/01-overview.md,Amazon FSx for Lustre; Amazon EBS; Amazon FSx for Windows File Server,complete,architecture-and-design,architecture-and-design,none,none,P3,no-action,05-storage/amazon-fsx-for-lustre/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
3,Design High-Performing Architectures,24%,3.1,Determine high-performing storage solutions,SAA-3.1-07,"Match throughput, IOPS, latency, and durability requirements",skill,05-storage/amazon-fsx-for-lustre/01-overview.md; 04-compute/amazon-ec2/07-placement-groups.md; 05-storage/amazon-ebs/01-overview.md,2. High throughput and low latency; Network Latency; Provisioned IOPS SSD,complete,architecture-and-design,architecture-and-design,none,none,P3,no-action,05-storage/amazon-fsx-for-lustre/01-overview.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
3,Design High-Performing Architectures,24%,3.2,Design high-performing and elastic compute,SAA-3.2-01,compute selection,knowledge,04-compute/amazon-ec2/07-placement-groups.md; 04-compute/amazon-ec2/02-study-guide.md; 04-compute/amazon-ec2/03-reserved-instances.md,SAP Point 11: Interaction with Instance Type Selection; 🖥️ Amazon EC2 Purchasing & Billing Options; 💡 EC2 Reserved Instances (RI) — Standard vs Convertible,partial,scenario-ready,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P2,expand-existing-lesson,04-compute/amazon-ec2/07-placement-groups.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
3,Design High-Performing Architectures,24%,3.2,Design high-performing and elastic compute,SAA-3.2-02,instance families and sizing,knowledge,04-compute/amazon-ec2/03-reserved-instances.md; 04-compute/amazon-ec2/07-placement-groups.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,💡 EC2 Reserved Instances (RI) — Standard vs Convertible; SAP Point 11: Interaction with Instance Type Selection; AWS Recommendation Services — Complete Study Guide,wrong-depth,intermediate,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P1,expand-existing-lesson,04-compute/amazon-ec2/03-reserved-instances.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
3,Design High-Performing Architectures,24%,3.2,Design high-performing and elastic compute,SAA-3.2-03,Auto Scaling,knowledge,04-compute/amazon-ec2/07-placement-groups.md; 04-compute/amazon-ec2/03-reserved-instances.md; 04-compute/aws-batch/01-overview.md,SAP Point 9: Auto Scaling with Placement Groups; 💡 EC2 Reserved Instances (RI) — Standard vs Convertible; Automatic scaling,partial,scenario-ready,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P2,expand-existing-lesson,04-compute/amazon-ec2/07-placement-groups.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
3,Design High-Performing Architectures,24%,3.2,Design high-performing and elastic compute,SAA-3.2-04,load balancing,knowledge,04-compute/amazon-ec2/07-placement-groups.md; 04-compute/ec2-auto-scaling/01-target-tracking-scaling.md; 04-compute/aws-elastic-beanstalk/01-overview.md,SAP Point 6: Large Distributed Workload Design; 4. Handling workloads with unpredictable demand; 5. Load balancing support,partial,scenario-ready,architecture-and-design,"Decision criteria, integration, failure behavior, and scenario application","Cost, performance, security, resilience, and operational trade-offs",P2,expand-existing-lesson,04-compute/amazon-ec2/07-placement-groups.md,"Evidence chosen from lesson bodies, not names or badges; verify during implementation."
