canonical_path,topic,cpp_scope,saa_scope,current_depth,recommended_role,recommended_action,reason,notes
01-cloud-fundamentals/README.md,Cloud Fundamentals,not-explicitly-mapped,not-explicitly-mapped,CPP mention-only; SAA mention-only,supplementary-reference,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-iam/10-root-user.md,AWS Account Root User,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-iam/README.md,Aws Iam,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-iam-identity-center/01-overview.md,AWS IAM Identity Center,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-organizations/01-overview.md,AWS Organizations,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md,Service Control Policy (SCP),mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-organizations/README.md,Aws Organizations,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA mention-only,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-resource-access-manager/01-overview.md,AWS Resource Access Manager (AWS RAM),mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/aws-service-catalog/01-overview.md,AWS Service Catalog,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
03-identity-governance-and-organizations/README.md,Identity Governance And Organizations,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
04-compute/amazon-ec2/01-overview.md,Amazon EC2 — AWS Cloud Practitioner Study Note,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
04-compute/amazon-ec2/02-study-guide.md,🖥️ Amazon EC2 Purchasing & Billing Options,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA architecture-and-design,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
04-compute/amazon-ec2/03-reserved-instances.md,💡 EC2 Reserved Instances (RI) — Standard vs Convertible,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
04-compute/amazon-ec2/04-key-pairs.md,Amazon EC2 Key Pairs,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
04-compute/amazon-ec2/05-instance-connect.md,Amazon EC2 Instance Connect,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
04-compute/amazon-ec2/06-rdp-connections.md,Remote Desktop Protocol (RDP) Connection,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
04-compute/amazon-ec2/07-placement-groups.md,🖥️ EC2 Placement Groups,mapped-or-supporting,mapped-or-supporting,CPP fundamental; SAA scenario-ready,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
04-compute/amazon-ec2/README.md,Amazon Ec2,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA mention-only,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
04-compute/amazon-lightsail/01-overview.md,Amazon Lightsail,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
04-compute/aws-batch/01-overview.md,AWS Batch,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA architecture-and-design,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
04-compute/aws-elastic-beanstalk/01-overview.md,AWS Elastic Beanstalk,mapped-or-supporting,mapped-or-supporting,CPP fundamental; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
04-compute/aws-fargate/01-overview.md,AWS Fargate,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
04-compute/aws-lambda/01-overview.md,AWS Lambda,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
04-compute/ec2-auto-scaling/01-target-tracking-scaling.md,AWS Target Tracking Scaling Policy,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
04-compute/README.md,Compute,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
05-storage/amazon-ebs/01-overview.md,Amazon EBS,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA architecture-and-design,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
05-storage/amazon-efs/01-overview.md,Amazon EFS,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
05-storage/amazon-fsx-for-lustre/01-overview.md,Amazon FSx for Lustre,mapped-or-supporting,mapped-or-supporting,CPP fundamental; SAA architecture-and-design,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
05-storage/amazon-fsx-for-windows-file-server/01-overview.md,Amazon FSx for Windows File Server,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA architecture-and-design,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
05-storage/amazon-s3/01-overview.md,Amazon S3,mapped-or-supporting,mapped-or-supporting,CPP fundamental; SAA architecture-and-design,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
05-storage/amazon-s3/02-storage-classes.md,S3 Storage Classes,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA architecture-and-design,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
05-storage/amazon-s3/03-lifecycle-policies.md,Amazon S3 Lifecycle Policy,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
05-storage/amazon-s3/README.md,Amazon S3,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA mention-only,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
05-storage/aws-storage-gateway/01-overview.md,AWS Storage Gateway,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
05-storage/aws-storage-gateway/02-file-gateway.md,README AWS File Gateway,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
05-storage/aws-storage-gateway/03-volume-gateway-cached.md,Volume Gateway cached mode,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA architecture-and-design,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
05-storage/aws-storage-gateway/04-volume-gateway-stored.md,AWS Volume Gateway (Stored Mode) — README Study Note,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
05-storage/aws-storage-gateway/05-tape-gateway.md,Tape Gateway,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
05-storage/aws-storage-gateway/README.md,Aws Storage Gateway,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA mention-only,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
05-storage/ec2-instance-store/01-overview.md,Amazon EC2 Instance Store,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
05-storage/README.md,Storage,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
06-databases/amazon-aurora/01-overview.md,Amazon Aurora,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA architecture-and-design,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
06-databases/amazon-aurora/02-provisioned.md,Aurora Provisioned,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA architecture-and-design,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
06-databases/amazon-aurora/03-serverless.md,Aurora Serverless,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
06-databases/amazon-aurora/README.md,Amazon Aurora,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA mention-only,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
06-databases/amazon-elasticache/01-overview.md,Amazon ElastiCache,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA architecture-and-design,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
06-databases/README.md,Databases,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA mention-only,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
07-networking-and-content-delivery/amazon-cloudfront/01-overview.md,Amazon CloudFront,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
07-networking-and-content-delivery/amazon-route-53/01-overview.md,Amazon Route 53,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA architecture-and-design,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
07-networking-and-content-delivery/amazon-vpc/02-security-groups.md,Amazon VPC Security Groups,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
07-networking-and-content-delivery/amazon-vpc/03-flow-logs.md,AWS VPC Flow Logs,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
07-networking-and-content-delivery/amazon-vpc/04-endpoint-services.md,VPC Endpoint Services,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
07-networking-and-content-delivery/amazon-vpc/05-vpc-peering.md,VPC Peering,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
07-networking-and-content-delivery/amazon-vpc/06-customer-gateway.md,Customer Gateway (CGW),mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
07-networking-and-content-delivery/amazon-vpc/07-virtual-private-gateway.md,Virtual Private Gateway (VGW),mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
07-networking-and-content-delivery/amazon-vpc/08-nat-gateway.md,AWS NAT Gateway,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA architecture-and-design,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
07-networking-and-content-delivery/amazon-vpc/README.md,Amazon Vpc,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA mention-only,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
07-networking-and-content-delivery/aws-direct-connect/01-overview.md,AWS Direct Connect,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
07-networking-and-content-delivery/aws-global-accelerator/01-overview.md,AWS Global Accelerator,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
07-networking-and-content-delivery/aws-global-accelerator/02-static-ip-addresses.md,AWS Global Accelerator Static IPs,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
07-networking-and-content-delivery/aws-global-accelerator/README.md,Aws Global Accelerator,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA mention-only,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
07-networking-and-content-delivery/aws-transit-gateway/01-overview.md,AWS Transit Gateway,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,AWS Networking – Complete Cloud Practitioner Study Guide,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA architecture-and-design,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
07-networking-and-content-delivery/README.md,Networking And Content Delivery,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,Amazon API Gateway,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA architecture-and-design,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
08-serverless-and-application-integration/amazon-ses/01-overview.md,Amazon Simple Email Service (Amazon SES),mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
08-serverless-and-application-integration/amazon-sqs/01-overview.md,Amazon Simple Queue Service (Amazon SQS),mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
08-serverless-and-application-integration/aws-appsync/01-overview.md,AWS AppSync,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
08-serverless-and-application-integration/README.md,Serverless And Application Integration,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA mention-only,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
09-security-and-compliance/amazon-cognito/01-overview.md,Amazon Cognito,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
09-security-and-compliance/amazon-guardduty/01-overview.md,Amazon GuardDuty,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
09-security-and-compliance/amazon-inspector/01-overview.md,Amazon Inspector,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
09-security-and-compliance/amazon-macie/01-overview.md,Amazon Macie,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
09-security-and-compliance/amazon-verified-permissions/01-overview.md,Amazon Verified Permissions,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
09-security-and-compliance/aws-artifact/01-overview.md,AWS Artifact,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
09-security-and-compliance/aws-audit-manager/01-overview.md,AWS Audit Manager,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
09-security-and-compliance/aws-certificate-manager/01-overview.md,AWS Certificate Manager (ACM),mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
09-security-and-compliance/aws-compliance-programs/01-overview.md,AWS Compliance Programs Page,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
09-security-and-compliance/aws-kms/01-overview.md,AWS KMS,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
09-security-and-compliance/aws-network-firewall/01-overview.md,AWS Network Firewall,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA architecture-and-design,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
09-security-and-compliance/aws-secrets-manager/01-overview.md,AWS Secrets Manager,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
09-security-and-compliance/aws-security-hub/01-overview.md,AWS Security Hub,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
09-security-and-compliance/aws-shield/01-overview.md,AWS Shield,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
09-security-and-compliance/aws-waf/01-overview.md,AWS WAF,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
09-security-and-compliance/README.md,Security And Compliance,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
09-security-and-compliance/security-and-compliance-overview/01-overview.md,Security And Compliance Overview,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
10-monitoring-management-and-deployment/amazon-codeguru/01-overview.md,Amazon CodeGuru — AWS Cloud Practitioner README,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
10-monitoring-management-and-deployment/aws-cloudformation/01-overview.md,AWS CloudFormation Templates,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
10-monitoring-management-and-deployment/aws-cloudshell/01-overview.md,AWS CloudShell,mapped-or-supporting,mapped-or-supporting,CPP mention-only; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
10-monitoring-management-and-deployment/aws-codebuild/01-overview.md,AWS CodeBuild,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
10-monitoring-management-and-deployment/aws-codecommit/01-overview.md,AWS CodeCommit,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA intermediate,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
10-monitoring-management-and-deployment/aws-codedeploy/01-overview.md,AWS CodeDeploy,mapped-or-supporting,mapped-or-supporting,CPP awareness; SAA awareness,core-certification-content,retain; review scope labeling,Official lists are non-exhaustive; absence is not a deletion rationale.,Category README files are navigation artifacts.
