official_service_name,official_category,cpp_listed,saa_listed,cpp_expected_depth,saa_expected_depth,canonical_location,existing_files,coverage_status,current_badges,recommended_badges,importance,terminology_status,action_required,target_path,notes
AWS Batch,See official in-scope service list,true,true,awareness,awareness,04-compute/amazon-ec2/02-study-guide.md,04-compute/amazon-ec2/02-study-guide.md; 12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md; 04-compute/aws-batch/01-overview.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,04-compute/amazon-ec2/02-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Billing Conductor,See official in-scope service list,false,false,not-applicable,not-applicable,12-billing-pricing-and-support/aws-billing-conductor/01-overview.md,12-billing-pricing-and-support/aws-billing-conductor/01-overview.md; 12-billing-pricing-and-support/README.md,out-of-scope,inspect inventory,,out-of-scope,current official list wording,retain/label supplementary,12-billing-pricing-and-support/aws-billing-conductor/01-overview.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Budgets,See official in-scope service list,true,true,awareness,awareness,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md; 12-billing-pricing-and-support/aws-budgets/01-overview.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/01-overview.md,mention-only,inspect inventory,CPP;SAA,important-supporting,current official list wording,audit/expand or create at target,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS CDK,See official in-scope service list,false,false,not-applicable,not-applicable,10-monitoring-management-and-deployment/aws-cloudformation/01-overview.md,10-monitoring-management-and-deployment/aws-cloudformation/01-overview.md,out-of-scope,inspect inventory,,out-of-scope,current official list wording,retain/label supplementary,10-monitoring-management-and-deployment/aws-cloudformation/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS CLI,See official in-scope service list,true,true,awareness,awareness,04-compute/amazon-ec2/07-placement-groups.md,04-compute/amazon-ec2/07-placement-groups.md; 07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,04-compute/amazon-ec2/07-placement-groups.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Certificate Manager,See official in-scope service list,true,true,awareness,awareness,13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md,13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md; 09-security-and-compliance/aws-kms/01-overview.md; 09-security-and-compliance/aws-secrets-manager/01-overview.md,partial,inspect inventory,CPP;SAA,important-supporting,current official list wording,audit/expand or create at target,13-architecture-and-design-patterns/transport-layer-security/01-ssl-termination.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Chatbot,See official in-scope service list,false,false,not-applicable,not-applicable,10-monitoring-management-and-deployment/amazon-codeguru/01-overview.md,10-monitoring-management-and-deployment/amazon-codeguru/01-overview.md; 14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-comprehend/01-overview.md; 14-ai-ml-analytics-and-other-services/artificial-intelligence-and-machine-learning/amazon-lex/01-overview.md,out-of-scope,inspect inventory,,out-of-scope,current official list wording,retain/label supplementary,10-monitoring-management-and-deployment/amazon-codeguru/01-overview.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Clean Rooms,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Client VPN,See official in-scope service list,true,true,awareness,awareness,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 07-networking-and-content-delivery/amazon-vpc/06-customer-gateway.md; 04-compute/amazon-ec2/06-rdp-connections.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Cloud Map,See official in-scope service list,false,false,not-applicable,not-applicable,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,complete,inspect inventory,,awareness,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=true; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS CloudFormation,See official in-scope service list,true,true,awareness,awareness,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md; 04-compute/aws-elastic-beanstalk/01-overview.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS CloudHSM,See official in-scope service list,true,true,awareness,awareness,09-security-and-compliance/aws-kms/01-overview.md,09-security-and-compliance/aws-kms/01-overview.md; 09-security-and-compliance/aws-certificate-manager/01-overview.md,mention-only,inspect inventory,CPP;SAA,important-supporting,current official list wording,audit/expand or create at target,09-security-and-compliance/aws-kms/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS CloudShell,See official in-scope service list,false,false,not-applicable,not-applicable,10-monitoring-management-and-deployment/aws-cloudshell/01-overview.md,10-monitoring-management-and-deployment/aws-cloudshell/01-overview.md; 10-monitoring-management-and-deployment/README.md,out-of-scope,inspect inventory,,out-of-scope,current official list wording,retain/label supplementary,10-monitoring-management-and-deployment/aws-cloudshell/01-overview.md,CPP out-of-scope=true; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS CloudTrail,See official in-scope service list,true,true,fundamental,architecture-and-design,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md; 07-networking-and-content-delivery/amazon-vpc/03-flow-logs.md,complete,inspect inventory,CPP;SAA,high,current official list wording,none,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS CodeArtifact,See official in-scope service list,false,false,not-applicable,not-applicable,10-monitoring-management-and-deployment/aws-codebuild/01-overview.md,10-monitoring-management-and-deployment/aws-codebuild/01-overview.md; 09-security-and-compliance/aws-artifact/01-overview.md,out-of-scope,inspect inventory,,out-of-scope,current official list wording,retain/label supplementary,10-monitoring-management-and-deployment/aws-codebuild/01-overview.md,CPP out-of-scope=true; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS CodeBuild,See official in-scope service list,true,false,awareness,not-applicable,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md; 10-monitoring-management-and-deployment/aws-codebuild/01-overview.md; 10-monitoring-management-and-deployment/aws-codedeploy/01-overview.md,mention-only,inspect inventory,CPP;,awareness,current official list wording,audit/expand or create at target,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS CodeCommit,See official in-scope service list,false,false,not-applicable,not-applicable,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md; 10-monitoring-management-and-deployment/aws-codebuild/01-overview.md; 10-monitoring-management-and-deployment/aws-codedeploy/01-overview.md,out-of-scope,inspect inventory,,out-of-scope,current official list wording,retain/label supplementary,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS CodeDeploy,See official in-scope service list,false,false,not-applicable,not-applicable,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md; 10-monitoring-management-and-deployment/aws-codebuild/01-overview.md; 10-monitoring-management-and-deployment/aws-codedeploy/01-overview.md,out-of-scope,inspect inventory,,out-of-scope,current official list wording,retain/label supplementary,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,CPP out-of-scope=true; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS CodePipeline,See official in-scope service list,true,false,awareness,not-applicable,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md; 10-monitoring-management-and-deployment/aws-codebuild/01-overview.md; 10-monitoring-management-and-deployment/aws-codedeploy/01-overview.md,mention-only,inspect inventory,CPP;,awareness,current official list wording,audit/expand or create at target,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Compute Optimizer,See official in-scope service list,true,true,awareness,awareness,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/04-rightsizing.md; 12-billing-pricing-and-support/customer-enablement/aws-guidance/01-study-guide.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
"AWS Config","See official in-scope service list","true","true","awareness","architecture-and-design","15-comparisons-and-decision-guides/operations/01-cloudwatch-vs-cloudtrail-vs-config.md","15-comparisons-and-decision-guides/operations/01-cloudwatch-vs-cloudtrail-vs-config.md","complete","CPP;SAA","CPP;SAA","important-supporting","current official list wording","none","15-comparisons-and-decision-guides/operations/01-cloudwatch-vs-cloudtrail-vs-config.md","Canonical Batch 6 evidence verified 2026-07-24; official service lists checked 2026-07-21."
AWS Console Mobile Application,See official in-scope service list,false,false,not-applicable,not-applicable,05-storage/amazon-s3/01-overview.md,05-storage/amazon-s3/01-overview.md; 11-migration-and-hybrid-cloud/aws-outposts/01-overview.md; 03-identity-governance-and-organizations/aws-iam-identity-center/01-overview.md,complete,inspect inventory,,awareness,current official list wording,none,05-storage/amazon-s3/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
"AWS Control Tower","See official in-scope service list","true","true","awareness","architecture-and-design","13-architecture-and-design-patterns/security/02-multi-account-governance.md","13-architecture-and-design-patterns/security/02-multi-account-governance.md","complete","CPP;SAA","CPP;SAA","important-supporting","current official list wording","none","13-architecture-and-design-patterns/security/02-multi-account-governance.md","Canonical Batch 6 evidence verified 2026-07-24; official service lists checked 2026-07-21."
AWS Copilot,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Cost Explorer,See official in-scope service list,true,true,awareness,awareness,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md; 12-billing-pricing-and-support/aws-budgets/01-overview.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Cost and Usage Report,See official in-scope service list,false,true,not-applicable,awareness,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md; 14-ai-ml-analytics-and-other-services/analytics/amazon-emr/01-overview.md,complete,inspect inventory,SAA,awareness,current official list wording,none,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Cost and Usage Reports,See official in-scope service list,true,false,awareness,not-applicable,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 14-ai-ml-analytics-and-other-services/analytics/amazon-emr/01-overview.md; 12-billing-pricing-and-support/aws-billing-and-cost-management/01-overview.md,complete,inspect inventory,CPP;,awareness,current official list wording,none,12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS DMS,See official in-scope service list,false,true,not-applicable,awareness,15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md,15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md; 14-ai-ml-analytics-and-other-services/analytics/aws-glue/01-overview.md; 11-migration-and-hybrid-cloud/aws-application-discovery-service/01-overview.md,mention-only,inspect inventory,SAA,awareness,current official list wording,audit/expand or create at target,15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Data Exchange,See official in-scope service list,false,true,not-applicable,awareness,04-compute/amazon-ec2/07-placement-groups.md,04-compute/amazon-ec2/07-placement-groups.md; 04-compute/amazon-ec2/02-study-guide.md; 12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,complete,inspect inventory,SAA,awareness,current official list wording,none,04-compute/amazon-ec2/07-placement-groups.md,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS DataSync,See official in-scope service list,false,true,not-applicable,awareness,15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md,15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md; 15-comparisons-and-decision-guides/storage/02-storage-gateway-family.md; 15-comparisons-and-decision-guides/migration/02-snowball-edge-vs-outposts.md,complete,inspect inventory,SAA,awareness,current official list wording,none,15-comparisons-and-decision-guides/migration/01-datasync-vs-dms.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Database Migration Service,See official in-scope service list,true,false,awareness,not-applicable,12-billing-pricing-and-support/aws-support/02-support-plans.md,12-billing-pricing-and-support/aws-support/02-support-plans.md; 04-compute/amazon-ec2/02-study-guide.md; 12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,complete,inspect inventory,CPP;,awareness,current official list wording,none,12-billing-pricing-and-support/aws-support/02-support-plans.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Deep Learning AMIs,See official in-scope service list,false,false,not-applicable,not-applicable,04-compute/amazon-ec2/07-placement-groups.md,04-compute/amazon-ec2/07-placement-groups.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md,complete,inspect inventory,,awareness,current official list wording,none,04-compute/amazon-ec2/07-placement-groups.md,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Deep Learning Containers,See official in-scope service list,false,false,not-applicable,not-applicable,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md; 09-security-and-compliance/amazon-macie/01-overview.md; 04-compute/amazon-ec2/07-placement-groups.md,complete,inspect inventory,,awareness,current official list wording,none,12-billing-pricing-and-support/aws-savings-plans/02-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS DeepComposer,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Device Farm,See official in-scope service list,false,true,not-applicable,awareness,missing,,missing,inspect inventory,SAA,awareness,current official list wording,audit/expand or create at target,manual-review,CPP out-of-scope=true; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Direct Connect,See official in-scope service list,true,true,awareness,awareness,04-compute/amazon-ec2/07-placement-groups.md,04-compute/amazon-ec2/07-placement-groups.md; 07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/aws-support/02-support-plans.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,04-compute/amazon-ec2/07-placement-groups.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Directory Service,See official in-scope service list,true,true,awareness,awareness,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md; 12-billing-pricing-and-support/customer-enablement/aws-recommendation-resources/01-study-guide.md; 09-security-and-compliance/amazon-verified-permissions/01-overview.md,complete,inspect inventory,CPP;SAA,important-supporting,current official list wording,none,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Distro for OpenTelemetry,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=false; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Elastic Beanstalk,See official in-scope service list,true,true,awareness,awareness,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md; 04-compute/aws-elastic-beanstalk/01-overview.md; 14-ai-ml-analytics-and-other-services/business-applications/aws-amplify/01-overview.md,partial,inspect inventory,CPP;SAA,important-supporting,current official list wording,audit/expand or create at target,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Elastic Disaster Recovery,See official in-scope service list,true,false,awareness,not-applicable,12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md; 15-comparisons-and-decision-guides/networking/01-cloudfront-vs-global-accelerator.md; 07-networking-and-content-delivery/aws-global-accelerator/02-static-ip-addresses.md,complete,inspect inventory,CPP;,awareness,current official list wording,none,12-billing-pricing-and-support/aws-billing-and-cost-management/02-study-guide.md,CPP out-of-scope=false; SAA out-of-scope=false. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Elemental Appliances and Software,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Elemental MediaConnect,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
AWS Elemental MediaConvert,See official in-scope service list,false,false,not-applicable,not-applicable,missing,,out-of-scope,inspect inventory,,out-of-scope,current official list wording,none,manual-review,CPP out-of-scope=true; SAA out-of-scope=true. Official lists checked 2026-07-21; lists are non-exhaustive and subject to change.
