original_path,current_path,migration_status,size_before,size_after,sha256_before,sha256_after,content_changed,link_repairs,notes
a) Service Explanations/Amazon EC2 Instance Store.md,04-compute/amazon-ec2/03-instance-store.md,migrated,7662,7662,43e4b8710739640ac0a2b09119b657774906078d13b33fb00b8ea58206a4e25f,43e4b8710739640ac0a2b09119b657774906078d13b33fb00b8ea58206a4e25f,no,0,git mv
a) Service Explanations/Amazon EC2 Key Pairs .md,04-compute/amazon-ec2/04-key-pairs.md,migrated,8271,8271,5061a02489e9a6ca986f644683c3ff3b1e17288fd90e46696eb6ecda8e523b58,5061a02489e9a6ca986f644683c3ff3b1e17288fd90e46696eb6ecda8e523b58,no,0,git mv
a) Service Explanations/Amazon EFS .md,a) Service Explanations/Amazon EFS .md,skipped-collision,4922,4922,9c00480ee7834ce126d2c9a4e60c7e34fb84d2ee10749d86c2bcbcb4bd61af78,9c00480ee7834ce126d2c9a4e60c7e34fb84d2ee10749d86c2bcbcb4bd61af78,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon Elastic Block Store.md,a) Service Explanations/Amazon Elastic Block Store.md,skipped-collision,10088,10088,c8fe35ad7b225a75536b0ef157aa3ad28cd66c694b8a4530b807de412d152722,c8fe35ad7b225a75536b0ef157aa3ad28cd66c694b8a4530b807de412d152722,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon Elastic File System.md,a) Service Explanations/Amazon Elastic File System.md,skipped-collision,5749,5749,555ebd993e72801c419f2f846cffa51c5e3220a1764bb6971ebb83637cf7890e,555ebd993e72801c419f2f846cffa51c5e3220a1764bb6971ebb83637cf7890e,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon Elastic Transcoder .md,a) Service Explanations/Amazon Elastic Transcoder .md,unchanged,5641,5641,d7081061112daced6a541be5e95b79c09e0842c01e13eda7f3d9af15d0d78ce6,d7081061112daced6a541be5e95b79c09e0842c01e13eda7f3d9af15d0d78ce6,no,0,Action 'archive-later' is outside Phase 3 execution scope.
a) Service Explanations/Amazon ElastiCache.md,06-databases/amazon-elasticache/01-overview.md,migrated,9042,9042,05bc3ad03764ca8451dbffa40e1563593358bcd24363d5027310728717369b12,05bc3ad03764ca8451dbffa40e1563593358bcd24363d5027310728717369b12,no,0,git mv
a) Service Explanations/Amazon EMR (Claude version).md,a) Service Explanations/Amazon EMR (Claude version).md,skipped-collision,7731,7731,38c7333338e77afbe84055491a660a39a4d5ef37f76481f8a6620f124236bcdd,38c7333338e77afbe84055491a660a39a4d5ef37f76481f8a6620f124236bcdd,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon EMR.md,a) Service Explanations/Amazon EMR.md,skipped-collision,10501,10501,64431d8eb4cc8b588b85b27e8b2f0abd6552dc171616a85c6cb98f85547ed610,64431d8eb4cc8b588b85b27e8b2f0abd6552dc171616a85c6cb98f85547ed610,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon FSx for Lustre (Claude version).md,a) Service Explanations/Amazon FSx for Lustre (Claude version).md,skipped-collision,7787,7787,446d946e5ae442c945506318dd74825f1bf8b130d08454c481a4c2f91e7e7b76,446d946e5ae442c945506318dd74825f1bf8b130d08454c481a4c2f91e7e7b76,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon FSx for Lustre.md,a) Service Explanations/Amazon FSx for Lustre.md,skipped-collision,11770,11770,52f2387394399a74d574b26c600bf054f74810a12999634a5bfb242a1ad1e658,52f2387394399a74d574b26c600bf054f74810a12999634a5bfb242a1ad1e658,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon FSx for Windows File Server.md,05-storage/amazon-fsx-for-windows-file-server/01-overview.md,migrated,8795,8795,9fe71ab6eaae22dff16ef9756db4c6180d5a8cd2839923cfa49ca644f135df23,9fe71ab6eaae22dff16ef9756db4c6180d5a8cd2839923cfa49ca644f135df23,no,0,git mv
a) Service Explanations/Amazon GuardDuty.md,09-security-and-compliance/amazon-guardduty/01-overview.md,migrated,6457,6457,dad1a52af85380a00ad39e4ed317fea1dfb0040a7ec9441ccda4ea87f442f4ad,dad1a52af85380a00ad39e4ed317fea1dfb0040a7ec9441ccda4ea87f442f4ad,no,0,git mv
a) Service Explanations/Amazon Inspector.md,09-security-and-compliance/amazon-inspector/01-overview.md,migrated,5828,5828,4e66a09e41ee2be56718fbd12a80938c0ca63c8fd91667f16fb27ece40d06337,4e66a09e41ee2be56718fbd12a80938c0ca63c8fd91667f16fb27ece40d06337,no,0,git mv
a) Service Explanations/Amazon Kendra.md,14-ai-ml-analytics-and-other-services/amazon-kendra/01-overview.md,migrated,5302,5302,d0ac6febe2c45c259d8023ae5ebb374821427bea5ed3946230dd23ab6b2b3226,d0ac6febe2c45c259d8023ae5ebb374821427bea5ed3946230dd23ab6b2b3226,no,0,git mv
a) Service Explanations/Amazon Kinesis Video Streams.md,14-ai-ml-analytics-and-other-services/amazon-kinesis-video-streams/01-overview.md,migrated,5386,5386,891331c4a6962cee09a78d99ac468040be52707fbeff9fdf097fb9fe7bbd9ac2,891331c4a6962cee09a78d99ac468040be52707fbeff9fdf097fb9fe7bbd9ac2,no,0,git mv
a) Service Explanations/Amazon Lex.md,14-ai-ml-analytics-and-other-services/amazon-lex/01-overview.md,migrated,5718,5718,c136672f748a347821fc6feddd61f18301ac26be81324d443743f7b79a90e695,c136672f748a347821fc6feddd61f18301ac26be81324d443743f7b79a90e695,no,0,git mv
a) Service Explanations/Amazon Lightsail .md,04-compute/amazon-lightsail/01-overview.md,migrated,5316,5316,2be2a64da96d52ed8ca68cbb14219f97da3c1d7a319b7ab412ce258741e62b14,2be2a64da96d52ed8ca68cbb14219f97da3c1d7a319b7ab412ce258741e62b14,no,0,git mv
a) Service Explanations/Amazon Macie.md,09-security-and-compliance/amazon-macie/01-overview.md,migrated,5478,5478,d6de9e6dd573c2cbced80bf3c2f93e70f3c2560a87ac733930f9a214ca1702d5,d6de9e6dd573c2cbced80bf3c2f93e70f3c2560a87ac733930f9a214ca1702d5,no,0,git mv
a) Service Explanations/Amazon Polly.md,14-ai-ml-analytics-and-other-services/amazon-polly/01-overview.md,migrated,4193,4193,2adcf63d4d3c59e2e790ac712f925630079b17b78167ce0bb1cebe93d9cf8a53,2adcf63d4d3c59e2e790ac712f925630079b17b78167ce0bb1cebe93d9cf8a53,no,0,git mv
a) Service Explanations/Amazon QuickSight.md,14-ai-ml-analytics-and-other-services/amazon-quicksight/01-overview.md,migrated,7692,7692,05991f51ac46ed29d3a249b6f0d2abd9ec17633c27408fbc2bc39e6cb647b3d4,05991f51ac46ed29d3a249b6f0d2abd9ec17633c27408fbc2bc39e6cb647b3d4,no,0,git mv
a) Service Explanations/Amazon Redshift.md,14-ai-ml-analytics-and-other-services/amazon-redshift/01-overview.md,migrated,10597,10597,f09d436e67377890356d27d771c27c083672a03725d2407739b6bfef9ddc120c,f09d436e67377890356d27d771c27c083672a03725d2407739b6bfef9ddc120c,no,0,git mv
a) Service Explanations/Amazon Rekognition.md,14-ai-ml-analytics-and-other-services/amazon-rekognition/01-overview.md,migrated,5115,5115,1f45a6af286ba9864a7a968dc695d53f52982965872a0b02d87d1cfe6f795c9c,1f45a6af286ba9864a7a968dc695d53f52982965872a0b02d87d1cfe6f795c9c,no,0,git mv
a) Service Explanations/Amazon Route 53.md,07-networking-and-content-delivery/amazon-route-53/01-overview.md,migrated,11382,11382,4b4c7d00487976cec2ea36bef4ee87c6c58021a5ce6366e6a9cb6adfff33f581,4b4c7d00487976cec2ea36bef4ee87c6c58021a5ce6366e6a9cb6adfff33f581,no,0,git mv
a) Service Explanations/Amazon S3 (Claude version).md,a) Service Explanations/Amazon S3 (Claude version).md,skipped-collision,9000,9000,bb12445671bda9ce44a975e31f93a151b8eff010015e2b5b30bf2afd9e55e0ae,bb12445671bda9ce44a975e31f93a151b8eff010015e2b5b30bf2afd9e55e0ae,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon S3 v1 .md,a) Service Explanations/Amazon S3 v1 .md,skipped-collision,7596,7596,55b062bcf1545c1ef2da399336318ee298aa9c7c4df5a73f3f5ebf8422fd5dee,55b062bcf1545c1ef2da399336318ee298aa9c7c4df5a73f3f5ebf8422fd5dee,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon S3 v2 .md,a) Service Explanations/Amazon S3 v2 .md,skipped-collision,7139,7139,bf0b4ba33cf35551e5f17d975758548e446546112614accdac9edb1bc39afe82,bf0b4ba33cf35551e5f17d975758548e446546112614accdac9edb1bc39afe82,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon Simple Email Service (Amazon SES).md,08-serverless-and-application-integration/amazon-ses/01-overview.md,migrated,8725,8725,bf68a4c0984c4f012e18d929e42165b704bcd90b5d83d4d9630c376cc20650ae,bf68a4c0984c4f012e18d929e42165b704bcd90b5d83d4d9630c376cc20650ae,no,0,git mv
a) Service Explanations/Amazon Simple Queue Service (Amazon SQS).md,08-serverless-and-application-integration/amazon-sqs/01-overview.md,migrated,9922,9922,1a232a99cd444f3f95dc173c00229b04d4f3f5623edd6dcc0e9367a7a1061bf8,1a232a99cd444f3f95dc173c00229b04d4f3f5623edd6dcc0e9367a7a1061bf8,no,0,git mv
a) Service Explanations/Amazon Textract .md,14-ai-ml-analytics-and-other-services/amazon-textract/01-overview.md,migrated,8103,8103,dee8648be41bf41b7c0eb02f3c10cf949ff211699bee987135e9af79d952f12f,dee8648be41bf41b7c0eb02f3c10cf949ff211699bee987135e9af79d952f12f,no,0,git mv
a) Service Explanations/Amazon Translate.md,14-ai-ml-analytics-and-other-services/amazon-translate/01-overview.md,migrated,6145,6145,f03669eaf3d6f69e26a65627b4494220d99cf4e8b7941a7492bd425d1a260da7,f03669eaf3d6f69e26a65627b4494220d99cf4e8b7941a7492bd425d1a260da7,no,0,git mv
a) Service Explanations/Amazon Verified Permissions.md,09-security-and-compliance/amazon-verified-permissions/01-overview.md,migrated,12887,12887,70e53db448e8c0a47d52785b1b325d8662e3fc195050dd90f2f6fa21c828e3ba,70e53db448e8c0a47d52785b1b325d8662e3fc195050dd90f2f6fa21c828e3ba,no,0,git mv
a) Service Explanations/Aurora Provisioned.md,06-databases/amazon-aurora/02-provisioned.md,migrated,12235,12235,e22cb0cba36b8b0834a0df5fdb8c0547d9925f2b083fcb3017a9193d65ff8dda,e22cb0cba36b8b0834a0df5fdb8c0547d9925f2b083fcb3017a9193d65ff8dda,no,0,git mv
a) Service Explanations/Aurora Serverless.md,06-databases/amazon-aurora/03-serverless.md,migrated,10838,10838,f7a711f3936b0736753ae369162e5186769d9651f932bfa82c77bd688a6bfd7f,f7a711f3936b0736753ae369162e5186769d9651f932bfa82c77bd688a6bfd7f,no,0,git mv
a) Service Explanations/AWS Account Root User .md,03-identity-governance-and-organizations/aws-iam/10-root-user.md,migrated,6334,6334,001964e14e111012bbfcc5bf19ebb71596518a3ba14870c591df1c548e299eef,001964e14e111012bbfcc5bf19ebb71596518a3ba14870c591df1c548e299eef,no,0,git mv
a) Service Explanations/AWS Amplify (Claude Code).md,a) Service Explanations/AWS Amplify (Claude Code).md,skipped-collision,9479,9479,94ae50fb809b38dd6114a7717e0b79ad85271ac8ad74c7c8e2410853aa0f9f9e,94ae50fb809b38dd6114a7717e0b79ad85271ac8ad74c7c8e2410853aa0f9f9e,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Amplify.md,a) Service Explanations/AWS Amplify.md,skipped-collision,9100,9100,35b8bedd4edb8dd560dcefddc9ef9d2d35d6ae509b2137a568425139a054d00a,35b8bedd4edb8dd560dcefddc9ef9d2d35d6ae509b2137a568425139a054d00a,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Application Discovery Service.md,11-migration-and-hybrid-cloud/aws-application-discovery-service/01-overview.md,migrated,10424,10424,5bff04b9187bcc48f3a55ace041cbba745dd9d96b77a5410c642bd28ce72ab98,5bff04b9187bcc48f3a55ace041cbba745dd9d96b77a5410c642bd28ce72ab98,no,0,git mv
a) Service Explanations/AWS AppSync.md,08-serverless-and-application-integration/aws-appsync/01-overview.md,migrated,10273,10273,09019fbd0d1a7a46974ff28f8cb5d8e865ea6ea1fcd71e0fe5fbfdc2ef039974,09019fbd0d1a7a46974ff28f8cb5d8e865ea6ea1fcd71e0fe5fbfdc2ef039974,no,0,git mv
a) Service Explanations/AWS Artifact.md,09-security-and-compliance/aws-artifact/01-overview.md,migrated,8811,8811,48b0d781762142b78e33e66e980d1f1570324ce1c37c60a0c659e389dda7a16d,48b0d781762142b78e33e66e980d1f1570324ce1c37c60a0c659e389dda7a16d,no,0,git mv
a) Service Explanations/AWS Audit Manager (Claude version) .md,a) Service Explanations/AWS Audit Manager (Claude version) .md,skipped-collision,10688,10688,c76c7b4863d8d1b33d20719dc1a7294e4228e30834f1e9ef3d53891393c43f88,c76c7b4863d8d1b33d20719dc1a7294e4228e30834f1e9ef3d53891393c43f88,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Audit Manager.md,a) Service Explanations/AWS Audit Manager.md,skipped-collision,7073,7073,ca52c2207031761553d8718fc2f5259ed9446a5c1431a749359da574815cf270,ca52c2207031761553d8718fc2f5259ed9446a5c1431a749359da574815cf270,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Batch (Claude version).md,a) Service Explanations/AWS Batch (Claude version).md,skipped-collision,10025,10025,1dc305a1d004c86b30a3ebd405bc7636a7c83587a42a109e0208371f107649b1,1dc305a1d004c86b30a3ebd405bc7636a7c83587a42a109e0208371f107649b1,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Batch.md,a) Service Explanations/AWS Batch.md,skipped-collision,6829,6829,d418bb1919ebdc826959ac0e2f650555678609cab9bf4f5804942fffc8dd1c8a,d418bb1919ebdc826959ac0e2f650555678609cab9bf4f5804942fffc8dd1c8a,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Billing and Cost Management.md,12-billing-pricing-and-support/aws-billing-and-cost-management/01-overview.md,migrated,8192,8192,10e22837c0f112abf6b88ba319d305a8ac1bf52dd9e3414cdea452e77567a622,10e22837c0f112abf6b88ba319d305a8ac1bf52dd9e3414cdea452e77567a622,no,0,git mv
a) Service Explanations/AWS Billing Conductor.md,12-billing-pricing-and-support/aws-billing-conductor/01-overview.md,migrated,7844,7844,080032388d0853d6d9de1c2a35f6c1e4012bba4a8212bd74ae652a265e52eaac,080032388d0853d6d9de1c2a35f6c1e4012bba4a8212bd74ae652a265e52eaac,no,0,git mv
a) Service Explanations/AWS Budgets .md,12-billing-pricing-and-support/aws-budgets/01-overview.md,migrated,10243,10243,61992bca4ace206673b0e3ca9c6cb7a1d17629003ef429d6d5750ea29002b348,61992bca4ace206673b0e3ca9c6cb7a1d17629003ef429d6d5750ea29002b348,no,0,git mv
a) Service Explanations/AWS Certificate Manager (ACM).md,09-security-and-compliance/aws-certificate-manager/01-overview.md,migrated,5923,5923,055fa7e9048112ae834898d80ef38fb7c43230ef4d97be359248783202982e37,055fa7e9048112ae834898d80ef38fb7c43230ef4d97be359248783202982e37,no,0,git mv
a) Service Explanations/AWS Cloud Adoption Framework (AWS CAF).md,13-architecture-and-design-patterns/aws-cloud-adoption-framework/01-overview.md,migrated,6804,6804,cc9a0857f8862be681266b2bfb3db652a309d4a8f0509872bae1ff72ad05c822,cc9a0857f8862be681266b2bfb3db652a309d4a8f0509872bae1ff72ad05c822,no,0,git mv
a) Service Explanations/AWS CloudFormation Templates.md,10-monitoring-management-and-deployment/aws-cloudformation/01-overview.md,migrated,7433,7433,ea91b1e02953db25ab226fb0f90debe99ec60a068603305485d66cd3300787f1,ea91b1e02953db25ab226fb0f90debe99ec60a068603305485d66cd3300787f1,no,0,git mv
a) Service Explanations/AWS CloudShell.md,10-monitoring-management-and-deployment/aws-cloudshell/01-overview.md,migrated,10101,10101,442f1c106823ed0c3a1c25a2a4e30217ddbc7455c69f94b79e19853617f86b70,442f1c106823ed0c3a1c25a2a4e30217ddbc7455c69f94b79e19853617f86b70,no,0,git mv
a) Service Explanations/AWS CodeBuild .md,a) Service Explanations/AWS CodeBuild .md,skipped-collision,9672,9672,771ad584b2b0646ff8348e4b030fad3fea94ed1ad821c967015181107893274c,771ad584b2b0646ff8348e4b030fad3fea94ed1ad821c967015181107893274c,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS CodeBuild.md,a) Service Explanations/AWS CodeBuild.md,skipped-collision,5758,5758,a3250947d765644fedda262381586a5d079a0e7b87e2e32e765ce1edf25bff05,a3250947d765644fedda262381586a5d079a0e7b87e2e32e765ce1edf25bff05,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS CodeCommit.md,10-monitoring-management-and-deployment/aws-codecommit/01-overview.md,migrated,4961,4961,34ab99d92fce74ddfa2fc2dde1381a97acdc9a020d2feb1df89f7e8d74926032,34ab99d92fce74ddfa2fc2dde1381a97acdc9a020d2feb1df89f7e8d74926032,no,0,git mv
a) Service Explanations/AWS CodeDeploy.md,10-monitoring-management-and-deployment/aws-codedeploy/01-overview.md,migrated,7657,7657,5a7881966ec97245bc4e192a9abee186c02f4da3bb3063b22d4a62f68a29c9c8,5a7881966ec97245bc4e192a9abee186c02f4da3bb3063b22d4a62f68a29c9c8,no,0,git mv
a) Service Explanations/AWS CodePipeline .md,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,migrated,20210,20210,4a4d7c360b97ad5f1ff713eda804063c197658cb6a55c99ff068a544e6b4b568,4a4d7c360b97ad5f1ff713eda804063c197658cb6a55c99ff068a544e6b4b568,no,0,git mv
a) Service Explanations/AWS CodeStar.md,10-monitoring-management-and-deployment/aws-codestar/01-overview.md,migrated,5610,5610,a4f0e5dc6f9614158dc3f82122d6e8d577ac6771da95b6a25adf18f68b107941,a4f0e5dc6f9614158dc3f82122d6e8d577ac6771da95b6a25adf18f68b107941,no,0,git mv
a) Service Explanations/AWS Compliance Programs.md,09-security-and-compliance/aws-compliance-programs/01-overview.md,migrated,7050,7050,34c34ea0d684a645959547bb67e3f79ff15723ea6369ba2c5f41588b753d483b,34c34ea0d684a645959547bb67e3f79ff15723ea6369ba2c5f41588b753d483b,no,0,git mv
a) Service Explanations/AWS Config.md,10-monitoring-management-and-deployment/aws-config/01-overview.md,migrated,6394,6394,a3c11df9e0bbd47b45ac52337528075f394418a76edc2ac62a72859a8c836ea8,a3c11df9e0bbd47b45ac52337528075f394418a76edc2ac62a72859a8c836ea8,no,0,git mv
a) Service Explanations/AWS Control Tower.md,03-identity-governance-and-organizations/aws-control-tower/01-overview.md,migrated,12414,12414,e312b06e7efc352a18f094f6c9b58937a304aa92baf2b0b0acbc2d9ba30b5c08,e312b06e7efc352a18f094f6c9b58937a304aa92baf2b0b0acbc2d9ba30b5c08,no,0,git mv
a) Service Explanations/AWS Cost Allocation Tags.md,12-billing-pricing-and-support/aws-cost-allocation-tags/01-overview.md,migrated,6074,6074,c41f2a0d425ab836c4473174f6aefe72f3506be358422815554e053ae559257b,c41f2a0d425ab836c4473174f6aefe72f3506be358422815554e053ae559257b,no,0,git mv
a) Service Explanations/AWS Cost and Usage Reports (CUR).md,12-billing-pricing-and-support/aws-cost-and-usage-reports/01-overview.md,migrated,4224,4224,9edb9525c710bc0d322468879e35f8741760e2b918d03837128e3333539daf20,9edb9525c710bc0d322468879e35f8741760e2b918d03837128e3333539daf20,no,0,git mv
a) Service Explanations/AWS Cost Explorer.md,12-billing-pricing-and-support/aws-cost-explorer/01-overview.md,migrated,5512,5512,f7a333a44b6cb62a3ccdbfafe7ff8245fa8c3d097ac8bb8cfac96348782f381c,f7a333a44b6cb62a3ccdbfafe7ff8245fa8c3d097ac8bb8cfac96348782f381c,no,0,git mv
a) Service Explanations/AWS Customer Managed Policies.md,a) Service Explanations/AWS Customer Managed Policies.md,skipped-collision,6252,6252,b70dd16b351784139bf0191a1639eceee566ba1e49ba21541f5fbc5ac6cbbed0,b70dd16b351784139bf0191a1639eceee566ba1e49ba21541f5fbc5ac6cbbed0,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Database Migration Service (AWS DMS) .md,11-migration-and-hybrid-cloud/aws-database-migration-service/01-overview.md,migrated,5641,5641,830845f77ccb6faf53b0ba5778fab6dbb80418022ae3d5097bd5fe460096060d,830845f77ccb6faf53b0ba5778fab6dbb80418022ae3d5097bd5fe460096060d,no,0,git mv
a) Service Explanations/AWS DataSync.md,11-migration-and-hybrid-cloud/aws-datasync/01-overview.md,migrated,5910,5910,c3691fca2899dfe3f542dbfa13514c914cf02cc782b2060268f9a211fc101368,c3691fca2899dfe3f542dbfa13514c914cf02cc782b2060268f9a211fc101368,no,0,git mv
a) Service Explanations/AWS Direct Connect .md,07-networking-and-content-delivery/aws-direct-connect/01-overview.md,migrated,5488,5488,2ff13f51dc594cd54e54e1a2746f9041777ce0577a971901581f373fc7122a3f,2ff13f51dc594cd54e54e1a2746f9041777ce0577a971901581f373fc7122a3f,no,0,git mv
a) Service Explanations/AWS Directory Service.md,03-identity-governance-and-organizations/aws-directory-service/01-overview.md,migrated,8436,8436,3b006d9d5512dfe219d3908b301e467a076869f27569eb13b1cfd731a7eec29b,3b006d9d5512dfe219d3908b301e467a076869f27569eb13b1cfd731a7eec29b,no,0,git mv
a) Service Explanations/AWS Elastic Beanstalk  (Claude version).md,a) Service Explanations/AWS Elastic Beanstalk  (Claude version).md,skipped-collision,5498,5498,cf4c0bdad0e2b5922f8e20b0f11917293363e4c8710e91052e94e667057ec9f3,cf4c0bdad0e2b5922f8e20b0f11917293363e4c8710e91052e94e667057ec9f3,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Elastic Beanstalk.md,a) Service Explanations/AWS Elastic Beanstalk.md,skipped-collision,10797,10797,190249b3a874469038bc9498540d1c8d702f4fa11fad86e37948038ae9f4b9b0,190249b3a874469038bc9498540d1c8d702f4fa11fad86e37948038ae9f4b9b0,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Fargate v1.md,a) Service Explanations/AWS Fargate v1.md,skipped-collision,6176,6176,13e5371412c16427f826731438ffa1a85ddd7f2643306eae090df506ebe4ea2f,13e5371412c16427f826731438ffa1a85ddd7f2643306eae090df506ebe4ea2f,no,0,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
