current_path,proposed_path,action,certification,content_type,duplicate_group,confidence,notes
"a) Service Explanations/Amazon Polly.md","14-ai-ml-analytics-and-other-services/amazon-polly/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-polly; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon QuickSight.md","14-ai-ml-analytics-and-other-services/amazon-quicksight/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-quicksight; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon Redshift.md","14-ai-ml-analytics-and-other-services/amazon-redshift/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-redshift; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon Rekognition.md","14-ai-ml-analytics-and-other-services/amazon-rekognition/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-rekognition; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon Route 53.md","07-networking-and-content-delivery/amazon-route-53/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Networking and content delivery; service_or_concept=amazon-route-53; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon S3 (Claude version).md","05-storage/amazon-s3/01-overview.md","rename-and-move",both,"service explanation","DG-01-s3-overviews",high,"topic=Storage; service_or_concept=amazon-s3; quality=canonical candidate; related=a) Service Explanations/Amazon S3 v1 .md; a) Service Explanations/Amazon S3 v2 .md"
"a) Service Explanations/Amazon S3 v1 .md","05-storage/amazon-s3/01-overview.md","merge-later",both,"service explanation","DG-01-s3-overviews",high,"topic=Storage; service_or_concept=amazon-s3; quality=duplicate candidate; related=a) Service Explanations/Amazon S3 (Claude version).md; a) Service Explanations/Amazon S3 v2 .md"
"a) Service Explanations/Amazon S3 v2 .md","05-storage/amazon-s3/01-overview.md","merge-later",both,"service explanation","DG-01-s3-overviews",high,"topic=Storage; service_or_concept=amazon-s3; quality=duplicate candidate; related=a) Service Explanations/Amazon S3 (Claude version).md; a) Service Explanations/Amazon S3 v1 .md"
"a) Service Explanations/Amazon Simple Email Service (Amazon SES).md","08-serverless-and-application-integration/amazon-ses/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Serverless and application integration; service_or_concept=amazon-ses; quality=canonical candidate; related=a) Service Explanations/AWS Systems Manager Session Manager.md"
"a) Service Explanations/Amazon Simple Queue Service (Amazon SQS).md","08-serverless-and-application-integration/amazon-sqs/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Serverless and application integration; service_or_concept=amazon-sqs; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon Textract .md","14-ai-ml-analytics-and-other-services/amazon-textract/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-textract; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon Translate.md","14-ai-ml-analytics-and-other-services/amazon-translate/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=amazon-translate; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Amazon Verified Permissions.md","09-security-and-compliance/amazon-verified-permissions/01-overview.md","rename-and-move",SAA,"service explanation",,high,"topic=Security and compliance; service_or_concept=amazon-verified-permissions; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/Aurora Provisioned.md","06-databases/amazon-aurora/02-provisioned.md","rename-and-move",both,"service explanation",,high,"topic=Databases; service_or_concept=amazon-aurora; quality=canonical candidate; related=a) Service Explanations/Amazon Aurora.md; a) Service Explanations/Aurora Serverless.md"
"a) Service Explanations/Aurora Serverless.md","06-databases/amazon-aurora/03-serverless.md","rename-and-move",both,"service explanation",,high,"topic=Databases; service_or_concept=amazon-aurora; quality=canonical candidate; related=a) Service Explanations/Amazon Aurora.md; a) Service Explanations/Aurora Provisioned.md"
"a) Service Explanations/AWS Account Root User .md","03-identity-governance-and-organizations/aws-iam/10-root-user.md","rename-and-move",CPP,"service explanation",,high,"topic=Identity, governance, and organizations; service_or_concept=aws-iam; quality=canonical candidate; related=a) Service Explanations/Administrator Access.md; a) Service Explanations/AWS IAM (Identity and Access Management).md; a) Service Explanations/AWS IAM (ReadOnlyAccess).md; a) Service Explanations/AWS IAM Access Analyzer .md; a) Service Explanations/AWS IAM Group .md"
"a) Service Explanations/AWS Amplify (Claude Code).md","14-ai-ml-analytics-and-other-services/aws-amplify/01-overview.md","rename-and-move",CPP,"service explanation",DG-11-amplify,medium,"topic=AI, ML, analytics, and other services; service_or_concept=aws-amplify; quality=canonical candidate; related=a) Service Explanations/AWS Amplify.md"
"a) Service Explanations/AWS Amplify.md","14-ai-ml-analytics-and-other-services/aws-amplify/01-overview.md","merge-later",CPP,"service explanation",DG-11-amplify,medium,"topic=AI, ML, analytics, and other services; service_or_concept=aws-amplify; quality=duplicate candidate; related=a) Service Explanations/AWS Amplify (Claude Code).md"
"a) Service Explanations/AWS Application Discovery Service.md","11-migration-and-hybrid-cloud/aws-application-discovery-service/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Migration and hybrid cloud; service_or_concept=aws-application-discovery-service; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS AppSync.md","08-serverless-and-application-integration/aws-appsync/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Serverless and application integration; service_or_concept=aws-appsync; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Artifact.md","09-security-and-compliance/aws-artifact/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Security and compliance; service_or_concept=aws-artifact; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Audit Manager (Claude version) .md","09-security-and-compliance/aws-audit-manager/01-overview.md","rename-and-move",CPP,"service explanation","DG-03-audit-manager",high,"topic=Security and compliance; service_or_concept=aws-audit-manager; quality=canonical candidate; related=a) Service Explanations/AWS Audit Manager.md"
"a) Service Explanations/AWS Audit Manager.md","09-security-and-compliance/aws-audit-manager/01-overview.md","merge-later",CPP,"service explanation","DG-03-audit-manager",high,"topic=Security and compliance; service_or_concept=aws-audit-manager; quality=duplicate candidate; related=a) Service Explanations/AWS Audit Manager (Claude version) .md"
"a) Service Explanations/AWS Batch (Claude version).md","04-compute/aws-batch/01-overview.md","rename-and-move",both,"service explanation",DG-04-batch,high,"topic=Compute; service_or_concept=aws-batch; quality=canonical candidate; related=a) Service Explanations/AWS Batch.md"
"a) Service Explanations/AWS Batch.md","04-compute/aws-batch/01-overview.md","merge-later",both,"service explanation",DG-04-batch,high,"topic=Compute; service_or_concept=aws-batch; quality=duplicate candidate; related=a) Service Explanations/AWS Batch (Claude version).md"
"a) Service Explanations/AWS Billing and Cost Management.md","12-billing-pricing-and-support/aws-billing-and-cost-management/01-overview.md","rename-and-move",CPP,"pricing topic",,high,"topic=Billing, pricing, and support; service_or_concept=aws-billing-and-cost-management; quality=canonical candidate; related=c) Keywords services/AWS Cloud Practitioner — Fixed vs Variable Costs.md; d) Tools & Policies/Rightsizing on AWS.txt; e) AWS Claude Network & Gateways/AWS Charging Patterns and Data Transfer Costs.md"
"a) Service Explanations/AWS Billing Conductor.md","12-billing-pricing-and-support/aws-billing-conductor/01-overview.md","rename-and-move",CPP,"pricing topic",,high,"topic=Billing, pricing, and support; service_or_concept=aws-billing-conductor; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Budgets .md","12-billing-pricing-and-support/aws-budgets/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Billing, pricing, and support; service_or_concept=aws-budgets; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Certificate Manager (ACM).md","09-security-and-compliance/aws-certificate-manager/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Security and compliance; service_or_concept=aws-certificate-manager; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Cloud Adoption Framework (AWS CAF).md","13-architecture-and-design-patterns/aws-cloud-adoption-framework/01-overview.md","rename-and-move",CPP,"architecture pattern",,high,"topic=Architecture and design patterns; service_or_concept=aws-cloud-adoption-framework; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS CloudFormation Templates.md","10-monitoring-management-and-deployment/aws-cloudformation/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Monitoring, management, and deployment; service_or_concept=aws-cloudformation; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS CloudShell.md","10-monitoring-management-and-deployment/aws-cloudshell/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Monitoring, management, and deployment; service_or_concept=aws-cloudshell; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS CodeBuild .md","10-monitoring-management-and-deployment/aws-codebuild/01-overview.md","rename-and-move",CPP,"service explanation",DG-12-codebuild,high,"topic=Monitoring, management, and deployment; service_or_concept=aws-codebuild; quality=canonical candidate; related=a) Service Explanations/AWS CodeBuild.md"
"a) Service Explanations/AWS CodeBuild.md","10-monitoring-management-and-deployment/aws-codebuild/01-overview.md","merge-later",CPP,"service explanation",DG-12-codebuild,high,"topic=Monitoring, management, and deployment; service_or_concept=aws-codebuild; quality=duplicate candidate; related=a) Service Explanations/AWS CodeBuild .md"
"a) Service Explanations/AWS CodeCommit.md","10-monitoring-management-and-deployment/aws-codecommit/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Monitoring, management, and deployment; service_or_concept=aws-codecommit; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS CodeDeploy.md","10-monitoring-management-and-deployment/aws-codedeploy/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Monitoring, management, and deployment; service_or_concept=aws-codedeploy; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS CodePipeline .md","10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Monitoring, management, and deployment; service_or_concept=aws-codepipeline; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS CodeStar.md","10-monitoring-management-and-deployment/aws-codestar/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Monitoring, management, and deployment; service_or_concept=aws-codestar; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Compliance Programs.md","09-security-and-compliance/aws-compliance-programs/01-overview.md","rename-and-move",CPP,policy,,high,"topic=Security and compliance; service_or_concept=aws-compliance-programs; quality=canonical candidate; related=a) Service Explanations/AWS Artifact.md; a) Service Explanations/AWS Audit Manager.md"
"a) Service Explanations/AWS Config.md","10-monitoring-management-and-deployment/aws-config/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Monitoring, management, and deployment; service_or_concept=aws-config; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Control Tower.md","03-identity-governance-and-organizations/aws-control-tower/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Identity, governance, and organizations; service_or_concept=aws-control-tower; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Cost Allocation Tags.md","12-billing-pricing-and-support/aws-cost-allocation-tags/01-overview.md","rename-and-move",CPP,"pricing topic",,high,"topic=Billing, pricing, and support; service_or_concept=aws-cost-allocation-tags; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Cost and Usage Reports (CUR).md","12-billing-pricing-and-support/aws-cost-and-usage-reports/01-overview.md","rename-and-move",CPP,"pricing topic",,high,"topic=Billing, pricing, and support; service_or_concept=aws-cost-and-usage-reports; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Cost Explorer.md","12-billing-pricing-and-support/aws-cost-explorer/01-overview.md","rename-and-move",CPP,"pricing topic",,high,"topic=Billing, pricing, and support; service_or_concept=aws-cost-explorer; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Customer Managed Policies.md","03-identity-governance-and-organizations/aws-iam/05-customer-managed-policies.md","merge-later",CPP,"service explanation","DG-17-customer-managed-policies",high,"topic=Identity, governance, and organizations; service_or_concept=aws-iam; quality=duplicate candidate; related=d) Tools & Policies/AWS Customer Managed Policies (Claude version).txt"
"a) Service Explanations/AWS Database Migration Service (AWS DMS) .md","11-migration-and-hybrid-cloud/aws-database-migration-service/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Migration and hybrid cloud; service_or_concept=aws-database-migration-service; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS DataSync.md","11-migration-and-hybrid-cloud/aws-datasync/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Migration and hybrid cloud; service_or_concept=aws-datasync; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Direct Connect .md","07-networking-and-content-delivery/aws-direct-connect/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Networking and content delivery; service_or_concept=aws-direct-connect; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Directory Service.md","03-identity-governance-and-organizations/aws-directory-service/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=Identity, governance, and organizations; service_or_concept=aws-directory-service; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS Elastic Beanstalk  (Claude version).md","10-monitoring-management-and-deployment/aws-elastic-beanstalk/01-overview.md","merge-later",CPP,"service explanation","DG-14-elastic-beanstalk",high,"topic=Monitoring, management, and deployment; service_or_concept=aws-elastic-beanstalk; quality=duplicate candidate; related=a) Service Explanations/AWS Elastic Beanstalk.md"
"a) Service Explanations/AWS Elastic Beanstalk.md","10-monitoring-management-and-deployment/aws-elastic-beanstalk/01-overview.md","rename-and-move",CPP,"service explanation","DG-14-elastic-beanstalk",high,"topic=Monitoring, management, and deployment; service_or_concept=aws-elastic-beanstalk; quality=canonical candidate; related=a) Service Explanations/AWS Elastic Beanstalk  (Claude version).md"
"a) Service Explanations/AWS Fargate v1.md","04-compute/aws-fargate/01-overview.md","rename-and-move",both,"service explanation","DG-02-fargate",high,"topic=Compute; service_or_concept=aws-fargate; quality=canonical candidate; related=a) Service Explanations/AWS Fargate V2.md"
"a) Service Explanations/AWS Fargate V2.md","04-compute/aws-fargate/01-overview.md","merge-later",both,"service explanation","DG-02-fargate",high,"topic=Compute; service_or_concept=aws-fargate; quality=duplicate candidate; related=a) Service Explanations/AWS Fargate v1.md"
"a) Service Explanations/AWS Global Accelerator Static IPs.md","07-networking-and-content-delivery/aws-global-accelerator/02-static-ip-addresses.md","rename-and-move",both,"feature explanation",,high,"topic=Networking and content delivery; service_or_concept=aws-global-accelerator; quality=useful supplementary content; related=a) Service Explanations/AWS Global Accelerator.md"
"a) Service Explanations/AWS Global Accelerator.md","07-networking-and-content-delivery/aws-global-accelerator/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Networking and content delivery; service_or_concept=aws-global-accelerator; quality=canonical candidate; related=a) Service Explanations/AWS Global Accelerator Static IPs.md"
"a) Service Explanations/AWS Glue .md","14-ai-ml-analytics-and-other-services/aws-glue/01-overview.md","rename-and-move",CPP,"service explanation",,high,"topic=AI, ML, analytics, and other services; service_or_concept=aws-glue; quality=canonical candidate; no close overlap identified"
"a) Service Explanations/AWS IAM (Identity and Access Management).md","03-identity-governance-and-organizations/aws-iam/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Identity, governance, and organizations; service_or_concept=aws-iam; quality=canonical candidate; related=a) Service Explanations/Administrator Access.md; a) Service Explanations/AWS Account Root User .md; a) Service Explanations/AWS IAM (ReadOnlyAccess).md; a) Service Explanations/AWS IAM Access Analyzer .md; a) Service Explanations/AWS IAM Group .md"
"a) Service Explanations/AWS IAM (ReadOnlyAccess).md","03-identity-governance-and-organizations/aws-iam/07-read-only-access-policy.md","rename-and-move",both,policy,,high,"topic=Identity, governance, and organizations; service_or_concept=aws-iam; quality=canonical candidate; related=a) Service Explanations/Administrator Access.md; a) Service Explanations/AWS Account Root User .md; a) Service Explanations/AWS IAM (Identity and Access Management).md; a) Service Explanations/AWS IAM Access Analyzer .md; a) Service Explanations/AWS IAM Group .md"
"a) Service Explanations/AWS IAM Access Analyzer .md","03-identity-governance-and-organizations/aws-iam/09-access-analyzer.md","rename-and-move",both,"service explanation",,high,"topic=Identity, governance, and organizations; service_or_concept=aws-iam; quality=canonical candidate; related=a) Service Explanations/Administrator Access.md; a) Service Explanations/AWS Account Root User .md; a) Service Explanations/AWS IAM (Identity and Access Management).md; a) Service Explanations/AWS IAM (ReadOnlyAccess).md; a) Service Explanations/AWS IAM Group .md"
"a) Service Explanations/AWS IAM Group .md","03-identity-governance-and-organizations/aws-iam/03-groups.md","rename-and-move",both,"service explanation",,high,"topic=Identity, governance, and organizations; service_or_concept=aws-iam; quality=canonical candidate; related=a) Service Explanations/Administrator Access.md; a) Service Explanations/AWS Account Root User .md; a) Service Explanations/AWS IAM (Identity and Access Management).md; a) Service Explanations/AWS IAM (ReadOnlyAccess).md; a) Service Explanations/AWS IAM Access Analyzer .md"
"a) Service Explanations/AWS IAM Identity Center.md","03-identity-governance-and-organizations/aws-iam-identity-center/01-overview.md","rename-and-move",both,"service explanation",,high,"topic=Identity, governance, and organizations; service_or_concept=aws-iam-identity-center; quality=canonical candidate; related=a) Service Explanations/Administrator Access.md; a) Service Explanations/AWS Account Root User .md; a) Service Explanations/AWS IAM (Identity and Access Management).md; a) Service Explanations/AWS IAM (ReadOnlyAccess).md; a) Service Explanations/AWS IAM Access Analyzer .md"
"a) Service Explanations/AWS IAM Role .md","03-identity-governance-and-organizations/aws-iam/04-roles.md","rename-and-move",both,"service explanation",,high,"topic=Identity, governance, and organizations; service_or_concept=aws-iam; quality=canonical candidate; related=a) Service Explanations/Administrator Access.md; a) Service Explanations/AWS Account Root User .md; a) Service Explanations/AWS IAM (Identity and Access Management).md; a) Service Explanations/AWS IAM (ReadOnlyAccess).md; a) Service Explanations/AWS IAM Access Analyzer .md"
