current_path,proposed_path,action,git_state,size_bytes,sha256,duplicate_group,confidence,migration_decision,decision_reason
a) Service Explanations/Amazon ElastiCache.md,06-databases/amazon-elasticache/01-overview.md,rename-and-move,tracked,9042,05bc3ad03764ca8451dbffa40e1563593358bcd24363d5027310728717369b12,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon EMR (Claude version).md,14-ai-ml-analytics-and-other-services/amazon-emr/01-overview.md,merge-later,tracked,7731,38c7333338e77afbe84055491a660a39a4d5ef37f76481f8a6620f124236bcdd,DG-05-emr,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon EMR.md,14-ai-ml-analytics-and-other-services/amazon-emr/01-overview.md,rename-and-move,tracked,10501,64431d8eb4cc8b588b85b27e8b2f0abd6552dc171616a85c6cb98f85547ed610,DG-05-emr,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon FSx for Lustre (Claude version).md,05-storage/amazon-fsx-for-lustre/01-overview.md,merge-later,tracked,7787,446d946e5ae442c945506318dd74825f1bf8b130d08454c481a4c2f91e7e7b76,DG-06-fsx-lustre,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon FSx for Lustre.md,05-storage/amazon-fsx-for-lustre/01-overview.md,rename-and-move,tracked,11770,52f2387394399a74d574b26c600bf054f74810a12999634a5bfb242a1ad1e658,DG-06-fsx-lustre,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon FSx for Windows File Server.md,05-storage/amazon-fsx-for-windows-file-server/01-overview.md,rename-and-move,tracked,8795,9fe71ab6eaae22dff16ef9756db4c6180d5a8cd2839923cfa49ca644f135df23,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon GuardDuty.md,09-security-and-compliance/amazon-guardduty/01-overview.md,rename-and-move,tracked,6457,dad1a52af85380a00ad39e4ed317fea1dfb0040a7ec9441ccda4ea87f442f4ad,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Inspector.md,09-security-and-compliance/amazon-inspector/01-overview.md,rename-and-move,tracked,5828,4e66a09e41ee2be56718fbd12a80938c0ca63c8fd91667f16fb27ece40d06337,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Kendra.md,14-ai-ml-analytics-and-other-services/amazon-kendra/01-overview.md,rename-and-move,tracked,5302,d0ac6febe2c45c259d8023ae5ebb374821427bea5ed3946230dd23ab6b2b3226,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Kinesis Video Streams.md,14-ai-ml-analytics-and-other-services/amazon-kinesis-video-streams/01-overview.md,rename-and-move,tracked,5386,891331c4a6962cee09a78d99ac468040be52707fbeff9fdf097fb9fe7bbd9ac2,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Lex.md,14-ai-ml-analytics-and-other-services/amazon-lex/01-overview.md,rename-and-move,tracked,5718,c136672f748a347821fc6feddd61f18301ac26be81324d443743f7b79a90e695,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Lightsail .md,04-compute/amazon-lightsail/01-overview.md,rename-and-move,tracked,5316,2be2a64da96d52ed8ca68cbb14219f97da3c1d7a319b7ab412ce258741e62b14,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Macie.md,09-security-and-compliance/amazon-macie/01-overview.md,rename-and-move,tracked,5478,d6de9e6dd573c2cbced80bf3c2f93e70f3c2560a87ac733930f9a214ca1702d5,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Polly.md,14-ai-ml-analytics-and-other-services/amazon-polly/01-overview.md,rename-and-move,tracked,4193,2adcf63d4d3c59e2e790ac712f925630079b17b78167ce0bb1cebe93d9cf8a53,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon QuickSight.md,14-ai-ml-analytics-and-other-services/amazon-quicksight/01-overview.md,rename-and-move,tracked,7692,05991f51ac46ed29d3a249b6f0d2abd9ec17633c27408fbc2bc39e6cb647b3d4,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Redshift.md,14-ai-ml-analytics-and-other-services/amazon-redshift/01-overview.md,rename-and-move,tracked,10597,f09d436e67377890356d27d771c27c083672a03725d2407739b6bfef9ddc120c,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Rekognition.md,14-ai-ml-analytics-and-other-services/amazon-rekognition/01-overview.md,rename-and-move,tracked,5115,1f45a6af286ba9864a7a968dc695d53f52982965872a0b02d87d1cfe6f795c9c,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Route 53.md,07-networking-and-content-delivery/amazon-route-53/01-overview.md,rename-and-move,tracked,11382,4b4c7d00487976cec2ea36bef4ee87c6c58021a5ce6366e6a9cb6adfff33f581,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon S3 (Claude version).md,05-storage/amazon-s3/01-overview.md,rename-and-move,tracked,9000,bb12445671bda9ce44a975e31f93a151b8eff010015e2b5b30bf2afd9e55e0ae,DG-01-s3-overviews,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon S3 v1 .md,05-storage/amazon-s3/01-overview.md,merge-later,tracked,7596,55b062bcf1545c1ef2da399336318ee298aa9c7c4df5a73f3f5ebf8422fd5dee,DG-01-s3-overviews,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon S3 v2 .md,05-storage/amazon-s3/01-overview.md,merge-later,tracked,7139,bf0b4ba33cf35551e5f17d975758548e446546112614accdac9edb1bc39afe82,DG-01-s3-overviews,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/Amazon Simple Email Service (Amazon SES).md,08-serverless-and-application-integration/amazon-ses/01-overview.md,rename-and-move,tracked,8725,bf68a4c0984c4f012e18d929e42165b704bcd90b5d83d4d9630c376cc20650ae,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Simple Queue Service (Amazon SQS).md,08-serverless-and-application-integration/amazon-sqs/01-overview.md,rename-and-move,tracked,9922,1a232a99cd444f3f95dc173c00229b04d4f3f5623edd6dcc0e9367a7a1061bf8,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Textract .md,14-ai-ml-analytics-and-other-services/amazon-textract/01-overview.md,rename-and-move,tracked,8103,dee8648be41bf41b7c0eb02f3c10cf949ff211699bee987135e9af79d952f12f,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Translate.md,14-ai-ml-analytics-and-other-services/amazon-translate/01-overview.md,rename-and-move,tracked,6145,f03669eaf3d6f69e26a65627b4494220d99cf4e8b7941a7492bd425d1a260da7,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Amazon Verified Permissions.md,09-security-and-compliance/amazon-verified-permissions/01-overview.md,rename-and-move,tracked,12887,70e53db448e8c0a47d52785b1b325d8662e3fc195050dd90f2f6fa21c828e3ba,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Aurora Provisioned.md,06-databases/amazon-aurora/02-provisioned.md,rename-and-move,tracked,12235,e22cb0cba36b8b0834a0df5fdb8c0547d9925f2b083fcb3017a9193d65ff8dda,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/Aurora Serverless.md,06-databases/amazon-aurora/03-serverless.md,rename-and-move,tracked,10838,f7a711f3936b0736753ae369162e5186769d9651f932bfa82c77bd688a6bfd7f,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Account Root User .md,03-identity-governance-and-organizations/aws-iam/10-root-user.md,rename-and-move,tracked,6334,001964e14e111012bbfcc5bf19ebb71596518a3ba14870c591df1c548e299eef,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Amplify (Claude Code).md,14-ai-ml-analytics-and-other-services/aws-amplify/01-overview.md,rename-and-move,tracked,9479,94ae50fb809b38dd6114a7717e0b79ad85271ac8ad74c7c8e2410853aa0f9f9e,DG-11-amplify,medium,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Amplify.md,14-ai-ml-analytics-and-other-services/aws-amplify/01-overview.md,merge-later,tracked,9100,35b8bedd4edb8dd560dcefddc9ef9d2d35d6ae509b2137a568425139a054d00a,DG-11-amplify,medium,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Application Discovery Service.md,11-migration-and-hybrid-cloud/aws-application-discovery-service/01-overview.md,rename-and-move,tracked,10424,5bff04b9187bcc48f3a55ace041cbba745dd9d96b77a5410c642bd28ce72ab98,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS AppSync.md,08-serverless-and-application-integration/aws-appsync/01-overview.md,rename-and-move,tracked,10273,09019fbd0d1a7a46974ff28f8cb5d8e865ea6ea1fcd71e0fe5fbfdc2ef039974,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Artifact.md,09-security-and-compliance/aws-artifact/01-overview.md,rename-and-move,tracked,8811,48b0d781762142b78e33e66e980d1f1570324ce1c37c60a0c659e389dda7a16d,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Audit Manager (Claude version) .md,09-security-and-compliance/aws-audit-manager/01-overview.md,rename-and-move,tracked,10688,c76c7b4863d8d1b33d20719dc1a7294e4228e30834f1e9ef3d53891393c43f88,DG-03-audit-manager,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Audit Manager.md,09-security-and-compliance/aws-audit-manager/01-overview.md,merge-later,tracked,7073,ca52c2207031761553d8718fc2f5259ed9446a5c1431a749359da574815cf270,DG-03-audit-manager,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Batch (Claude version).md,04-compute/aws-batch/01-overview.md,rename-and-move,tracked,10025,1dc305a1d004c86b30a3ebd405bc7636a7c83587a42a109e0208371f107649b1,DG-04-batch,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Batch.md,04-compute/aws-batch/01-overview.md,merge-later,tracked,6829,d418bb1919ebdc826959ac0e2f650555678609cab9bf4f5804942fffc8dd1c8a,DG-04-batch,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Billing and Cost Management.md,12-billing-pricing-and-support/aws-billing-and-cost-management/01-overview.md,rename-and-move,tracked,8192,10e22837c0f112abf6b88ba319d305a8ac1bf52dd9e3414cdea452e77567a622,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Billing Conductor.md,12-billing-pricing-and-support/aws-billing-conductor/01-overview.md,rename-and-move,tracked,7844,080032388d0853d6d9de1c2a35f6c1e4012bba4a8212bd74ae652a265e52eaac,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Budgets .md,12-billing-pricing-and-support/aws-budgets/01-overview.md,rename-and-move,tracked,10243,61992bca4ace206673b0e3ca9c6cb7a1d17629003ef429d6d5750ea29002b348,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Certificate Manager (ACM).md,09-security-and-compliance/aws-certificate-manager/01-overview.md,rename-and-move,tracked,5923,055fa7e9048112ae834898d80ef38fb7c43230ef4d97be359248783202982e37,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Cloud Adoption Framework (AWS CAF).md,13-architecture-and-design-patterns/aws-cloud-adoption-framework/01-overview.md,rename-and-move,tracked,6804,cc9a0857f8862be681266b2bfb3db652a309d4a8f0509872bae1ff72ad05c822,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS CloudFormation Templates.md,10-monitoring-management-and-deployment/aws-cloudformation/01-overview.md,rename-and-move,tracked,7433,ea91b1e02953db25ab226fb0f90debe99ec60a068603305485d66cd3300787f1,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS CloudShell.md,10-monitoring-management-and-deployment/aws-cloudshell/01-overview.md,rename-and-move,tracked,10101,442f1c106823ed0c3a1c25a2a4e30217ddbc7455c69f94b79e19853617f86b70,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS CodeBuild .md,10-monitoring-management-and-deployment/aws-codebuild/01-overview.md,rename-and-move,tracked,9672,771ad584b2b0646ff8348e4b030fad3fea94ed1ad821c967015181107893274c,DG-12-codebuild,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS CodeBuild.md,10-monitoring-management-and-deployment/aws-codebuild/01-overview.md,merge-later,tracked,5758,a3250947d765644fedda262381586a5d079a0e7b87e2e32e765ce1edf25bff05,DG-12-codebuild,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS CodeCommit.md,10-monitoring-management-and-deployment/aws-codecommit/01-overview.md,rename-and-move,tracked,4961,34ab99d92fce74ddfa2fc2dde1381a97acdc9a020d2feb1df89f7e8d74926032,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS CodeDeploy.md,10-monitoring-management-and-deployment/aws-codedeploy/01-overview.md,rename-and-move,tracked,7657,5a7881966ec97245bc4e192a9abee186c02f4da3bb3063b22d4a62f68a29c9c8,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS CodePipeline .md,10-monitoring-management-and-deployment/aws-codepipeline/01-overview.md,rename-and-move,tracked,20210,4a4d7c360b97ad5f1ff713eda804063c197658cb6a55c99ff068a544e6b4b568,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS CodeStar.md,10-monitoring-management-and-deployment/aws-codestar/01-overview.md,rename-and-move,tracked,5610,a4f0e5dc6f9614158dc3f82122d6e8d577ac6771da95b6a25adf18f68b107941,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Compliance Programs.md,09-security-and-compliance/aws-compliance-programs/01-overview.md,rename-and-move,tracked,7050,34c34ea0d684a645959547bb67e3f79ff15723ea6369ba2c5f41588b753d483b,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Config.md,10-monitoring-management-and-deployment/aws-config/01-overview.md,rename-and-move,tracked,6394,a3c11df9e0bbd47b45ac52337528075f394418a76edc2ac62a72859a8c836ea8,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Control Tower.md,03-identity-governance-and-organizations/aws-control-tower/01-overview.md,rename-and-move,tracked,12414,e312b06e7efc352a18f094f6c9b58937a304aa92baf2b0b0acbc2d9ba30b5c08,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Cost Allocation Tags.md,12-billing-pricing-and-support/aws-cost-allocation-tags/01-overview.md,rename-and-move,tracked,6074,c41f2a0d425ab836c4473174f6aefe72f3506be358422815554e053ae559257b,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Cost and Usage Reports (CUR).md,12-billing-pricing-and-support/aws-cost-and-usage-reports/01-overview.md,rename-and-move,tracked,4224,9edb9525c710bc0d322468879e35f8741760e2b918d03837128e3333539daf20,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Cost Explorer.md,12-billing-pricing-and-support/aws-cost-explorer/01-overview.md,rename-and-move,tracked,5512,f7a333a44b6cb62a3ccdbfafe7ff8245fa8c3d097ac8bb8cfac96348782f381c,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Customer Managed Policies.md,03-identity-governance-and-organizations/aws-iam/05-customer-managed-policies.md,merge-later,tracked,6252,b70dd16b351784139bf0191a1639eceee566ba1e49ba21541f5fbc5ac6cbbed0,DG-17-customer-managed-policies,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Database Migration Service (AWS DMS) .md,11-migration-and-hybrid-cloud/aws-database-migration-service/01-overview.md,rename-and-move,tracked,5641,830845f77ccb6faf53b0ba5778fab6dbb80418022ae3d5097bd5fe460096060d,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS DataSync.md,11-migration-and-hybrid-cloud/aws-datasync/01-overview.md,rename-and-move,tracked,5910,c3691fca2899dfe3f542dbfa13514c914cf02cc782b2060268f9a211fc101368,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Direct Connect .md,07-networking-and-content-delivery/aws-direct-connect/01-overview.md,rename-and-move,tracked,5488,2ff13f51dc594cd54e54e1a2746f9041777ce0577a971901581f373fc7122a3f,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Directory Service.md,03-identity-governance-and-organizations/aws-directory-service/01-overview.md,rename-and-move,tracked,8436,3b006d9d5512dfe219d3908b301e467a076869f27569eb13b1cfd731a7eec29b,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Elastic Beanstalk  (Claude version).md,10-monitoring-management-and-deployment/aws-elastic-beanstalk/01-overview.md,merge-later,tracked,5498,cf4c0bdad0e2b5922f8e20b0f11917293363e4c8710e91052e94e667057ec9f3,DG-14-elastic-beanstalk,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Elastic Beanstalk.md,10-monitoring-management-and-deployment/aws-elastic-beanstalk/01-overview.md,rename-and-move,tracked,10797,190249b3a874469038bc9498540d1c8d702f4fa11fad86e37948038ae9f4b9b0,DG-14-elastic-beanstalk,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Fargate v1.md,04-compute/aws-fargate/01-overview.md,rename-and-move,tracked,6176,13e5371412c16427f826731438ffa1a85ddd7f2643306eae090df506ebe4ea2f,DG-02-fargate,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Fargate V2.md,04-compute/aws-fargate/01-overview.md,merge-later,tracked,4041,bad5e13c598bfbd6e48d43fa00f43cafdd1bf472d5d34ebbd2abedff7688383d,DG-02-fargate,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS Global Accelerator Static IPs.md,07-networking-and-content-delivery/aws-global-accelerator/02-static-ip-addresses.md,rename-and-move,tracked,7482,9ece5ac359562a9fd28560594d3a9acc8f08e2f3cd1b6bef96f597854b55f582,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Global Accelerator.md,07-networking-and-content-delivery/aws-global-accelerator/01-overview.md,rename-and-move,tracked,5425,60e3ec7b0e0120da00b6ae3698a8b96266c580c5f5ad314d94e7c07e3f8f012f,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS Glue .md,14-ai-ml-analytics-and-other-services/aws-glue/01-overview.md,rename-and-move,tracked,10477,53f194a3637be6edfc0b4c2d913fdc3578c41f708e027154872d375f40ef64da,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS IAM (Identity and Access Management).md,03-identity-governance-and-organizations/aws-iam/01-overview.md,rename-and-move,tracked,6211,bdec17759a6fe0039a3ae50ed924aa993d2c324ad375c83953d59c5c9c1ad8f9,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS IAM (ReadOnlyAccess).md,03-identity-governance-and-organizations/aws-iam/07-read-only-access-policy.md,rename-and-move,tracked,5328,d3eda21b7da4faf6d23fb06962546de3f2941e843a58f14c93fe2e199e44ddca,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS IAM Access Analyzer .md,03-identity-governance-and-organizations/aws-iam/09-access-analyzer.md,rename-and-move,tracked,7817,92ae1b06fae54e82ec44b2f52e9a8c9b10f02cf4f1e6850035a0c721b7e17c90,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS IAM Group .md,03-identity-governance-and-organizations/aws-iam/03-groups.md,rename-and-move,tracked,5270,3edc00a155259f97e2f296b98742264a5e09cb802228e0da1c382f35e4902240,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS IAM Identity Center.md,03-identity-governance-and-organizations/aws-iam-identity-center/01-overview.md,rename-and-move,tracked,6096,b021adea92dac3563c6bfb21cc49c5b310bbcf30d39cfde9d7885363b4fc863a,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS IAM Role .md,03-identity-governance-and-organizations/aws-iam/04-roles.md,rename-and-move,tracked,4771,7a35ede13c6bd8f63bed51923ac52d8df281abf28132551e9313a000b7302ea6,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS IAM User .md,03-identity-governance-and-organizations/aws-iam/02-users.md,rename-and-move,tracked,4946,c52349df7300a0e09baed9480f23c282632c0bfcdce7b2f46881b52f9f2199e9,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS IoT Greengrass.md,14-ai-ml-analytics-and-other-services/aws-iot-greengrass/01-overview.md,rename-and-move,tracked,7429,e21853dc09fb4de529ae0b563bb8ffe7801cffebee4edf0e575fb17137b25821,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS IoT.md,14-ai-ml-analytics-and-other-services/aws-iot/01-overview.md,rename-and-move,tracked,6842,0f71b18a12f55280a1b3061311e46d788d261f6c0750f7b0eba94c6670ef0b4e,,high,migrate,High-confidence unique approved move with no destination collision.
a) Service Explanations/AWS KMS (AWS Key Management Service).md,09-security-and-compliance/aws-kms/01-overview.md,merge-later,tracked,6531,10c3fcea7f889f7d1379475bb550cbe3a8df77a362743cecf832ac8c7ced1920,DG-07-kms,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
a) Service Explanations/AWS KMS (Key Management Service) Claude version .md,09-security-and-compliance/aws-kms/01-overview.md,merge-later,tracked,7611,689355c4c0c8c813d845dadccdcb20be28726d902bb6a4693ff2b848bc58c446,DG-07-kms,high,skip,Multiple move-map sources resolve to the same destination; entire collision group is deferred.
