source_path,source_type,topic_family,sha256,size_bytes,canonical_target_paths,unique_information,duplicate_or_overlap,final_source_action,verification_status,notes
03-identity-governance-and-organizations/aws-iam/08-administrator-access-policy.md,study-note,08-administrator-access-policy,d1f55d96d503b9538cab6d29ef50431fd0e5e1156768efbb32df6feb38719e1b,6479,03-identity-governance-and-organizations/aws-iam/08-administrator-access-policy.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
03-identity-governance-and-organizations/aws-iam/09-access-analyzer.md,study-note,09-access-analyzer,92ae1b06fae54e82ec44b2f52e9a8c9b10f02cf4f1e6850035a0c721b7e17c90,7817,03-identity-governance-and-organizations/aws-iam/09-access-analyzer.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
03-identity-governance-and-organizations/aws-iam/10-root-user.md,study-note,10-root-user,001964e14e111012bbfcc5bf19ebb71596518a3ba14870c591df1c548e299eef,6334,03-identity-governance-and-organizations/aws-iam/10-root-user.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
03-identity-governance-and-organizations/aws-iam-identity-center/01-overview.md,study-note,01-overview,b021adea92dac3563c6bfb21cc49c5b310bbcf30d39cfde9d7885363b4fc863a,6096,03-identity-governance-and-organizations/aws-iam-identity-center/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
03-identity-governance-and-organizations/aws-organizations/01-overview.md,study-note,01-overview,7679170dfd00e666e01a3bceb12339a074dd72f64be86147853644516dd7887d,9628,03-identity-governance-and-organizations/aws-organizations/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md,study-note,02-service-control-policies,54bd2bc5873f366a99f8137a4f7bf473c207c3a88a02e4bfc54945f8876cd883,14959,03-identity-governance-and-organizations/aws-organizations/02-service-control-policies.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
03-identity-governance-and-organizations/aws-resource-access-manager/01-overview.md,study-note,01-overview,4dac8dfb5a4cb78addc80de227407d3a09c18f1cace3b738f1d00bf461eb7eea,5150,03-identity-governance-and-organizations/aws-resource-access-manager/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
03-identity-governance-and-organizations/aws-service-catalog/01-overview.md,study-note,01-overview,dfd1534c67d626c0e3ee12afd66ec5dd26728fd82104f90803c7799eba972ace,8656,03-identity-governance-and-organizations/aws-service-catalog/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
04-compute/amazon-ec2/01-overview.md,study-note,01-overview,cda8613d01a3b84a7be0fa8d12af6e8095f1c798ccc3b80d6c07ca6a494853ef,7369,04-compute/amazon-ec2/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
04-compute/amazon-ec2/02-study-guide.md,study-note,02-study-guide,518e88284cdc479c680f0af58d6ddfb4870b5eeac171d95a5dc9849937ade9f9,29549,04-compute/amazon-ec2/02-study-guide.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
04-compute/amazon-ec2/03-instance-store.md,study-note,03-instance-store,43e4b8710739640ac0a2b09119b657774906078d13b33fb00b8ea58206a4e25f,7662,05-storage/ec2-instance-store/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
04-compute/amazon-ec2/03-reserved-instances.md,study-note,03-reserved-instances,f47b638086ab879990656cf070ddf6e594340b6e48cbb663414cb0b370e6d21d,16890,04-compute/amazon-ec2/03-reserved-instances.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
04-compute/amazon-ec2/04-key-pairs.md,study-note,04-key-pairs,5061a02489e9a6ca986f644683c3ff3b1e17288fd90e46696eb6ecda8e523b58,8271,04-compute/amazon-ec2/04-key-pairs.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
04-compute/amazon-ec2/05-instance-connect.md,study-note,05-instance-connect,132b6feea72caad5a06107e44e859397961f801c3527fb0ce722946de3c14f2f,5431,04-compute/amazon-ec2/05-instance-connect.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
04-compute/amazon-ec2/06-rdp-connections.md,study-note,06-rdp-connections,1c7cef6f8eeeae49aea5159ddead5f5d9c0bcbefe3a26f1bb9533c86db1a1715,8412,04-compute/amazon-ec2/06-rdp-connections.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
04-compute/amazon-lightsail/01-overview.md,study-note,01-overview,2be2a64da96d52ed8ca68cbb14219f97da3c1d7a319b7ab412ce258741e62b14,5316,04-compute/amazon-lightsail/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
05-storage/amazon-fsx-for-windows-file-server/01-overview.md,study-note,01-overview,9fe71ab6eaae22dff16ef9756db4c6180d5a8cd2839923cfa49ca644f135df23,8795,05-storage/amazon-fsx-for-windows-file-server/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
05-storage/amazon-s3/02-storage-classes.md,study-note,02-storage-classes,fc1862b29a19cab5b7e28199c0174ed9868654a078d0f4ee78f3f5a542b1df63,9693,05-storage/amazon-s3/02-storage-classes.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
05-storage/amazon-s3/03-lifecycle-policies.md,study-note,03-lifecycle-policies,35ee669e103efc0994e2e5e9bb0b4a80def7046a715e4bc4427d9a57b618fa8b,7899,05-storage/amazon-s3/03-lifecycle-policies.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
06-databases/amazon-aurora/01-overview.md,study-note,01-overview,10ac0dec297aa2ed296683e4ef78f4eed4b905ecf72cc77fcf9a1a8e496c8d43,7574,06-databases/amazon-aurora/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
06-databases/amazon-aurora/02-provisioned.md,study-note,02-provisioned,e22cb0cba36b8b0834a0df5fdb8c0547d9925f2b083fcb3017a9193d65ff8dda,12235,06-databases/amazon-aurora/02-provisioned.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
06-databases/amazon-aurora/03-serverless.md,study-note,03-serverless,f7a711f3936b0736753ae369162e5186769d9651f932bfa82c77bd688a6bfd7f,10838,06-databases/amazon-aurora/03-serverless.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
06-databases/amazon-elasticache/01-overview.md,study-note,01-overview,05bc3ad03764ca8451dbffa40e1563593358bcd24363d5027310728717369b12,9042,06-databases/amazon-elasticache/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
07-networking-and-content-delivery/amazon-cloudfront/01-overview.md,study-note,01-overview,c9584387fd2fb4816ba9a6a065be492a76fd1f394e5130a9b7d563a540bef9aa,5277,07-networking-and-content-delivery/amazon-cloudfront/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
07-networking-and-content-delivery/amazon-route-53/01-overview.md,study-note,01-overview,4b4c7d00487976cec2ea36bef4ee87c6c58021a5ce6366e6a9cb6adfff33f581,11382,07-networking-and-content-delivery/amazon-route-53/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
07-networking-and-content-delivery/amazon-vpc/02-security-groups.md,study-note,02-security-groups,e49f0961eeb93ae6af7a5c3a166a323b69c43b70ebffbae362586d44bb7e6bce,8443,07-networking-and-content-delivery/amazon-vpc/02-security-groups.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
07-networking-and-content-delivery/amazon-vpc/03-flow-logs.md,study-note,03-flow-logs,c730396facc37e4219592f17466609ccf892517fa17304ead40298970d983751,12619,07-networking-and-content-delivery/amazon-vpc/03-flow-logs.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
07-networking-and-content-delivery/amazon-vpc/04-endpoint-services.md,study-note,04-endpoint-services,51a46a0230d2cc7c20189b7095700657e6ee222e1b5377cbf038b936569bb29b,7018,07-networking-and-content-delivery/amazon-vpc/04-endpoint-services.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
07-networking-and-content-delivery/amazon-vpc/05-vpc-peering.md,study-note,05-vpc-peering,b179d848afbbb7f7633aaa33bf4495330231e6002425b946ce5f3c1d6e95b354,5845,07-networking-and-content-delivery/amazon-vpc/05-vpc-peering.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
07-networking-and-content-delivery/amazon-vpc/06-customer-gateway.md,study-note,06-customer-gateway,33904a839f049ccdffda0359e00f51909310168d904b12147dabff09672341a7,10761,07-networking-and-content-delivery/amazon-vpc/06-customer-gateway.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
07-networking-and-content-delivery/amazon-vpc/07-virtual-private-gateway.md,study-note,07-virtual-private-gateway,37e742845365c36185157df0321327b6423ea31e1a2d70ec5af9e6caf7f532f4,7624,07-networking-and-content-delivery/amazon-vpc/07-virtual-private-gateway.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
07-networking-and-content-delivery/amazon-vpc/08-nat-gateway.md,study-note,08-nat-gateway,89a6b1dc3bf7177de26854f326848476391d7f843ca68b8de08b8d41df45099a,10128,07-networking-and-content-delivery/amazon-vpc/08-nat-gateway.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
07-networking-and-content-delivery/aws-direct-connect/01-overview.md,study-note,01-overview,2ff13f51dc594cd54e54e1a2746f9041777ce0577a971901581f373fc7122a3f,5488,07-networking-and-content-delivery/aws-direct-connect/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
07-networking-and-content-delivery/aws-global-accelerator/01-overview.md,study-note,01-overview,60e3ec7b0e0120da00b6ae3698a8b96266c580c5f5ad314d94e7c07e3f8f012f,5425,07-networking-and-content-delivery/aws-global-accelerator/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
07-networking-and-content-delivery/aws-global-accelerator/02-static-ip-addresses.md,study-note,02-static-ip-addresses,9ece5ac359562a9fd28560594d3a9acc8f08e2f3cd1b6bef96f597854b55f582,7482,07-networking-and-content-delivery/aws-global-accelerator/02-static-ip-addresses.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
07-networking-and-content-delivery/aws-transit-gateway/01-overview.md,study-note,01-overview,c521e56e86bcd499fc19bb0c9d15111c32f15af604781eb43de8024424c0029e,4727,07-networking-and-content-delivery/aws-transit-gateway/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,study-note,01-cloud-practitioner-study-guide,752be592dbf50ff4e1188a3fe20dd3e86a6526189425b3aeb76304968667a865,46507,07-networking-and-content-delivery/networking-guide/01-cloud-practitioner-study-guide.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,study-note,01-overview,1283907611dd58df255e02b63b0def79316a3921f84388f84e77394edbb0881b,12297,08-serverless-and-application-integration/amazon-api-gateway/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
08-serverless-and-application-integration/amazon-ses/01-overview.md,study-note,01-overview,bf68a4c0984c4f012e18d929e42165b704bcd90b5d83d4d9630c376cc20650ae,8725,08-serverless-and-application-integration/amazon-ses/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
08-serverless-and-application-integration/amazon-ses/02-session-manager.md,study-note,02-session-manager,204d53ef3e3ee3158a846ef7ca9a0072b2c0ca3e3b52f34431f53f14b49baf18,5854,10-monitoring-management-and-deployment/aws-systems-manager/02-session-manager.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
08-serverless-and-application-integration/amazon-sqs/01-overview.md,study-note,01-overview,1a232a99cd444f3f95dc173c00229b04d4f3f5623edd6dcc0e9367a7a1061bf8,9922,08-serverless-and-application-integration/amazon-sqs/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
08-serverless-and-application-integration/aws-appsync/01-overview.md,study-note,01-overview,09019fbd0d1a7a46974ff28f8cb5d8e865ea6ea1fcd71e0fe5fbfdc2ef039974,10273,08-serverless-and-application-integration/aws-appsync/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
08-serverless-and-application-integration/aws-lambda/01-overview.md,study-note,01-overview,b241407aac4318feaf3db3b86c53eb1411cc4ba7939feb5ff65aafbc564896a2,5731,04-compute/aws-lambda/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
09-security-and-compliance/amazon-cognito/01-overview.md,study-note,01-overview,2f8322057ac6af46c0321ba4d21ad1e0014df6e3c1133d6997f8b6b3eb1bcf08,6353,09-security-and-compliance/amazon-cognito/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
09-security-and-compliance/amazon-guardduty/01-overview.md,study-note,01-overview,dad1a52af85380a00ad39e4ed317fea1dfb0040a7ec9441ccda4ea87f442f4ad,6457,09-security-and-compliance/amazon-guardduty/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
09-security-and-compliance/amazon-inspector/01-overview.md,study-note,01-overview,4e66a09e41ee2be56718fbd12a80938c0ca63c8fd91667f16fb27ece40d06337,5828,09-security-and-compliance/amazon-inspector/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
09-security-and-compliance/amazon-macie/01-overview.md,study-note,01-overview,d6de9e6dd573c2cbced80bf3c2f93e70f3c2560a87ac733930f9a214ca1702d5,5478,09-security-and-compliance/amazon-macie/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
09-security-and-compliance/amazon-verified-permissions/01-overview.md,study-note,01-overview,70e53db448e8c0a47d52785b1b325d8662e3fc195050dd90f2f6fa21c828e3ba,12887,09-security-and-compliance/amazon-verified-permissions/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
09-security-and-compliance/aws-artifact/01-overview.md,study-note,01-overview,48b0d781762142b78e33e66e980d1f1570324ce1c37c60a0c659e389dda7a16d,8811,09-security-and-compliance/aws-artifact/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
09-security-and-compliance/aws-certificate-manager/01-overview.md,study-note,01-overview,055fa7e9048112ae834898d80ef38fb7c43230ef4d97be359248783202982e37,5923,09-security-and-compliance/aws-certificate-manager/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
09-security-and-compliance/aws-compliance-programs/01-overview.md,study-note,01-overview,34c34ea0d684a645959547bb67e3f79ff15723ea6369ba2c5f41588b753d483b,7050,09-security-and-compliance/aws-compliance-programs/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
09-security-and-compliance/aws-network-firewall/01-overview.md,study-note,01-overview,e8f2d6843c3e391431407ca51b86911df7f4865e2c58b3ffdd45769bff591f92,9542,09-security-and-compliance/aws-network-firewall/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
09-security-and-compliance/aws-secrets-manager/01-overview.md,study-note,01-overview,83aa8c7677a27bf76d439cf5a7135b49b003f9008561acfba171795de7ebe176,6981,09-security-and-compliance/aws-secrets-manager/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
09-security-and-compliance/aws-security-hub/01-overview.md,study-note,01-overview,9c66a7ccd10337e2c413cf2aca16348328161d71dd449f7caf126c6d3cda554a,12778,09-security-and-compliance/aws-security-hub/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
09-security-and-compliance/aws-shield/01-overview.md,study-note,01-overview,082e247c79336b97b5296c5bc05667f694dd168b1456a5f2b5923eb29f5ed481,6132,09-security-and-compliance/aws-shield/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
09-security-and-compliance/aws-waf/01-overview.md,study-note,01-overview,bb44d434ac87a56d2cf17535eedde0a900b9a1265cf4f55c647f41ffdf8e1bb0,4975,09-security-and-compliance/aws-waf/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
10-monitoring-management-and-deployment/amazon-codeguru/01-overview.md,study-note,01-overview,2ef04f65d879025467f4c8ee6127594e72699291e4f192cc1db5edd6f972810f,6847,10-monitoring-management-and-deployment/amazon-codeguru/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
10-monitoring-management-and-deployment/aws-cloudformation/01-overview.md,study-note,01-overview,ea91b1e02953db25ab226fb0f90debe99ec60a068603305485d66cd3300787f1,7433,10-monitoring-management-and-deployment/aws-cloudformation/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
10-monitoring-management-and-deployment/aws-cloudshell/01-overview.md,study-note,01-overview,442f1c106823ed0c3a1c25a2a4e30217ddbc7455c69f94b79e19853617f86b70,10101,10-monitoring-management-and-deployment/aws-cloudshell/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
10-monitoring-management-and-deployment/aws-codecommit/01-overview.md,study-note,01-overview,34ab99d92fce74ddfa2fc2dde1381a97acdc9a020d2feb1df89f7e8d74926032,4961,10-monitoring-management-and-deployment/aws-codecommit/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
10-monitoring-management-and-deployment/aws-codedeploy/01-overview.md,study-note,01-overview,5a7881966ec97245bc4e192a9abee186c02f4da3bb3063b22d4a62f68a29c9c8,7657,10-monitoring-management-and-deployment/aws-codedeploy/01-overview.md,"Reviewed for definitions, features, examples, comparisons, exam tips, and architecture details.",none identified,retained-as-canonical,verified,Pre-consolidation hash; checkpoint commit 70818e2 preserves the exact source.
